PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Manzo, C; Federica, B; Luca, Z; Ernesto, BV; Claudia, G; Mariano, B; Cristiana, B				Manzo, Ciro; Federica, Braga; Luca, Zaggia; Ernesto, Brando Vittorio; Claudia, Giardino; Mariano, Bresciani; Cristiana, Bassani			Spatio-temporal analysis of prodelta dynamics by means of new satellite generation: the case of Po river by Landsat-8 data	INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION												This paper describes a procedure to perform spatio-temporal analysis of river plume dispersion in prodelta areas by multi-temporal Landsat-8-derived products for identifying zones sensitive to water discharge and for providing geostatistical patterns of turbidity linked to different meteo-marine forcings. In particular, we characterized the temporal and spatial variability of turbidity and sea surface temperature (SST) in the Po River prodelta (Northern Adriatic Sea, Italy) during the period 2013-2016. To perform this analysis, a two-pronged processing methodology was implemented and the resulting outputs were analysed through a series of statistical tools. A pixel-based spatial correlation analysis was carried out by comparing temporal curves of turbidity and SST hypercubes with in situ time series of wind speed and water discharge, providing correlation coefficient maps. A geostatistical analysis was performed to determine the spatial dependency of the turbidity datasets per each satellite image, providing maps of correlation and variograms. The results show a linear correlation between water discharge and turbidity variations in the points more affected by the buoyant plumes and along the southern coast of Po River delta. Better inverse correlation was found between turbidity and SST during floods rather than other periods. The correlation maps of wind speed with turbidity show different spatial patterns depending on local or basin-scale wind effects. Variogram maps identify different spatial anisotropy structures of turbidity in response to ambient conditions (i.e. strong Bora or Scirocco winds, floods). Since the implemented processing methodology is based on open source software and free satellite data, it represents a promising tool for the monitoring of maritime ecosystems and to address water quality analyses and the investigations of sediment dynamics in estuarine and coastal waters.																	0303-2434					APR	2018	66						210	225		10.1016/j.jag.2017.11.012								WOS:000423650500019						
J	Beck, MW; Hagy, JD; Le, CF				Beck, Marcus W.; Hagy, James D., III; Le, Chengfeng			Quantifying Seagrass Light Requirements Using an Algorithm to Spatially Resolve Depth of Colonization	ESTUARIES AND COASTS												Depth of colonization (Z (c)) is a useful seagrass growth metric that describes seagrass response to light availability. Similarly, percent surface irradiance at Z (c) (% SI) is an indicator of seagrass light requirements with applications in seagrass ecology and management. Methods for estimating Z (c) and % SI are highly variable making meaningful comparisons difficult. A new algorithm is presented to compute maps of median and maximum Z (c), Z (c,med), and Z (c,max), respectively, for four Florida coastal areas (Big Bend, Tampa Bay, Choctawhatchee Bay, Indian River Lagoon). Maps of light attenuation (K (d)) based on MODIS satellite imagery, PAR profiles, and Secchi depth measurements were combined with seagrass growth estimates to produce maps of % SI at Z (c,med) and Z (c,max). Among estuary segments, mean Z (c,med) varied from (+/- SE) 0.80 +/- 0.13 m for Old Tampa Bay to 2.33 +/- 0.26 m for Western Choctawhatchee Bay. Standard errors for Z (c,med) were 1-10% of the segment means. Percent SI at Z (c,med) averaged 18% for Indian River Lagoon (range = 9-24%), 42% for Tampa Bay (37-48%), and 58% for Choctawhatchee Bay (51-75%). Estimates of % SI were significantly lower in Indian River Lagoon than in the other estuaries, while estimates for Tampa Bay and Choctawhatchee Bay were higher than the often cited estimate of 20%. Spatial gradients in depth of colonization and % SI were apparent in all estuaries. The analytical approach could be applied easily to new data from these estuaries or to other estuaries and could be incorporated routinely in assessments of seagrass status and condition.					Beck, Marcus/0000-0002-4996-0059												1559-2723	1559-2731				MAR	2018	41	2					592	610		10.1007/s12237-017-0287-1								WOS:000423581200021						
J	Yu, X; Wang, YB; Liu, XY; Liu, X				Yu, Xiang; Wang, Yebao; Liu, Xiangyang; Liu, Xin			Remote sensing estimation of carbon fractions in the Chinese Yellow River estuary	MARINE GEORESOURCES & GEOTECHNOLOGY												Reliable and consistent carbon fraction estimates are crucial in studying the role of coasts in the global carbon cycle. Remote sensing offers the potential to estimate carbon fractions with its advantages of large spatial coverage and real-time surveys. Colored dissolved organic matter (CDOM) absorption was generally used as a proxy to estimate dissolved organic carbon (DOC). However, the CDOM-DOC relationship varies by region and remains inconstant. Thus, the correlation between the reflectivity of visible band and DOC concentration was directly adopted in DOC estimation and performed well in former studies. Atomic groups of the various components of carbon fractions produce electronic transition by absorbing photons, and this process occurs both in the visible bands and in the near-infrared bands. Thus, the wide range of absorption band provides an approach to estimate carbon fractions using the correlation between the reflectivity of the whole visible/near-infrared bands of optical satellite sensors and carbon fractions. A new ratio band combination was developed and performed well in carbon fraction concentration retrievals, and the yielded estimation accuracies (R-2>0.77, RPD >2.02) were sufficient to map the spatial distributions of carbon fractions with the moderate resolution imaging spectroradiometer image.																	1064-119X	1521-0618					2018	36	2					202	210		10.1080/1064119X.2017.1297876								WOS:000424062100006						
J	von Holdt, JR; Eckardt, FD				von Holdt, Johanna R.; Eckardt, Frank D.			Dust activity and surface sediment characteristics of the dustiest river in southern Africa: the Kuiseb River, Central Namib	SOUTH AFRICAN GEOGRAPHICAL JOURNAL												Previous remote sensing studies (2005-2008) have identified Namibia's Kuiseb as the dustiest river in southern Africa. The purpose of this study was to extend the dust event record through to 2014, and to examine the nature of the surfaces from which this satellite imagery indicates these dust plumes originate. The new 10-year record confirms the delta as the dustiest geomorphological unit (54% of plumes), followed by the gravel plain (28%) and then the river (8%). No dust originated from the Namib Sand Sea dunes or interdunes. Field observations provided detail about the geomorphological and sedimentological setting of the landscape components. The laboratory analysis focused on the size characteristics of 153 surface sediment samples collected from the Kuiseb main channel, its terraces, delta, gravel plain surfaces and tributaries, dunes and interdune. This study has identified that surface sediments suitable for dust production increase towards the coast with particular dusty' floodplain surfaces between Swartbank and Rooibank and the Kuiseb delta. We suggest that silt crusts formed as the flood water dissipate, provide a main source of potentially entrainable material for emission. The crusts consist entirely of silt- and clay-sized materials, with a maximum of 97%<63m, 39%<10m and 6%<2m. Anthropogenic disturbances of the surfaces are potentially playing a role in the production of dust, with the area undergoing significant development.																	0373-6245	2151-2418					2018	100	1					104	121		10.1080/03736245.2017.1339627								WOS:000423739500006						
J	Xiao, L; Lang, Y; Christakos, G				Xiao, Lu; Lang, Yichao; Christakos, George			High-resolution spatiotemporal mapping of PM2.5 concentrations at Mainland China using a combined BME-GWR technique	ATMOSPHERIC ENVIRONMENT												With rapid economic development, industrialization and urbanization, the ambient air PM2.5 has become a major pollutant linked to respiratory, heart and lung diseases. In China, PM2.5 pollution constitutes an extreme environmental and social problem of widespread public concern. In this work we estimate ground-level PM2.5 from satellite-derived aerosol optical depth (AOD), topography data, meteorological data, and pollutant emission using an integrative technique. In particular, Geographically Weighted Regression (GWR) analysis was combined with Bayesian Maximum Entropy (BME) theory to assess the spatiotemporal characteristics of PM2.5 exposure in a large region of China and generate informative PM2.5 space-time predictions (estimates). It was found that, due to its integrative character, the combined BME-GWR method offers certain improvements in the space-time prediction of PM2.5 concentrations over China compared to previous techniques. The combined BME-GWR technique generated realistic maps of space-time PM2.5 distribution, and its performance was superior to that of seven previous studies of satellite-derived PM2.5 concentrations in China in terms of prediction accuracy. The purely spatial GWR model can only be used at a fixed time, whereas the integrative BME-GWR approach accounts for cross space-time dependencies and can predict PM2.5 concentrations in the composite space-time domain. The 10-fold results of BME-GWR modeling (R-2 = 0.883, RMSE = 11.39 mu g/m(3)) demonstrated a high level of space-time PM2.5 prediction (estimation) accuracy over China, revealing a definite trend of severe PM2.5 levels from the northern coast toward inland China (Nov 2015 Feb 2016). Future work should focus on the addition of higher resolution AOD data, developing better satellite-based prediction models, and related air pollutants for space-time PM2.5 prediction purposes.																	1352-2310	1873-2844				JAN	2018	173						295	305		10.1016/j.atmosenv.2017.10.062								WOS:000423007600028						
J	Telesca, L; Pierini, JO; Lovallo, M; Santamaria-del-Angel, E				Telesca, Luciano; Pierini, Jorge O.; Lovallo, Michele; Santamaria-del-Angel, Eduardo			Spatio-temporal variability in the Brazil-Malvinas Confluence Zone (BMCZ), based on spectroradiometric MODIS-AQUA chlorophyll-a observations	OCEANOLOGIA												The Brazil-Malvinas Confluence Zone (BMCZ) is characterized by high environmental variation, which could be reflected in several optical types of water, from one containing only phytoplankton and sea water to other optically more complex. In this paper, we analyze the spatio-temporal variability of the Chlorophyll-a detected by the ocean color sensor (CHLA(sat)) in BMCZ in order to understand its environmental variability. We use the MODIS-Aqua CHLAsat monthly composites imagery from 2002 to 2015, and applied two statistical methods: the correlogram-based robust periodogram to identify, over a broad spectrum of temporal, the most significant periodicities, and the pixel gradient distribution to study the spatial-temporal gradients within the BMCZ and variations over the continental shelf and coastal waters. Our results point out to the predominance of the annual cycle over most of the investigated area, although an area from latitude 37 degrees S in direction NE, alongshore of Uruguay to Brazil, evidences interannual periodicities, possibly related to variations in the discharge of the Rio de la Plata associated with the El Nino phenomena. The ocean color spectroradiometric signature in terms of pixel gradient presents a relatively high variability (similar to 0.0 to 0.65 mg m(-3)); in particular the high values of the pixel gradient correspond to saline front of the estuarine system of Rio de la Plata, and to the strip of the platform that extends along the isobaths of 80 m (coast of Uruguay), especially in the center and south of the study area. (C) 2017 Institute of Oceanology of the Polish Academy of Sciences. Production and hosting by Elsevier Sp. z o.o.					Santamaria-del-Angel, Eduardo/0000-0002-1882-7714												0078-3234	2300-7370				JAN-MAR	2018	60	1					76	85		10.1016/j.oceano.2017.08.002								WOS:000423058800006						
J	Wang, J; Deng, ZQ				Wang, Jiao; Deng, Zhiqiang			Development of a MODIS Data-Based Algorithm for Retrieving Gage Height in Nearshore Waters along the Louisiana Gulf Coast	JOURNAL OF COASTAL RESEARCH												Gage height is one of most important physical parameters commonly used for the description of daily sea levels and generally monitored at sparsely scattered tidal stations. This paper presents a novel remote sensing algorithm for the retrieval of spatially distributed gage height data in coastal waters with emphasis on nearshore waters using the Moderate Resolution Imaging Spectroradiometer (MODIS) satellite data. The algorithm was trained using the Artificial Neural Networks toolbox in the MATLAB program and over 4 years (2007-11) of cloud-free MODIS Aqua data for waterleaving reflectance as well as ground truth measurements collected daily from U.S. Geological Survey stations along the Louisiana Gulf Coast. The algorithm was validated using 3 additional years of independent data sets, which were not used in the algorithm training and collected from 2012 to 2014. Cross-validation results indicated that the gage heights derived from the new algorithm were in good agreement with observed height, as evidenced by the high linear correlation coefficient of 0.8465 and low root mean square error of 0.2238 m. The new algorithm makes it possible to produce daily, spatially distributed gage height data for coastal management and resources development in shallow coastal areas where there are no gages.																	0749-0208	1551-5036				JAN	2018	34	1					220	228		10.2112/JCOASTRES-D-16-00161.1								WOS:000422738000021						
J	Houspanossian, J; Kuppel, S; Nosetto, M; Di Bella, C; Oricchio, P; Barrucand, M; Rusticucci, M; Jobbagy, E				Houspanossian, Javier; Kuppel, Sylvain; Nosetto, Marcelo; Di Bella, Carlos; Oricchio, Patricio; Barrucand, Mariana; Rusticucci, Matilde; Jobbagy, Esteban			Long-lasting floods buffer the thermal regime of the Pampas	THEORETICAL AND APPLIED CLIMATOLOGY												The presence of large water masses influences the thermal regime of nearby land shaping the local climate of coastal areas by the ocean or large continental lakes. Large surface water bodies have an ephemeral nature in the vast sedimentary plains of the Pampas (Argentina) where non-flooded periods alternate with flooding cycles covering up to one third of the landscape for several months. Based on temperature records from 17 sites located 1 to 700 km away from the Atlantic coast and MODIS land surface temperature data, we explore the effects of floods on diurnal and seasonal thermal ranges as well as temperature extremes. In non-flooded periods, there is a linear increase of mean diurnal thermal range (DTR) from the coast towards the interior of the region (DTR increasing from 10 to 16 K, 0.79 K/100 km, r (2) = 0.81). This relationship weakens during flood episodes when the DTR of flood-prone inland locations shows a decline of 2 to 4 K, depending on surface water coverage in the surrounding area. DTR even approaches typical coastal values 500 km away from the ocean in the most flooded location that we studied during the three flooding cycles recorded in the study period. Frosts-free periods, a key driver of the phenology of both natural and cultivated ecosystems, are extended by up to 55 days during floods, most likely as a result of enhanced ground heat storage across the landscape (similar to 2.7 fold change in day-night heat transfer) combined with other effects on the surface energy balance such as greater night evaporation rates. The reduced thermal range and longer frost-free periods affect plant growth development and may offer an opportunity for longer crop growing periods, which may not only contribute to partially compensating for regional production losses caused by floods, but also open avenues for flood mitigation through higher plant evapotranspirative water losses.					Kuppel, Sylvain/0000-0003-3632-2100												0177-798X	1434-4483				JAN	2018	131	1-2					111	120		10.1007/s00704-016-1959-7								WOS:000419885200009						
J	Rios, B; Raga, GB				Rios, Blanca; Raga, Graciela B.			Spatio-temporal distribution of burned areas by ecoregions in Mexico and Central America	INTERNATIONAL JOURNAL OF REMOTE SENSING												Fire activity in Mexico and Central America, and its associated emissions, has impacts across multiple scales. On the local-to-regional scale, fire activity impacts land use, productivity, and biodiversity. On the regional-to-global scale, fire activity impacts hydrological, biogeochemical, and atmospheric processes. A consistent, reliable, large-scale characterization of the spatial and temporal distribution of fire burned area is required to assess its environmental impacts and to support natural resources' management. The spatial and temporal distributions of fire burned areas in ecoregions of Mexico and Central America are evaluated in this study for the period 2001-2014, using the satellite Moderate Resolution Imaging Spectroradiometer (MODIS) MCD45 Burned Area data set. The methodology combines the 500 m burned area product with a MODIS land cover product and a map of North American land cover to calculate the spatiotemporal variability of fire activity as a function of land-use type. The total burned area over Mexico and Central America over the period 2001-2014 was found to be 614,243.5 km(2), but with significant interannual variability over the 14years included in the study. Indeed, the minimum burned area over the period was 9892.25 km(2) in 2014 and the maximum was 37,669.50 km(2) in 2011, a fourfold increase. Burned areas were found to be concentrated in northern Mexico and on the Pacific coast, mainly from October to June. Agricultural burned areas accounted for 37% and 43% of total detected burns in Mexico and Central America, respectively. The largest extent of burned surface occurs in May for most land-cover types. The maximum density of burned areas occurred in the tropical dry forests ecoregion during the dry season. Both in Mexico and Central America, burned area anomalies have significant anti-correlation with precipitation anomalies.					Raga, Graciela/0000-0002-4295-4991												0143-1161	1366-5901					2018	39	4					949	970		10.1080/01431161.2017.1392641								WOS:000419349800002						
J	Lamont, T; Brewin, RJW; Barlow, RG				Lamont, T.; Brewin, R. J. W.; Barlow, R. G.			Seasonal variation in remotely-sensed phytoplankton size structure around southern Africa	REMOTE SENSING OF ENVIRONMENT												The three-component model of Brewin et al. (2010) computes fractional contributions of three phytoplankton size classes (micro- (> 20 mu m), nano- (2-20 mu m), picophytoplankton (< 2 mu m)) to the overall chlorophyll a concentration (Chla). Using in situ pigment data, model coefficients were adjusted for application to the southern African marine region. The refined model was applied to seasonal and monthly climatologies of MODIS Aqua Chla around Southern Africa. Chla > 1 mg m(-3) was limited to shelf regions along the coasts of Southern Africa and Madagascar, while values < 0.1 mg(-3) were found over most of the open ocean between the equator and 38 S during austral summer and autumn. In winter and spring, low values (< 0.1 mg m(-3)) were restricted to smaller regions within subtropical gyres, while values up to 0.7 mg m(-3) extended over a much greater area of the open ocean. Shelf regions in the northern (NB) and southern Benguela (SB), Agulhas Bank (AB), Agulhas region (AR), and Mozambique Channel (MC) all showed similar seasonal cycles of size structure. On average, microphytoplankton comprised > 50% of the total Chia in these regions with little change throughout the year. The AR shelf differed, with picophytoplankton dominating in summer, and micro- and nanophytoplankton the rest of the year. In the open ocean domains of the NB, SB, and AB regions, nanophytoplankton dominated for most of the year, with picophytoplankton being more prevalent during summer and autumn. In contrast, in the AR open ocean, nanophytoplankton were dominant only during winter and early spring, whereas picophytoplankton dominated throughout the year in the MC open ocean. The refined model characterised previously unknown spatial and temporal changes in size structure in various ecosystems around Southern Africa.																	0034-4257	1879-0704				JAN	2018	204						617	631		10.1016/j.rse.2017.09.038								WOS:000418464400045						
