PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Manzo, C; Federica, B; Luca, Z; Ernesto, BV; Claudia, G; Mariano, B; Cristiana, B				Manzo, Ciro; Federica, Braga; Luca, Zaggia; Ernesto, Brando Vittorio; Claudia, Giardino; Mariano, Bresciani; Cristiana, Bassani			Spatio-temporal analysis of prodelta dynamics by means of new satellite generation: the case of Po river by Landsat-8 data	INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION												This paper describes a procedure to perform spatio-temporal analysis of river plume dispersion in prodelta areas by multi-temporal Landsat-8-derived products for identifying zones sensitive to water discharge and for providing geostatistical patterns of turbidity linked to different meteo-marine forcings. In particular, we characterized the temporal and spatial variability of turbidity and sea surface temperature (SST) in the Po River prodelta (Northern Adriatic Sea, Italy) during the period 2013-2016. To perform this analysis, a two-pronged processing methodology was implemented and the resulting outputs were analysed through a series of statistical tools. A pixel-based spatial correlation analysis was carried out by comparing temporal curves of turbidity and SST hypercubes with in situ time series of wind speed and water discharge, providing correlation coefficient maps. A geostatistical analysis was performed to determine the spatial dependency of the turbidity datasets per each satellite image, providing maps of correlation and variograms. The results show a linear correlation between water discharge and turbidity variations in the points more affected by the buoyant plumes and along the southern coast of Po River delta. Better inverse correlation was found between turbidity and SST during floods rather than other periods. The correlation maps of wind speed with turbidity show different spatial patterns depending on local or basin-scale wind effects. Variogram maps identify different spatial anisotropy structures of turbidity in response to ambient conditions (i.e. strong Bora or Scirocco winds, floods). Since the implemented processing methodology is based on open source software and free satellite data, it represents a promising tool for the monitoring of maritime ecosystems and to address water quality analyses and the investigations of sediment dynamics in estuarine and coastal waters.																	0303-2434					APR	2018	66						210	225		10.1016/j.jag.2017.11.012								WOS:000423650500019						
J	Kelly, JT; Gontz, AM				Kelly, Joshua T.; Gontz, Allen M.			Using GPS-surveyed intertidal zones to determine the validity of shorelines automatically mapped by Landsat water indices	INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION												Satellite remote sensing has been used extensively in a variety of shoreline studies and validated using aerial photography. This ground truth method only represents an instantaneous depiction of the shoreline at the time of acquisition and does not take into account the spatial and temporal variability of the dynamic shoreline boundary. Landsat 8's Operational Land Imager sensor's capability to accurately delineate a shoreline is assessed by comparing all known Landsat water index-derived shorelines with two GPS-surveyed intertidal zones that coincide with the satellite flyover date, one of which had near-neap tide conditions. Seven indices developed for automatically classifying water pixels were evaluated for their ability to delineate shorelines. The shoreline is described here as the area above and below maximum low and high tide, otherwise known as the intertidal zone. The high-water line, or wet/dry sediment line, was chosen as the shoreline indicator to be mapped using a handheld GPS. The proportion of the Landsat-derived shorelines that fell within this zone and their alongshore profile lengths were calculated. The most frequently used water index and the predecessor to Modified Normalized Difference Water Index (MNDWI), Normalized Difference Water Index (NDWI), was found to be the least accurate by a significant margin. Other indices required calibration of their threshold value to achieve accurate results, thus diminishing their replicability success for other regions. MNDWI was determined to be the best index for automated shoreline mapping, based on its superior accuracy and repeatable, stable threshold value.																	0303-2434					MAR	2018	65						92	104		10.1016/j.jag.2017.10.007								WOS:000418312200009						
J	Villa, P; Malucelli, F; Scalenghe, R				Villa, Paolo; Malucelli, Francesco; Scalenghe, Riccardo			Multitemporal mapping of peri-urban carbon stocks and soil sealing from satellite data	SCIENCE OF THE TOTAL ENVIRONMENT												Peri-urbanisation is the expansion of compact urban areas towards low-density settlements. This phenomenon directly challenges the agricultural landscape multifunctionality, including its carbon (C) storage capacity. Using satellite data, we mapped peri-urban C stocks in soil and built-up surfaces over three areas from 1993 to 2014 in the Emilia-Romagna region, Italy: a thinly populated area around Piacenza, an intermediate-density area covering the Reggio Emilia-Modena conurbation and a densely anthropized area developing along the coast of Rimini. Satellite-derived maps enabled the quantitative analysis of spatial and temporal features of urban growth and soil sealing, expressed as the ratio between C in built-up land and organic C in soils (Cc/Co). The three areas show substantial differences in C stock balance and soil sealing evolution. In Piacenza (Cc/Co = 0.07 in 1993), although questioned by late industrial expansion and connected residential sprawl (Cc/Co growth by 38%), most of the new urbanisation spared the best rural soils. The Reggio Emilia-Modena conurbation, driven by the polycentricism of the area and the heterogeneity of economic sectors (Cc/Co rising from 0.08 to 0.14 from 1993 to 2014), balances sprawl and densification. Rimini, severely sealed since the 1960s (Cc/Co = 0.23 in 1993), densifies its existing settlements and develops an industrial expansion of the hinterland, with Cc/Co growth accelerating from + 15% before 2003 to + 36% for the last decade. (C) 2017 Elsevier B.V. All rights reserved.					Scalenghe, Riccardo/0000-0001-7614-4842												0048-9697	1879-1026				JAN 15	2018	612						590	604		10.1016/j.scitotenv.2017.08.250								WOS:000413313700061	28865275					
J	Zhang, XD; Yang, ZS; Zhang, YX; Ji, Y; Wang, HM; Lv, K; Lu, ZY				Zhang, Xiaodong; Yang, Zuosheng; Zhang, Yexin; Ji, Yang; Wang, Hongmin; Lv, Kai; Lu, Zhiyong			Spatial and temporal shoreline changes of the southern Yellow River (Huanghe) Delta in 1976-2016	MARINE GEOLOGY												In this study, 364 Landsat satellite images were utilized to study the spatial and temporal shoreline changes of the southern Yellow River Delta in 1976-2016, and a new method revised and improved after Zhang et al. (2016) was proposed. By employing that method, the calculated sea levels calculated from simulated tidal heights and instantaneous shoreline positions rather than simulated tidal heights were used to correct fluctuations in instantaneous shoreline positions caused by tidal height and seasonal sea level changes and other random sea level fluctuations. When calculating the shoreline erosion rates and beach slopes, a statistical analysis of a large number of corrected shoreline positions was used to reduce the influence of random errors that were mainly caused by waves and other casual factors. The shoreline erosion rates and beach slopes presented in this paper are therefore more precise and reliable than those derived in previous studies, which only used two satellite images. The results of this study show that the shoreline of the southern Yellow River Delta primarily experienced gradual erosion during 1976-2016, with an average erosion rate of 26.9 m/year. The average shoreline erosion rate increased from 24.9 m/year in 1976-1996 to 34.9 m/year in 1996-2016-an increase of 40%-probably due to the reduction in sediment discharge and shifting northward course of the Yellow River after 1996. The shoreline erosion rate of the central coast decreased from 50.2 m/year in 1976-1996 to 27.1 m/year in 1996-2016-a decrease of 46%-probably due to the protection offered by coastal hard structures. The average shoreline erosion rate caused by relative sea level rise was 8.5 m/year or 32% of the total average shoreline erosion rate. Relative sea level rise plays an important role in the erosion of the southern Yellow River Delta due to its flat beach. The beach slope of the southern Yellow River Delta was flat and stable in 1976-2016, and the average slope over most of the beach was 0.043%.																	0025-3227	1872-6151				JAN 1	2018	395						188	197		10.1016/j.margeo.2017.10.006								WOS:000423645300014						
J	Mondal, P; Trzaska, S; de Sherbinin, A				Mondal, Pinki; Trzaska, Sylwia; de Sherbinin, Alex			Landsat-Derived Estimates of Mangrove Extents in the Sierra Leone Coastal Landscape Complex during 1990-2016	SENSORS												This study provides the first assessment of decadal changes in mangrove extents in Sierra Leone. While significant advances have been made in mangrove mapping using remote sensing, no study has documented long-term changes in mangrove extents in Sierra Leone-one of the most vulnerable countries in West Africa. Such understanding is critical for devising regional management strategies that can support local livelihoods. We utilize multi-date Landsat data and cloud computational techniques to quantify spatiotemporal changes in land cover, with focus on mangrove ecosystems, for 1990-2016 along the coast of Sierra Leone. We specifically focus on four estuaries-Scarcies, Sierra Leone, Yawri Bay, and Sherbro. We relied on the k-means approach for an unsupervised classification, and validated the classified map from 2016 using ground truth data collected from Sentinel-2 and high-resolution images and during field research (accuracy: 95%). Our findings indicate that the Scarcies river estuary witnessed the greatest mangrove loss since 1990 (45%), while the Sierra Leone river estuary experienced mangrove gain over the last 26 years (22%). Overall, the Sierra Leone coast lost 25% of its mangroves between 1990 and 2016, with the lowest coverage in 2000, during the period of civil war (1991-2002). However, natural mangrove dynamics, as supported by field observations, indicate the potential for regeneration and sustainability under carefully constructed management strategies.																	1424-8220					JAN	2018	18	1							12	10.3390/s18010012								WOS:000423286300012						
J	Wu, XL; Liu, CX; Wu, GF				Wu, Xueling; Liu, Chaoxian; Wu, Guofeng			Spatial-Temporal Analysis and Stability Investigation of Coastline Changes: A Case Study in Shenzhen, China	IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING												Coastlines are some of the most important dynamic linear features on the Earth's surface. Conducting research on coastline changes is essential to improve the environmental management and development of the coast. In this study, Landsat satellite images that cover the entire coastal zone of Shenzhen, which was the first special economic zone in China, are used to study coastline changes. Multitemporal coastline information for Shenzhen from 1988 to 2015 is extracted based on the object-oriented classification approach. The overall classification accuracy of this approach can reach 85% or more when it is used to classify the land-use types present within the coastal zone in this study. Moreover, coastline change rates are calculated using a point-based approach. Coastline stability changes are analyzed, and driving rules are explored, using a data-mining approach that addresses natural and social factors. The research results demonstrate that the object-based approach can extract accurate coastline information from Landsat images and that the coastlines in Shenzhen have varied with time and location. The coastline changes in Shenzhen from 1988 to 2015 can be divided into two stages: one displays accelerated change (1988-2003), whereas the other displays decelerated change (2003-2015). Completely different change characteristics of coastline stability are found between the eastern and western coastlines in Shenzhen, and the differences are mainly reflected in the coastline's morphological changes and varying rules.																	1939-1404	2151-1535				JAN	2018	11	1					45	56		10.1109/JSTARS.2017.2755444								WOS:000422950700005						
J	Jayanthi, M; Thirumurthy, S; Samynathan, M; Duraisamy, M; Muralidhar, M; Ashokkumar, J; Vijayan, KK				Jayanthi, Marappan; Thirumurthy, Selvasekar; Samynathan, Muthusamy; Duraisamy, Muthusamy; Muralidhar, Moturi; Ashokkumar, Jangam; Vijayan, Koyadan Kizhakkedath			Shoreline change and potential sea level rise impacts in a climate hazardous location in southeast coast of India	ENVIRONMENTAL MONITORING AND ASSESSMENT												Climate change impact on the environment makes the coastal areas vulnerable and demands the evaluation of such susceptibility. Historical changes in the shoreline positions and inundation based on projected sea-level scenarios of 0.5 and 1 m were assessed for Nagapattinam District, a low-lying coastal area in the southeast coast of India, using high-resolution Shuttle Radar Topography Mission data; multi-dated Landsat satellite images of 1978, 1991, 2003, and 2015; and census data of 2011. Image processing, geographical information system, and digital shoreline analysis system methods were used in the study. The shoreline variation indicated that erosion rate varied at different time scales. The end point rate indicated the highest mean erosion of - 3.12 m/year, occurred in 73% of coast between 1978 and 1991. Weighted linear regression analysis revealed that the coast length of 83% was under erosion at a mean rate of - 2.11 m/year from 1978 to 2015. Sea level rise (SLR) impact indicated that the coastal area of about 14,122 ha from 225 villages and 31,318 ha from 272 villages would be permanently inundated for the SLR of 0.5 and 1 m, respectively, which includes agriculture, mangroves, wetlands, aquaculture, and forest lands. The loss of coastal wetlands and its associated productivity will severely threaten more than half the coastal population. Adaptation measures in people participatory mode, integrated into coastal zone management with a focus on sub-regional coastal activities, are needed to respond to the consequences of climate change.																	0167-6369	1573-2959				JAN	2018	190	1							51	10.1007/s10661-017-6426-0								WOS:000422680800051						
J	Valderrama-Landeros, L; Flores-de-Santiago, F; Kovacs, JM; Flores-Verdugo, F				Valderrama-Landeros, L.; Flores-de-Santiago, F.; Kovacs, J. M.; Flores-Verdugo, F.			An assessment of commonly employed satellite-based remote sensors for mapping mangrove species in Mexico using an NDVI-based classification scheme	ENVIRONMENTAL MONITORING AND ASSESSMENT												Optimizing the classification accuracy of a mangrove forest is of utmost importance for conservation practitioners. Mangrove forest mapping using satellite-based remote sensing techniques is by far the most common method of classification currently used given the logistical difficulties of field endeavors in these forested wetlands. However, there is now an abundance of options from which to choose in regards to satellite sensors, which has led to substantially different estimations of mangrove forest location and extent with particular concern for degraded systems. The objective of this study was to assess the accuracy of mangrove forest classification using different remotely sensed data sources (i.e., Landsat-8, SPOT-5, Sentinel-2, and WorldView-2) for a system located along the Pacific coast of Mexico. Specifically, we examined a stressed semiarid mangrove forest which offers a variety of conditions such as dead areas, degraded stands, healthy mangroves, and very dense mangrove island formations. The results indicated that Landsat-8 (30 m per pixel) had the lowest overall accuracy at 64% and that WorldView-2 (1.6 m per pixel) had the highest at 93%. Moreover, the SPOT-5 and the Sentinel-2 classifications (10 m per pixel) were very similar having accuracies of 75 and 78%, respectively. In comparison to WorldView-2, the other sensors overestimated the extent of Laguncularia racemosa and underestimated the extent of Rhizophora mangle. When considering such type of sensors, the higher spatial resolution can be particularly important in mapping small mangrove islands that often occur in degraded mangrove systems.																	0167-6369	1573-2959				JAN	2018	190	1							23	10.1007/s10661-017-6399-z								WOS:000422680800032						
J	Ahmed, A; Drake, F; Nawaz, R; Woulds, C				Ahmed, Asib; Drake, Frances; Nawaz, Rizwan; Woulds, Clare			Where is the coast? Monitoring coastal land dynamics in Bangladesh: An integrated management approach using GIS and remote sensing techniques	OCEAN & COASTAL MANAGEMENT												This paper draws upon the application of GIS and remote sensing techniqueS to investigate the dynamic nature and management aspects of land in the coastal areas of Bangladesh. The geomorphological characteristic of the coastal areas is highly dynamic where land erosion and accretion with different rates remain a constant phenomenon. This study focuses on three coastal zones: western, central and eastern that comprise the entire coastal area of the country. At its core, this study uses the past 30 year Landsat satellite images. This research reveals that the rate of accretion in the study area is slightly higher than the rate of erosion. Overall land dynamics indicate a net gain of 237 km(2) (7.9 km(2) annual average) of land in the area for the whole period from 1985 to 2015. The results also demonstrate that the rates of both erosion and accretion are higher in the central zone compared to the western and the eastern zones of the coastal area. This is the first time that the entire coastal areas of Bangladesh have been considered for assessment. This study also recommends that coastal managers, planners and policymakers to consider the identified dynamic trends of coastal land before opting for any specific measure. Constant monitoring using the GIS and remote sensing techniques would be a viable management for this purpose. This study has identified some causes of land dynamics, particularly for the three coastal zones, that might be helpful for policymakers in identifying the nature of interventions needs to be taken for specific coastal zones.																	0964-5691	1873-524X				JAN 1	2018	151						10	24		10.1016/j.ocecoaman.2017.10.030								WOS:000418973100002						
J	Shumack, S; Hesse, P; Turner, L				Shumack, Samuel; Hesse, Paul; Turner, Liam			The impact of fire on sand dune stability: Surface coverage and biomass recovery after fires on Western Australian coastal dune systems from 1988 to 2016	GEOMORPHOLOGY												This study aims to determine the common response of coastal sand dunes in Western Australia (WA) to fire on decadal time-scales, in terms of ecological-geomorphic-climatic interactions to test the hypothesis that fire plays a role in coastal dune destabilisation. Fires are commonly suggested to have contributed to widespread dune reactivation in Australia and globally, a hypothesis that is relatively untested. We used data from the Landsat Thematic Mapper, Enhanced Thematic Mapper Plus, and Operational Land Imager missions to monitor changes in surface coverage on coastal sand dunes in south-west WA after fires. We analysed 31 fire scars from 1988 to 2016 in two Landsat scenes on the west and south coast of WA. Recovery ratios derived from the Normalised Difference Vegetation Index (NDVI) were used to monitor patterns in post-fire biomass and surface cover. Recovery ratios are correlated with indices of bum severity, and meteorological data to investigate relationships. We also used Maximum Likelihood Classification to monitor changes in bare sand area. Results suggest that recovery followed a strongly consistent pattern, and is characterised by rapid vegetation cover re-establishment within six to twelve months. Prior to this, some aeolian activity may have occurred but without substantial surface changes. Initial germination and/or resprouting were followed by steady growth up to seven years, where NDVI typically neared pre-fire values. Some variation in early recovery occurred between the west and south coast, possibly owing to relative proportions of reseeding and resprouting plants. A log regression explained 75% of the recovery pattern (79% on the south coast). Precipitation had some ability to explain recovery up to nine months post-fire (r(2) = 029 to 0.54). No relationships were observed between estimates of bum severity and recovery. After nine months, the biggest cause of spatial variation in recovery was the pre-fire community composition and related seedbank or resprouting density. Image classification did not identify any new blowout features except where fires were not the primary cause. Results suggest that fires are not presently contributing to the destabilisation of coastal dunes in south-west WA. (C) 2017 Elsevier B.V. All rights reserved.																	0169-555X	1872-695X				DEC 15	2017	299						39	53		10.1016/j.geomorph.2017.10.001								WOS:000418221700004						
