PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Becker, RH; Zmijewski, KA; Crail, T				Becker, Richard H.; Zmijewski, Kirk A.; Crail, Todd			Seeing the forest for the invasives: mapping buckthorn in the Oak Openings	BIOLOGICAL INVASIONS												Landsat TM and ETM+ satellite images from 2001 to 2011 were used to map the extent and change of the invasive shrubs common and glossy buckthorn (Frangula alnus and Rhamnus cathartica) at Irwin Prairie State Nature Preserve (IPSNP), and throughout Oak Openings, a 1,500 km(2) region, located in NW Ohio, USA and SE Michigan near Lake Erie. In the Oak Openings, buckthorn directly threatens native biodiversity and habitat health of this globally rare ecosystem. Buckthorn that forms as dense shrub thicket in the understory is often obscured from satellite view by other canopy and is not spectrally dissimilar enough to be characterized using multispectral images. To address this, time series tasseled cap greenness images of land surface areas dominated by buckthorn thicket (which exhibit early leaf-out, late senescence) was used to identify areas covered by thicket with a heterogeneous background. A time series of vegetation index values was calculated from 49 Landsat images and combined with in-situ observations to define the land surface phenology of buckthorn thicket and other vegetation types. The phenological differences among land surfaces dominated by distinct vegetation types in the Oak Openings Region were used to map the extent of buckthorn thicket using a supervised classification method. Buckthorn thicket was identified in 0.43 % of the classified pixels (940 ha) in the 2007-2011 imagery and in 0.31 % (690 ha) of the 2001-2006 images. A Kappa test of the 2007-2011 classification yielded a value of 0.73 with 88 % overall accuracy of presence or absence of thicket based on 60 samples throughout the Oak Openings. The areal extent of buckthorn thicket increased by 39 % (255 ha) in the study area over the time period from 2001 to 2011.				Becker, Richard/A-9120-2010	Becker, Richard/0000-0003-2514-2040												1387-3547					FEB	2013	15	2					315	326		10.1007/s10530-012-0288-8								WOS:000313030500009						
J	Olea, PP; Mateo-Tomas, P				Olea, Pedro P.; Mateo-Tomas, Patricia			Assessing Species Habitat Using Google Street View: A Case Study of Cliff-Nesting Vultures	PLOS ONE												The assessment of a species' habitat is a crucial issue in ecology and conservation. While the collection of habitat data has been boosted by the availability of remote sensing technologies, certain habitat types have yet to be collected through costly, on-ground surveys, limiting study over large areas. Cliffs are ecosystems that provide habitat for a rich biodiversity, especially raptors. Because of their principally vertical structure, however, cliffs are not easy to study by remote sensing technologies, posing a challenge for many researches and managers working with cliff-related biodiversity. We explore the feasibility of Google Street View, a freely available on-line tool, to remotely identify and assess the nesting habitat of two cliff-nesting vultures (the griffon vulture and the globally endangered Egyptian vulture) in northwestern Spain. Two main usefulness of Google Street View to ecologists and conservation biologists were evaluated: i) remotely identifying a species' potential habitat and ii) extracting fine-scale habitat information. Google Street View imagery covered 49% (1,907 km) of the roads of our study area (7,000 km(2)). The potential visibility covered by on-ground surveys was significantly greater (mean: 97.4%) than that of Google Street View (48.1%). However, incorporating Google Street View to the vulture's habitat survey would save, on average, 36% in time and 49.5% in funds with respect to the on-ground survey only. The ability of Google Street View to identify cliffs (overall accuracy = 100%) outperformed the classification maps derived from digital elevation models (DEMs) (62-95%). Nonetheless, high-performance DEM maps may be useful to compensate Google Street View coverage limitations. Through Google Street View we could examine 66% of the vultures' nesting-cliffs existing in the study area (n = 148): 64% from griffon vultures and 65% from Egyptian vultures. It also allowed us the extraction of fine-scale features of cliffs. This World Wide Web-based methodology may be a useful, complementary tool to remotely map and assess the potential habitat of cliff-dependent biodiversity over large geographic areas, saving survey-related costs.				Mateo-Tomas, Patricia/L-8471-2014	Mateo-Tomas, Patricia/0000-0001-6762-9514												1932-6203					JAN 23	2013	8	1							e54582	10.1371/journal.pone.0054582								WOS:000314021500089	23355880					
S	Wang, L; Liu, SH; Wang, LZ; Liang, XJ		Hu, S; Ye, X		Wang, Li; Liu, Suhong; Wang, Lizhao; Liang, Xiaojia			Spatial Distribution of Crofton Weeds in Southwest China with MODIS NDVI of Long Time Series	2013 21ST INTERNATIONAL CONFERENCE ON GEOINFORMATICS (GEOINFORMATICS)	International Conference on Geoinformatics				21st International Conference on Geoinformatics (Geoinformatics)	JUN 20-22, 2013	Kai Feng, PEOPLES R CHINA	Henan Univ, Coll Environm & Planning, Minist Educ, Key Lab Geospatial Technol Middle & Lower Yellow River Reg, Int Assoc Chinese Profess Geograph Informat Sci, Henan Assoc Sci & Technol, IEEE Geoscience & Remote Sensing Soc, Henan Univ, Minist Educ, Key Res Inst Yellow River Civilizat & Sustainable Dev, Geograph Soc Henan Prov				Crofton weed, which was introduced to the southwest of China in the 1940s via the border between China and Burma, now has a seriously damaging effect on the biodiversity and the living environment in those regions, including Yunnan, Sichuan, Guizhou, Guangxi, Tibet, Chongqing, and Hubei. To help monitor this situation effectively, there have been many researches that utilize remote sensing images to identify the spread of Crofton weed. However, most of these researches found it difficult to identify Crofton weed because it is mixed and entangled with a large number of other vegetation. In our research, data processing includes three steps: 1) Retrieving the spectral feature values of Crofton weed at the different growth stages through long time regional sampling; 2) Comparing the NDVI of Crofton weeds, forests, crops, water bodies, residential areas in the typical sampling regions by using the time series data of remote sensing images; and finally, 3) Classifying the remote sensing images of the research regions according to the distinctive features of NDVI curves based on the time series data. The outcome of following these three data processing steps is a relatively accurate classification result, which produces a high-accuracy distribution map of the Crofton weed.																	2161-024X						2013																		WOS:000339361500094						
J	Kulloli, RN; Purohit, CS; Kumar, S; Jindal, SK; Rawat, K; Acharya, D				Kulloli, R. N.; Purohit, Chandan Singh; Kumar, Suresh; Jindal, S. K.; Rawat, K.; Acharya, D.			Distribution of Commiphora wightii (Arnt.) Bhand. in Rajasthan with Special Emphasis on its Conservation Planning in Arid Areas	VEGETOS												Commiphora wightii (Arnott) Bhand., commonly known as 'Guggal', is an important medicinal plant that has been categorized as threatened but International Union for Conservation of Nature (IUCN) has put it under data deficient (DD) category. Consequently, placing it in 'Data Deficient' category of IUCN requires detailed information on its spatial distribution and other related aspects. Hence we report here the results of our appraisal of Guggal in Rajasthan, using remote sensing and ground truthing. A base map of Guggal was prepared using Geographical Information System (GIS) open source software Quantum GIS, SAGA. Landsat ETM+ and ASTER GDEM (Advanced Space borne Thermal Emission and Reflection Radiometer Global Digital Elevation Model) Satellite Data were used. By clipping Aster GDEM Data with district boundary it was then provided color range to get elevation information. A digital elevation model of Rajasthan physiography was developed from ASTER and GDEM Data that has 30 m resolution. GIS layers of area of occurrences for Guggal plant and elevation were created. This map along with topographic sheets of 1:50000 were used for field traversing and ground truthing in 35 expeditions from 2009 to 2012. From the ground data, GPS data of longitude, latitude and altitude of each survey points were used in creating GIS layers in a 3D elevation map as also Guggal distribution and density map in 20 districts of Rajasthan. Results revealed that Guggal predominantly occurs in hilly and piedmonts zone. Its density was low in southeast Rajasthan (2-5 plants/ha) compared to western Rajasthan (8-10 plants/ha. In view of better vigour and survival in native sites in western Rajasthan's bioclimatic conditions, its ex-situ and in-situ conservation will be more successful in the districts of Jaisalmer, Barmer, Jalore and Jodhpur than in other areas.																	0970-4078	2092-7843					2013	26				SI		113	120		10.5958/j.2229-4473.26.2s.129                                                   								WOS:000335969200017						
S	Li, S; Wan, WC; Li, LW		Zhao, J; Iranpour, R; Li, X; Jin, B		Li, Su; Wan, Wenchao; Li, Luwen			Advances on Urban Impervious Surface Extraction Using Remote Sensing Data	ADVANCES IN ENVIRONMENTAL TECHNOLOGIES, PTS 1-6	Advanced Materials Research				2nd International Conference on Energy and Environmental Protection (ICEEP 2013)	APR 19-21, 2013	Guilin, PEOPLES R CHINA	Inner Mongolia Univ, Chinese Acad Sci, Res Ctr Eco Environm Sci, Key Lab Environm Biotechnol				Urban impervious surface is an artificial surface features of the city, affecting urban surface runoff, the hydrological cycle, water quality, local climate and biodiversity, is one of the important indicators of the modern urbanization and urban ecosystem monitoring. With the development of urban remote sensing, various resolution remote sensing images have been used in urban impervious surface extraction. In this paper, image source remote sensing image classification criteria focus on the application of the various resolution remote sensing image, application methods and applications; summary evaluation of the existing methods, finally pointed out the future prospects.																	1022-6680		978-3-03785-742-7				2013	726-731						4552	4557		10.4028/www.scientific.net/AMR.726-731.4552								WOS:000333767501392						
S	Khuzaimah, Z; Ismail, MH; Mansor, S		Murgante, B; Misra, S; Carlini, M; Torre, CM; Nguyen, HQ; Taniar, D; Apduhan, BO; Gervasi, O		Khuzaimah, Zailani; Ismail, Mohd Hasmadi; Mansor, Shattri			Mangrove Changes Analysis by Remote Sensing and Evaluation of Ecosystem Service Value in Sungai Merbok's Mangrove Forest Reserve, Peninsular Malaysia	COMPUTATIONAL SCIENCE AND ITS APPLICATIONS - ICCSA 2013, PT II	Lecture Notes in Computer Science				13th International Conference on Computational Science and Its Applications (ICCSA)	JUN 24-27, 2013	Ho Chi Minh City, VIETNAM	Ho Chi Minh City Int Univ, Univ Perugia, Monash Univ, Kyushu Sangyo Univ, Univ Basilicata, Off Naval Res				Mangrove forests are an important ecosystem which provides socioeconomic value to humankind. Despite their great value, mangroves have one of the highest rates of degradation of any global habitat, which is about 1% of the existing area per year. In fact, the socioeconomic value and ecosystem services of mangroves as a natural product are underestimated. The ecosystem services provided by mangroves are often ignored by the ongoing process of mangrove conversion. This is a major reason why conservation of this ecosystem is not a popular alternative. Thus, the main objective of this study is to evaluate the changes in mangrove forests and valuation of their ecosystem services. SPOT 5 imageries of years 2000 and 2010 have been used for change detection analysis. The vegetation index such as NDVI and AVI and unsupervised classification technique were employed in image processing. In order to obtain the value of socioeconomic impact from the mangrove changes and biodiversity disturbances, the ecosystem service valuation (ESV) model was applied. Results show that the total value of the existing mangrove forest ecosystem service was RM1,901,859.84. The value per unit area is about RM 1,650.92 /ha. The total values of others were RM161, 33.2 (crop land) and RM3,107,500 (water bodies), respectively. It is evident that Sungai Merbok's Mangrove Forest Reserve is very important for coastal ecology, where the orientation of mangrove ecosystem is huge and serves to provide essential services for the community. It also plays a crucial role in providing ecological balance to the coastal environment.																	0302-9743		978-3-642-39643-4				2013	7972						611	622										WOS:000335143000044						
J	Diniz, FH; Kok, K; Hott, MC; Hoogstra-Klein, MA; Arts, B				Diniz, F. H.; Kok, K.; Hott, M. C.; Hoogstra-Klein, M. A.; Arts, B.			From space and from the ground: determining forest dynamics in settlement projects in the Brazilian Amazon	INTERNATIONAL FORESTRY REVIEW												Deforestation in the Brazilian Amazon has been partially attributed to the establishment of settlement projects. Acknowledging the difficulties in quantifying the rate and patterns of deforestation, the objective of this paper is to determine forest dynamics (deforestation and reforestation) in areas where settlement projects have been established, at multiple levels and using different methods. Using satellite images from 1985 to 2010, a study was conducted in five settlement projects in Para State, aiming to determine forest dynamics at municipal and settlement levels. At property level, participatory maps were constructed to understand settlers' perception of forest/non-forest areas. The results show that reforestation is the current process in the municipality and in some settlements. Settlers, however, perceive areas with secondary regrowth as potentially fertile cropland and might deforest again in the future. More research is needed to elucidate whether the observed reforestation will lead to a forest transition or is merely a temporary trend.																	1465-5489						2013	15	4					442	455		10.1505/146554813809025658								WOS:000333444800003						
J	Siren, A; Tuomisto, H; Navarrete, H				Siren, Anders; Tuomisto, Hanna; Navarrete, Hugo			Mapping environmental variation in lowland Amazonian rainforests using remote sensing and floristic data	INTERNATIONAL JOURNAL OF REMOTE SENSING												This article describes a method for detailed mapping of ecological variation in a tropical rainforest based on field inventory of pteridophytes (ferns and lycophytes) and remote sensing using Landsat Enhanced Thematic Mapper Plus (ETM+) imagery. Previously known soil cation optima of the pteridophyte species were first used in calibration, i.e. to infer soil cation concentrations for sites on the basis of their pteridophyte species composition. Multiple linear regression based on spectral reflectance values in the Landsat image was then used to derive an equation that allowed the prediction of these calibrated soil values for unvisited sites in the study area. The predictive accuracy turned out to be high: the mean absolute error, as estimated by leave-one-out cross-validation, was just 7% of the total range of calibrated soil values. This method for detailed mapping of natural environmental variability in lowland tropical rainforest has applications for land-use planning, such as wildlife management, forestry, biodiversity conservation, and payments for carbon sequestration.				Tuomisto, Hanna/G-6483-2012	Tuomisto, Hanna/0000-0003-1640-490X; Siren, Anders/0000-0003-4159-4506												0143-1161	1366-5901					2013	34	5					1561	1575		10.1080/01431161.2012.723148								WOS:000323247900004						
J	Gul, O; Onmus, O; Siki, M				Gul, Orhan; Onmus, Ortac; Siki, Mehmet			Significant Impacts of the Water Level and Human Intervention on the Natural Habitats and Breeding Waterbirds in Marmara Lake	EKOLOJI												Habitat cover and change were analysed in the Marmara Lake to investigate the effects of water level and human intervention on the natural habitats and breeding waterbirds. Breeding Birds Surveys were applied to investigate breeding waterbirds and their breeding activities in 2008 and 2011. GIS, remote sensing techniques and various satellite images were used to determine distributions, surface areas, zonal centroids, and displacements of the habitats in 2000, 2008 and 2011. The total number of bird species with and without breeding evidence in 2008 and 2011 were compared with the Chi-Square test. Habitats in each UTM grid in 2008 and 2011 were compared with McNemar's test. The impact of water level on habitats, number of breeding birds, and their breeding parameters were investigated using Spearman's correlation analyses. The major habitats were open waters, reed beds, scrubs and woodlands, wet grasslands, and mudflats. Significant increases were observed in open waters, reed beds, and wet grasslands, but no significant change was observed for scrubs and woodlands. Out of 70 UTM grids, 69 and 48 grids corresponding to 95 and 75 observation points were surveyed in 2008 and 2011, and 34 different waterbirds were identified. The total number of breeding waterbirds significantly increased in 2011. Open waters were positively correlated with reed beds and negatively correlated with mudflats. Among 34 waterbird species, changes in the breeding parameters of 22 species were significantly correlated with the changes occurring in the major habitats. Our study demonstrates that changes in water level significantly affected the existence of key habitats and theirs distributions, resulting in significant changes in the number of breeding waterbirds and their breeding activities.				Onmus, Ortac/I-4717-2015													1300-1361						2013	22	89					29	39		10.5053/ekoloji.2013.894								WOS:000329479900004						
B	Colodner, D; Buxner, S; Schwartz, K; Orchard, A; Titcomb, A; King, B; Baldridge, A; Thomas-Hilburn, H; Crown, DA		Barnes, J; Shupla, C; Manning, JG; Gibbs, MG		Colodner, Debra; Buxner, Sanlyn; Schwartz, Kerry; Orchard, Amy; Titcomb, Allison; King, Brenda; Baldridge, Alice; Thomas-Hilburn, Holly; Crown, David A.			Laurel Clark Earth Camp: Building a Framework for Teacher and Student Understanding of Earth Systems	COMMUNICATING SCIENCE: A NATIONAL CONFERENCE ON SCIENCE EDUCATION AND PUBLIC OUTREACH	Astronomical Society of the Pacific Conference Series				Conference on Communicating Science - A National Conference on Science Education and Public Outreach	AUG 04-08, 2012	Tucson, AZ	Astronom Soc Pacific				Laurel Clark Earth Camp is designed to inspire teachers and students to study their world through field experiences, remote sensing investigations, and hands on exploration, all of which lend context to scientific inquiry. In three different programs (for middle school students, for high school students, and for teachers) participants are challenged to understand Earth processes from the perspectives of both on-the ground inspection and from examination of satellite images, and use those multiple perspectives to determine best practices on both a societal and individual scale. Earth Camp is a field-based program that takes place both in the "natural" and built environment. Middle School Earth Camp introduces students to a variety of environmental science, engineering, technology, and societal approaches to sustainability. High School Earth Camp explores ecology and water resources from southern Arizona to eastern Utah, including a 5 day rafting trip. In both camps, students compare environmental change observed through repeat photography on the ground to changes observed from space. Students are encouraged to utilize their camp experience in considering their future course of study, career objectives, and lifestyle choices. During Earth Camp for Educators, teachers participate in a series of weekend workshops to explore relevant environmental science practices, including water quality testing, biodiversity surveys, water and light audits, and remote sensing. Teachers engage students, both in school and after school, in scientific investigations with this broad based set of tools. Earth Stories from Space is a website that will assist in developing skills and comfort in analyzing change over time and space using remotely sensed images. Through this three-year NASA funded program, participants will appreciate the importance of scale and perspective in understanding Earth systems and become inspired to make choices that protect the environment.																			978-1-58381-830-5				2013	473						275	+										WOS:000328179100042						
S	Forster, M; Schmidt, T; Spindler, N; Renner, K; Wagner-Lucker, I; Zebisch, M; Neubert, M		Michel, U; Civco, DL; Schulz, K; Ehlers, M; Nikolakopoulos, KG		Foerster, Michael; Schmidt, Tobias; Spindler, Nadine; Renner, Kathrin; Wagner-Luecker, Iris; Zebisch, Marc; Neubert, Marco			Remote sensing methods to monitor habitats potentially threatened by climate change	EARTH RESOURCES AND ENVIRONMENTAL REMOTE SENSING/GIS APPLICATIONS IV	Proceedings of SPIE				Conference on Earth Resources and Environmental Remote Sensing/GIS Applications IV	SEP 23-25, 2013	Dresden, GERMANY	SPIE				The recognition and monitoring of vegetation and habitats for nature conservation is a vital point of research within the remote sensing community. It has been agreed on that there is no general solution on deriving information on habitats due to different data availability and spectral as well as textural behaviour of habitat main types (e.g. woodlands, grasslands, etc.). Therefore the monitoring should be rather multi-scale, versatile, user-friendly, and cost-efficient for predefined indicators. In the presented study, five Central European test sites of natural vegetation communities in an Alpine area (1), a temperate forest (2), a Pannonian grassland (3), a shallow lake (4) and a Carpathian grassland (5) have been investigated by multi-temporal remote sensing. For these studies, different time-series of RapidEye images from the years 2009 to 2011 and LandSat data from the year 1984 to 2010 were acquired. The amount of the images was depending on required acquisitions dates as well as weather conditions. The definition of the indicators was relying on the available ground truth data as well as the demands und judgement of the managing authorities in the nature conservation areas. The selected methods for deriving of the indicators depend on the time-series as well as the available calibration and validation data. The techniques vary between unsupervised classification, object-based approaches and supervised classification methods with algorithms such as support vector machines (e.g. SVM) or classification trees (e.g. See5). Often, the named methods are utilized in combined approaches. The resulting indicators for the monitoring are shrub encroachment (for 1), share of naturally occurring tree type (for 2), differentiation of grassland types (for 3 and 5) and the changing extent of a reed belt (for 4). All indicators seem to be valid and useful for the authorities within the conservation areas. In this article a specific example of the share of natural tree types in a temperate forest in Germany will be explained in detail.				Foerster, Michael/D-3886-2011	Foerster, Michael/0000-0001-6689-5714; Neubert, Marco/0000-0002-9970-4555												0277-786X		978-0-8194-9763-5				2013	8893								UNSP 88930L	10.1117/12.2029354								WOS:000327619300014						
S	Silva, B; Bendix, J		Michel, U; Civco, DL; Schulz, K; Ehlers, M; Nikolakopoulos, KG		Silva, Brenner; Bendix, Joerg			Remote sensing of vegetation in a tropical mountain ecosystem: Individual tree-crown detection	EARTH RESOURCES AND ENVIRONMENTAL REMOTE SENSING/GIS APPLICATIONS IV	Proceedings of SPIE				Conference on Earth Resources and Environmental Remote Sensing/GIS Applications IV	SEP 23-25, 2013	Dresden, GERMANY	SPIE				The hotspot of biodiversity in the Andes of Southern Ecuador has been severely threatened by climate change and unsustainable land use. The high biodiversity requires strategies for conservation and management of natural resources to be developed at both individual and area-wide levels. In this paper we focus on the development of an automatic tree-crown detection and classification approach, which is in line individual-based investigations in the tropical mountain environment. Airborne laser scanning of discrete type was used with a very high granularity (>10 returns per square meter). The individual tree crown detection reached an accuracy of 51% while supervised classification of palm-trees reached an accuracy of 69%. Accuracy measurements are given in the paper. The detection and characterization of individual tree crowns is the first step in the development of a monitoring approach for the tropical mountain forest.																	0277-786X		978-0-8194-9763-5				2013	8893								UNSP 88930B	10.1117/12.2029912								WOS:000327619300008						
S	Attarchi, S; Gloaguen, R		Bruzzone, L		Attarchi, Sara; Gloaguen, Richard			Joint processing of Landsat ETM plus and ALOS-PALSAR data for species richness and forest biodiversity monitoring	IMAGE AND SIGNAL PROCESSING FOR REMOTE SENSING XIX	Proceedings of SPIE				Conference on Image and Signal Processing for Remote Sensing XIX	SEP 23-25, 2013	Dresden, GERMANY	SPIE				Optical remote sensing data is commonly used for estimating biophysical characteristics of forest like tree biodiversity and species richness. Recent advances in radar remote sensing technology raise significant interest to take advantage of the complementary nature of optical and radar data. This paper proposes an approach combining Landsat ETM+ and Advanced Land-Observing Satellite-Phased Array L-band Synthetic Aperture Radar (ALOS/PALSAR) data for forest biodiversity and species richness monitoring. Inventory data from one part of the Hyrcanian forest in north of Iran is used as field data. Visible and infrared ETM+ bands, indices and textures information as well as HH, HV backscattering, polarimetric features (alpha angle, entropy and anisotropy) and SAR texture are extracted. We use the multiple linear regression model to find the best components to describe the biodiversity indices in the study area. We show how tree biodiversity is related to information derived from ETM+ and ALOS/PALSAR data at 95% confidence level (R-2=0.63, root mean square error (RMSE) = 1.70). Also, the effects of each component on the variation of biodiversity are shown. ETM+ reflectance, polarimetric features and texture from ALOS/PALSAR can describe approximately 63% of biodiversity. The results of multi source monitoring of tree biodiversity and species richness are promising and worth further investigation.				Gloaguen, Richard/A-1238-2011	Gloaguen, Richard/0000-0002-4383-473X												0277-786X		978-0-8194-9761-1				2013	8892								UNSP 88920Y	10.1117/12.2029328								WOS:000327342300030						
J	Baskaran, N; Kannan, G; Anbarasan, U; Thapa, A; Sukumar, R				Baskaran, Nagarajan; Kannan, Govindarajan; Anbarasan, Uthrapathy; Thapa, Anisha; Sukumar, Raman			A landscape-level assessment of Asian elephant habitat, its population and elephant-human conflict in the Anamalai hill ranges of southern Western Ghats, India	MAMMALIAN BIOLOGY												Spatial information at the landscape scale is extremely important for conservation planning, especially in the case of long-ranging vertebrates. The biodiversity-rich Anamalai hill ranges in the Western Ghats of southern India hold a viable population for the long-term conservation of the Asian elephant. Through rapid but extensive field surveys we mapped elephant habitat, corridors, vegetation and land-use patterns, estimated the elephant population density and structure, and assessed elephant-human conflict across this landscape. GIS and remote sensing analyses indicate that elephants are distributed among three blocks over a total area of about 4600 km(2). Approximately 92% remains contiguous because of four corridors; however, under 4000 km2 of this area may be effectively used by elephants. Nine landscape elements were identified, including five natural vegetation types, of which tropical moist deciduous forest is dominant. Population density assessed through the dung count method using line transects covering 275 km of walk across the effective elephant habitat of the landscape yielded a mean density of 1.1 (95% Cl = 0.99-1.2) elephant/km(2). Population structure from direct sighting of elephants showed that adult male elephants constitute just 2.9% and adult females 42.3% of the population with the rest being subadults (27.4%), juveniles (16%) and calves (11.4%). Sex ratios show an increasing skew toward females from juvenile (1:1.8) to sub-adult (1:2.4) and adult (1:14.7) indicating higher mortality of sub-adult and adult males that is most likely due to historical poaching for ivory. A rapid questionnaire survey and secondary data on elephant-human conflict from forest department records reveals that villages in and around the forest divisions on the eastern side of landscape experience higher levels of elephant-human conflict than those on the western side; this seems to relate to a greater degree of habitat fragmentation and percentage farmers cultivating annual crops in the east. We provide several recommendations that could help maintain population viability and reduce elephant-human conflict of the Anamalai elephant landscape. (C) 2013 Deutsche Gesellschaft far Saugetierkunde. Published by Elsevier GmbH. All rights reserved.																	1616-5047	1618-1476					2013	78	6					470	481		10.1016/j.mambio.2013.04.007								WOS:000327364300010						
J	Weeks, ES; Waker, S; Dymond, JR; Shepherd, JD; Clarkson, BD				Weeks, Emily S.; Waker, Susan; Dymond, John R.; Shepherd, James D.; Clarkson, Bruce D.			Patterns of past and recent conversion of indigenous grasslands in the South Island, New Zealand	NEW ZEALAND JOURNAL OF ECOLOGY												We used recent satellite imagery to quantify the extent, type, and rate of conversion of remaining indigenous grasslands in the inland eastern South Island of New Zealand in recent years. We describe the pattern of conversion in relation to national classifications of land use capability and land environments, and ecological and administrative districts and regions. We show that although large areas of indigenous grasslands remain, grassland loss has been ongoing. Indigenous grassland was reduced in the study area by 3% (70 200 ha) between 1990 and 2008. Almost two-thirds of post-1990 conversion occurred in threatened environments with less than 30% of indigenous cover remaining, primarily in the Waitaki, Mackenzie and Central Otago administrative districts. This conversion occurred primarily on non-arable land. In the Mackenzie and Waitaki districts the rate of conversion in 2001-2008 was approximately twice that in 1990-2001. Opportunities to protect more of the full range of indigenous grasslands lie with the continuing tenure review process in these districts.																	0110-6465	1177-7788					2013	37	1					127	138										WOS:000326145100015						
