PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Guo, M; Yu, WB; Ma, MG; Li, X				Guo Ming; Yu Wenbing; Ma Mingguo; Li Xin			Study on the oasis landscape fragmentation in northwestern China by using remote sensing data and GIS: a case study of Jinta oasis	ENVIRONMENTAL GEOLOGY					International Congress on Groundwater in Mediterranean Countries	APR 24-28, 2006	Malaga, SPAIN					The purpose of this study is to investigate the oasis landscape fragmentation in northwestern China's arid regions. Landscape maps of Jinta oasis were compiled by using GIS based on Landsat TM data of 1990 and 2000. Landscape indexes for evaluating fragmentation are patch area, patch density, corridor density and split index. Results indicated many difference. First, between the years 1990 and 2000, the landscape fragmentation in Jinta oasis decreased slightly. Second, the area of the matrix decreased at the class level. The landscape fragmentation of the matrix (bare soil) increased as a result of increased influence of human activities on matrix and was opposite to the irrigated farmland whose area is larger and more aggregated in 2000 than in 1990. Third, dense corridor system is one of the most prominent characteristics of the arid regions. It is one of the key factors resulting in the landscape fragmentation; especially the fragmentation within the same patch types. The corridor density of irrigated farmland, residential area and forestland were quite large in Jinta oasis both in 1990 and 2000. The pattern of Jinta oasis is characterized by agricultural oasis embedded in Gobi and in the desert, where the ecosystem was disturbed strongly by the intense human activities.				westgis.CAREERI, SCI paper/O-2255-2013; Li, Xin/F-7473-2011; Mingguo, Ma/A-8087-2013	westgis.CAREERI, SCI paper/0000-0001-5298-1494; Li, Xin/0000-0003-2999-9818; 												0943-0105					APR	2008	54	3					629	636		10.1007/s00254-007-0830-7								WOS:000253570800018						
J	Gomez-Rodriguez, C; Bustamante, J; Koponen, S; Diaz-Paniagua, C				Gomez-Rodriguez, Carola; Bustamante, Javier; Koponen, Sampsa; Diaz-Paniagua, Carmen			High-resolution remote-sensing data in amphibian studies: identification of breeding sites and contribution to habitat models	HERPETOLOGICAL JOURNAL												Remote sensing can provide an alternative to field data sampling in many species-habitat studies. However, its usefulness may depend on the species, habitat Studied, spatial resolution and extent. We used a high spatial and spectral remote sensing image to locate and delineate small amphibian breeding sites in a Mediterranean ecosystem (Donana National Park). We also evaluated its usefulness in detecting habitat heterogeneity (number and evenness of different radiometric zones) within ponds and its relationship to amphibian species richness. Furthermore, Generalized Linear Models (GLMs) were used to evaluate the usefulness of high-resolution remote-sensing data to model amphibian distribution at species level (presence/absence data), both when used alone or as a complement to field data. Amphibian species richness correlated positively with habitat heterogeneity when we discriminated a low number of potential different zones within ponds (four vs nine). For most species, remote-sensing data improved on amphibian distribution models built from field data but were of limited utility when used alone. In consequence, although remote-sensing data could be used for the preliminary identification of ponds supporting high species richness, we recommend initial assessment of its utility for identifying species-specific breeding sites before conducting survey programmes based on it.				Gomez-Rodriguez, Carola/B-6823-2016; CSIC, EBD Donana/C-4157-2011; Diaz-Paniagua, Carmen/L-8931-2014; Bustamante, Javier/C-2735-2008	Gomez-Rodriguez, Carola/0000-0002-2019-7176; CSIC, EBD Donana/0000-0003-4318-6602; Diaz-Paniagua, Carmen/0000-0002-6717-0173; Bustamante, Javier/0000-0001-7515-0677												0268-0130					APR	2008	18	2					103	113										WOS:000265728500006						
J	Gillespie, TW; Foody, GM; Rocchini, D; Giorgi, AP; Saatchi, S				Gillespie, Thomas W.; Foody, Giles M.; Rocchini, Duccio; Giorgi, Ana Paula; Saatchi, Sassan			Measuring and modelling biodiversity from space	PROGRESS IN PHYSICAL GEOGRAPHY												The Earth is undergoing an accelerated rate of native ecosystem conversion and degradation and there is increased interest in measuring and modelling biodiversity from space. Biogeographers have a long-standing interest in measuring patterns of species occurrence and distributional movements and an interest in modelling species distributions and patterns of diversity. Much progress has been made in identifying plant species from space using high-resolution satellites (QuickBird, IKONOS), while the measurement of species movements has become commonplace with the ARGOS satellite tracking system which has been used to track the movements of thousands of individual animals. There have been significant advances in land-cover classifications by combining data from multi-passive and active sensors, and new classification techniques. Species distribution modelling has been growing at a striking rate and the incorporation of spaceborne data on climate, topography, land cover, and vegetation structure has great potential to improve models. There have been significant advances in modelling species richness, alpha diversity, and beta diversity using multisensors to quantify land-cover classifications and landscape metrics, measures of productivity, and measures of heterogeneity. Remote sensing of nature reserves can provide natural resources managers with near real-time data within and around reserves that can be used to support conservation efforts anywhere in the world. Future research should focus on incorporating recent spaceborne sensors, more extensive integration of available spaceborne imagery, and the collection and dissemination of high-quality field data. This will improve our understanding of the distribution of life on earth.				Rocchini, Duccio/B-6742-2011	Rocchini, Duccio/0000-0003-0087-0594												0309-1333					APR	2008	32	2					203	221		10.1177/0309133308093606								WOS:000258989200004						
J	Huang, HM; Zhang, LQ; Guan, YJ; Wang, DH				Huang, Hua-Mei; Zhang, Li-Quan; Guan, Yu-Juan; Wang, Dong-Hui			A cellular automata model for population expansion of Spartina alterniflora at Jiuduansha Shoals, Shanghai, China	ESTUARINE COASTAL AND SHELF SCIENCE												Biological invasion has received considerable attention recently because of increasing impacts on local ecosystems. Expansion of Spartina alterniflora, a non-native species, on the intertidal mudflats of Jiuduansha Shoals at the Yangtze River Estuary is a prime example of a spatially-structured invasion in a relatively simple habitat, for which strategic control efforts can be modeled and applied. Here, we developed a Cellular Automata (CA) model, in conjunction with Remote Sensing and Geographical Information Systems, to simulate the expanding process of S. alterniflora for a period of 8 years after being introduced to the new shoals, and to study the interactions between spatial pattern and ecosystem processes for the saltmarsh vegetation. The results showed that the CA model could simulate the population dynamics of S. alterniflora and Phragmites australis on the Jiuduansha Shoals successfully. The results strongly support the hypothesis of space pre-emption as well as range expansion with simple advancing wave fronts for these two species. In the Yangtze River Estuary, the native species P. australis shares the same niche with the exotic species S. alterniflora. However, the range expansion rate of P. australis was much slower than that of S. alterniflora. With the accretion of the Jiuduansha Shoals due to the large quantity of sediments deposited by the Yangtze River, a rapid range expansion of S. alterniflora is predicted to last for a long period into future. This study indicated the potential for this approach to provide valuable insights into population and community ecology of invasive species, which could be very important for wetland biodiversity conservation and resource management in the Yangtze River Estuary and other such impacted areas. (c) 2007 Elsevier Ltd. All rights reserved.																	0272-7714					MAR 20	2008	77	1					47	55		10.1016/j.ecss.2007.09.003								WOS:000254776200005						
J	Prates-Clark, CD; Saatchi, SS; Agosti, D				Prates-Clark, Cassia Da Conceicao; Saatchi, Sassan S.; Agosti, Donat			Predicting geographical distribution models of high-value timber trees in the Amazon Basin using remotely sensed data	ECOLOGICAL MODELLING												Species distribution models were developed for three high economic value timber trees (Calophyllum brasiliensis, Carapa quianensis and Virola surinamensis) that are heavily harvested in the Amazon Basin. A combination of habitat measurements extracted from remote sensing data (MODIS, QSCAT and SRTM) and bioclimatic surfaces was examined to ascertain the most influential factors determining the occurrence of these tree species. The prediction of species' occurrence rates was tested separately for each species distribution model and the results were examined for their ability to accurately map the spatial distribution of these tree species. By evaluating the omission and commission rates we concluded that species distribution models based on remote sensing data contributed significantly in quantifying environmental properties used to summarize the ecological niche of each tree species. Specific vegetation characteristics (such as percentage of tree cover, vegetation moisture and roughness, annual NDVI and mean LAI during the dry LAI) showed the dependence of these species' occurrence in more densely vegetated forests. Areas with high leaf area (even during the dry months) and areas with high vegetation moisture were predicted as potential species habitat for C. brasiliensis. The density vegetation during the dry season and vegetation phenology were strongly correlated with climate differences, such as variations in air temperature and precipitation seasonality for V surinamensis. Lower elevation areas with more exuberant vegetation and a high greenness index were among the most important factors accounting for the geographical distribution of C. guianensis. Species distribution models are increasingly important in many fields of research and conservation. The potential of remotely sensed data to monitor environmental changes in tropical areas, along with the understanding of ecosystem function, are both critical for conservation of biodiversity and the long-term process of sustaining ecosystems. (c) 2007 Elsevier B.V All rights reserved.					Agosti, Donat/0000-0001-9286-1200												0304-3800	1872-7026				MAR 10	2008	211	3-4					309	323		10.1016/j.ecolmodel.2007.09.024								WOS:000253700900006						
J	Al-Jenaid, SS; Mohammed, W				Al-Jenaid, Sabah Salih; Mohammed, Wisam			Proposed Spatial Framework to Develop Land Use in an Environmentally-Sensitive Area: Case Study, El-Daba'a Region, Egypt Part 1: Ecological Value Assessment Using GIS	ARAB GULF JOURNAL OF SCIENTIFIC RESEARCH												The aim of this study is to assess the ecological characteristics of El-Daba'a area in Egypt using GIS as a first step for the development of an environmental management plan for the area. The Absence of environmental planning in the process of land use development may cause many significant negative impacts on biodiversity, ecological value, and the general environmental conditions, and therefore, reducing such negative impacts will improve land use development. The first part of this sequel of two papers, which is part of a sustainable land use development research program, aims at designing a spatial framework to improve land use planning and development in an environmental context. The research program deals with the problem of land use planning and development in an and coastal area under environmentally sensitive conditions. The study area is El-Daba'a region, located in the northwestern coast of Egypt, which can be described as a wild area. The approach used in this paper consists of studying the spatial ecological characteristics of El-Daba'a region using different spatial data including maps and Landsat remote sensing data. These data are used to create a series of superimposed informative layers managed by a geographic information system (GIS) to describe the spatial ecological characteristics of the study area. The developed GIS allows decision makers to handle large amounts of information simultaneously such as geology, geomorphology, land cover, wild life and many other different information layers. The system is designed to help decision makers to organize, relate, analyze, and visualize the ecological data and information in the study area. The developed GIS system might be used to determine the probable effects of building a nuclear power station on the ecosystem.																	1015-4442					MAR-JUN	2008	26	1-2					95	106										WOS:000260151400010						
J	Vadrevu, KP; Cardina, J; Hitzhusen, F; Bayoh, I; Moore, R; Parker, J; Stinner, B; Stinner, D; Hoy, C				Vadrevu, Krishna Prasad; Cardina, John; Hitzhusen, Fred; Bayoh, Isaac; Moore, Richard; Parker, Jason; Stinner, Ben; Stinner, Deb; Hoy, Casey			Case study of an integrated framework for quantifying agroecosystem health	ECOSYSTEMS												Agroecosystem health derives from a combination of biophysical and socioeconomic conditions that jointly influence such properties as productivity, sustainability, stability, and equitability. In this case study, we describe and analyze a method to quantify agroecosystem health through a combination of geographically referenced data at various spatial scales. Six key variables were hypothesized to provide a minimum set of conditions required to quantify agroecosystem health: soil health, biodiversity, topography, farm economics, land economics, and social organization. Each of these key variables was quantified by one or more attributes of a study area near Wooster, Ohio. Data sources included remote sensing, digital elevation models, soil maps, county auditor records, and a structured questionnaire of landowners in the study area. These data were combined by an analytical hierarchy process to yield an agroecosystem health index. The two steps in the process were first to combine the data at the pixel scale (30 m(2)) into key variables with normalized values, and then to combine the key variables into the final index. The analytical hierarchy process model was developed by panels of experts for each key variable and by participants in the Ohio Agricultural Research and Development Center's Agroecosystems Management Program for the final agroecosystem health index value. Observed spatial patterns of the agroecosystem health index were then analyzed with respect to the underlying data. Consistent with our hypothesis and the definition of agroecosystems, spatial patterns in the agroecosystem health index were an emergent property of combined socioeconomic and biophysical conditions not apparent in any of the underlying data or key variables. The method proposed in this study permits estimation of agroecosystem health as a function of specific underlying conditions, which combine in complex ways. Because values of the agroecosystem health index and the data underlying them can be analyzed for a particular landscape, the method proposed could be useful to policy makers, educators, service agencies, organizations, and the people who live in the area for finding opportunities to improve the health of their agroecosystem.					Vadrevu, Krishna/0000-0003-4407-5605												1432-9840	1435-0629				MAR	2008	11	2					283	306		10.1007/s10021-007-9122-z								WOS:000254235500008						
J	Somashekar, RK; Nagaraja, BC; Urs, K				Somashekar, R. K.; Nagaraja, B. C.; Urs, Kavya			Monitoring of Forest Fires in Bhadra Wildlife Sanctuary	PHOTONIRVACHAK-JOURNAL OF THE INDIAN SOCIETY OF REMOTE SENSING												The Western Ghats constitute one of the three biodiversity hot spots in India, which is under constant threat from various quarters. Among the several anthropogenic causes,. re is one of the important anthropogenic factor, which plays a pivotal role in vegetation succession and ecosystem processes. It is very important to understand the ecological changes due to. re and other anthropogenic factors for conservation and management of biodiversity. Because of its synoptic, multi-spectral and multi-temporal nature remote sensing data can be a good source for forest. re monitoring. In the present study, an effort has been made to monitor the burnt areas using March 2000 and 2004 IRS LISS - III data. The study revealed that an area of 2.15 km(2) and 4.46 km(2) was affected by fire in 2000 and 2004 respectively. Repeated drought, followed by mass flowering and dying of bamboo accelerated the spread of. re from ground to canopy in areas with high bamboo density.																	0255-660X					MAR	2008	36	1					99	104										WOS:000264821400010						
J	Daniels, AE; Painter, K; Southworth, J				Daniels, Amy E.; Painter, Katie; Southworth, Jane			Milpa imprint on the tropical dry forest landscape in Yucatan, Mexico: Remote sensing & field measurement of edge vegetation	AGRICULTURE ECOSYSTEMS & ENVIRONMENT												The Yucatan Peninsula hosts part of Central America's largest remaining tract of tropical dry forest and has been identified as a region of critical landscape change. This study complements the extensive research on land cover conversion in the region by investigating a subtle but important aspect of forest modification. We examine changes in the spatial characteristics of milpa cultivation plots in the swidden landscape of Peto municipality in Yucatan state from 1988 to 2003 using remote sensing. We also test the hypothesis that milpa clearings create a discernible edge effect in terms of forest structure. Results indicate that spatial patterns of milpas have changed over time. The amount of milpa/forest linear interface increased over the study period. Both satellite-based vegetation indices and field-based canopy cover measurements indicated that forest buffering milpa clearings had significantly lower biomass than background forest, despite that the background forest is itself a mosaic of successional forest stages. In contrast, there was no difference in stand basal area for milpa edge forest and background forest. Multivariate models demonstrated that the milpa edge indicator was the most important variable in explaining differences of vegetation indices for milpa edges and background forest compared with other factors that create edges in the landscape. Models were relatively effective in explaining mean values of vegetation indices; but they performed poorly in terms of explaining measures of forest vegetation heterogeneity. Comparing model results from each date suggests that the importance of milpa edges decreases over time, possibly as a function of the accumulated land use history as milpas rotate through the forest matrix. Evidence supports the notion that the effects of milpa land use extend beyond the clearing itself and into adjacent forest. Published by Elsevier B.V.					Southworth, Jane/0000-0002-7246-7879												0167-8809					FEB	2008	123	4					293	304		10.1016/j.agee.2007.07.003								WOS:000253019700005						
J	Pejchar, L; Pringle, RM; Ranganathan, J; Zook, JR; Duran, G; Oviedo, F; Daily, GC				Pejchar, Liba; Pringle, Robert M.; Ranganathan, Jai; Zook, James R.; Duran, Guillermo; Oviedo, Federico; Daily, Gretchen C.			Birds as agents of seed dispersal in a human-dominated landscape in southern Costa Rica	BIOLOGICAL CONSERVATION												Birds play vital roles as seed dispersers helping to maintain and restore plant communities. With restoration increasingly key to global conservation, it is important to understand the landscape attributes and bird community characteristics that most influence avian seed dispersal in human-altered landscapes. We examined bird community structure and seed-dispersal patterns in agricultural countryside in Costa Rica that is typical of much of the Neotropics. Contrary to expectations, bird abundance, not richness, best predicted the richness of bird-dispersed seeds. Neither forest patch size or proximity, nor total tree cover, influenced seed dispersal. The richness and abundance of dispersed seeds, however, was strongly correlated with "wetness," a remotely-sensed metric of vegetation, at several scales. These results suggest that in this human-dominated tropical region: (1) bird abundance, not species richness or size, may drive seed dispersal, and (2) remote-sensing combined with field verification can detect landscape elements that are helpful for maintaining the option of bird-mediated reforestation. (C) 2007 Elsevier Ltd. All rights reserved.																	0006-3207					FEB	2008	141	2					536	544		10.1016/j.biocon.2007.11.008								WOS:000254599900021						
