PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Alpers, W; Wong, WK; Dagestad, KF; Chan, PW				Alpers, Werner; Wong, Wai Kin; Dagestad, Knut-Frode; Chan, Pak Wai			A northerly winter monsoon surge over the South China Sea studied by remote sensing and a numerical model	INTERNATIONAL JOURNAL OF REMOTE SENSING					10th Biennial Pan Ocean Remote Sensing Conference (PORSEC)	OCT, 2010	Keelung, TAIWAN	Natl Taiwan Ocean Univ, Taiwan Ocean Res Inst, Taiwan Natl Sci Council, Fisheries (FA), Environm Protect Agcy Taiwan (EPA), Int Space Sci & Res Agencies				A northerly winter monsoon surge, which occurred on 15 December 2009 over the South China Sea (SCS), is studied by using satellite-based and ground-based remote-sensing data and an atmospheric numerical model. The remote-sensing data are from the advanced synthetic aperture radar (ASAR) onboard the Environmental Satellite (Envisat), the Moderate Resolution Imaging Spectroradiometer (MODIS) sensor onboard the Terra satellite, the imager onboard the geostationary satellite MTSAT-1R (Multi-Functional Transport Satellite-1R) and the weather radar of the Hong Kong Observatory (HKO). A northerly winter monsoon surge is a cold air outbreak associated with a northerly wind, the passage of a cold front from north to south and a strong drop in air temperature. The analyses of the weather radar and the MTSAR-1R images of 15 December show that the surge of 15 December was associated with a rain band and a cloud front travelling over the SCS in a southeastward direction. Due to the interaction of the cold air (13 degrees C) with the warm water (19 degrees C), they dissolved when they had reached an offshore distance of approximately 160 km. The high-resolution (150 m) ASAR image reveals fine-scale features of the wind field, in particular details of the wind front, such as embedded rain cells and atmospheric gravity waves. Quantitative information on the near-surface wind field is retrieved from the ASAR, and it is shown that the wind field associated with the surge is quite variable and that speeds up to 15 m s(-1) are encountered in coastal wind jets. Finally, the remote-sensing data are compared with the simulation results of the pre-operational version of the Atmospheric Integrated Rapid-cycle (AIR) forecast model of the HKO. It is shown that, in general, the AIR model reproduces quite well the observational data.				chen, zhu/K-5923-2013; Chan, Pak Wai/C-8447-2011	Chan, Pak Wai/0000-0003-2289-0609												0143-1161						2012	33	23			SI		7361	7381		10.1080/01431161.2012.685983								WOS:000306286200004						
J	Pan, G; Tang, DL; Zhang, YZ				Pan, Gang; Tang, Danling; Zhang, Yuanzhi			Satellite monitoring of phytoplankton in the East Mediterranean Sea after the 2006 Lebanon oil spill	INTERNATIONAL JOURNAL OF REMOTE SENSING					10th Biennial Pan Ocean Remote Sensing Conference (PORSEC)	OCT, 2010	Keelung, TAIWAN	Natl Taiwan Ocean Univ, Taiwan Ocean Res Inst, Taiwan Natl Sci Council, Fisheries (FA), Environm Protect Agcy Taiwan (EPA), Int Space Sci & Res Agencies				Multi-source remote-sensing data were used to study the aftermath of the 2006 Lebanon oil spill: Moderate Resolution Imaging Spectroradiometer (MODIS) 250 m data and advanced synthetic aperture radar (SAR) images were used to delineate the extent of the oil spill; QuikScat data were used to derive the wind field; and MODIS Ocean Colour data were used to demonstrate the variability of chlorophyll-a concentration (Chl-a) and sea surface temperature (SST). No significant changes were found in marine phytoplankton in the first few months after the oil spill. However, a big phytoplankton bloom was observed after 10 months, when Chl-a increased from 0.1 to 1.0 mg m(-3). After considering the time-series variability of Chl-a and SST and the spatial variability of Chl-a and bathymetry, we concluded that this phytoplankton bloom was probably related to the Lebanon oil spill.				chen, zhu/K-5923-2013	Pan, Gang/0000-0003-0054-6516												0143-1161						2012	33	23			SI		7482	7490		10.1080/01431161.2012.685982								WOS:000306286200012						
J	Romer, H; Willroth, P; Kaiser, G; Vafeidis, AT; Ludwig, R; Sterr, H; Diez, JR				Roemer, H.; Willroth, P.; Kaiser, G.; Vafeidis, A. T.; Ludwig, R.; Sterr, H.; Diez, J. Revilla			Potential of remote sensing techniques for tsunami hazard and vulnerability analysis - a case study from Phang-Nga province, Thailand	NATURAL HAZARDS AND EARTH SYSTEM SCIENCES												Recent tsunami disasters, such as the 2004 Indian Ocean tsunami or the 2011 Japan earthquake and tsunami, have highlighted the need for effective risk management. Remote sensing is a relatively new method for risk analysis, which shows significant potential in conducting spatially explicit risk and vulnerability assessments. In order to explore and discuss the potential and limitations of remote sensing techniques, this paper presents a case study from the tsunami-affected Andaman Sea coast of Thailand. It focuses on a local assessment of tsunami hazard and vulnerability, including the socio-economic and ecological components. High resolution optical data, including IKONOS data and aerial imagery (MFC-3 camera) as well as different digital elevation models, were employed to create basic geo-data including land use and land cover (LULC), building polygons and topographic data sets and to provide input data for the hazard and vulnerability assessment. Results show that the main potential of applying remote sensing techniques and data derives from a synergistic combination with other types of data. In the case of hazard analysis, detailed LULC information and the correction of digital surface models (DSMs) significantly improved the results of inundation modeling. The vulnerability assessment showed that remote sensing can be used to spatially extrapolate field data on socio-economic or ecological vulnerability collected in the field, to regionalize exposure elements and assets and to predict vulnerable areas. Limitations and inaccuracies became evident regarding the assessment of ecological resilience and the statistical prediction of vulnerability components, based on variables derived from remote sensing data.					Vafeidis, Athanasios/0000-0002-3906-5544												1561-8633						2012	12	6					2103	2126		10.5194/nhess-12-2103-2012								WOS:000305829600023						
J	Colditz, RR; Acosta-Velazquez, J; Gallegos, JRD; Lule, ADV; Rodriguez-Zuniga, MT; Maeda, P; Lopez, MIC; Ressl, R				Colditz, Rene R.; Acosta-Velazquez, Joanna; Diaz Gallegos, Jose Reyes; Vazquez Lule, Alma Delia; Teresa Rodriguez-Zuniga, Maria; Maeda, Pedro; Cruz Lopez, Maria Isabel; Ressl, Rainer			Potential effects in multi-resolution post-classification change detection	INTERNATIONAL JOURNAL OF REMOTE SENSING												Change detection is one of the primary applications of remote-sensing data, and many techniques have been developed during the past three decades. Although frequently criticized and despite many alternatives, due to its simplicity and intuitive manner, post-classification change detection still remains one of the most applied techniques. Many studies in the field of change detection analysis acknowledge, for instance, the impact of misregistration, inconsistencies in classification schemes or differences in methods for image interpretation. However, there are additional, rarely studied influences that can cause large errors in change detection results, including integrating multi-resolution data, the adjacency effect and the minimum mapping units (MMUs) that are applied to the classification before change detection. This study demonstrates these effects for the complex land cover of the Alvarado mangrove area at the Mexican Gulf Coast, employing 10 m Systeme Pour l'Observation de la Terre 5 (SPOT-5) high geometric resolution (HRG)-based and 57 m Landsat Multispectral Scanner (MSS) classifications. As a baseline, the proportion of the fine spatial resolution classes within the coarse spatial resolution cells were derived, from which proportional change matrices were computed. The analysis employs difference measures to compare change matrices and proportional maps. The impact of various tested resampling functions was negligible if coarse resolution data were refined. For coarsening fine spatial resolution data, change matrix comparison was comparatively small but yielded differences of approximately 20% in spatially explicit measures. Incorrect positional alignment indicated differences of up to 5% in the change matrix for a misregistration of 100 m and even higher spatially explicit differences (28%). The discrepancies due to the adjacency effect were rather low. MMUs of 25 ha resulted in differences of up to 36% in the change matrix. The magnitude of the discrepancies of all studied effects depends on the class diversity in the map, and some can also be related to the difference in spatial resolution.																	0143-1161						2012	33	20					6426	6445		10.1080/01431161.2012.688148								WOS:000304593100008						
J	Ahmad, SR; Lakhan, VC				Ahmad, Sajid Rashid; Lakhan, V. Chris			GIS-Based Analysis and Modeling of Coastline Advance and Retreat Along the Coast of Guyana	MARINE GEODESY												This research utilized a Geographical Information System (GIS)-based approach to analyze, map and model coastline advance and retreat. A time series (1941-1987) of empirical advance and retreat data from the coast of Guyana was used. Coastlines were also extracted from 1987, 1990 and 1992 Landsat TM images, and 1999, 2002, 2004 and 2006 Landsat ETM+ images. The historical data were used to calculate advance and retreat (AOR) rates and sediment volume changes. Distinct periods of advance and retreat matched corresponding periods of sediment gains and losses. The Digital Shoreline Analysis System (DSAS) was used to predict rates of coastline change. Graphical plots of DSAS results identified spatial and temporal phase shifts of the coastline. Recurring episodes of accretion and erosion could be associated with the presence or absence of mudbanks along the coast.					ahmad, sajid/0000-0003-0122-472X												0149-0419	1521-060X					2012	35	1					1	15		10.1080/01490419.2011.637851								WOS:000304472400001						
J	Sarangi, RK				Sarangi, R. K.			Observation of Algal Bloom in the Northwest Arabian Sea Using Multisensor Remote Sensing Satellite Data	MARINE GEODESY												Algal bloom observed using Indian Remote Sensing Satellite IRS-P4 Ocean Color Monitor (OCM) derived chlorophyll images during December 23, 2003-January 8, 2004, off the Oman coast. High chlorophyll concentration (similar to 20 mg m(-3)) patches were observed. MODIS-Aqua data of January 1, 2004, were analyzed to generate normalized water leaving radiance (nLw) images for seven visible channels: 412, 443, 488, 531, 551, 667 and 678 nm. The channels 667 and 678 nm showed interesting algal bloom features. The bloom features were detected in OCM image of January 2, 2004, using Subramanian's Trichodesmium detection Protocol. MODIS-Aqua retrieved Sea Surface Temperature (SST) around the bloom patches was observed to be >240 degrees C. The OCM chlorophyll mean observed to be very high (>10.0 mg m(-3)) in two bloom pockets. Quickscat scatterometer derived wind speed was found to be optimum in the range of 3-5 m/sec.																	0149-0419						2012	35	2					158	174		10.1080/01490419.2011.637848								WOS:000304471500003						
J	Krug, LA; Gherardi, DFM; Stech, JL; Leao, ZMDN; De Kikuchi, RKP				Krug, Lilian Anne; Marcolino Gherardi, Douglas Francisco; Stech, Jose Luiz; De Andrade Nery Leao, Zelinda Margarida; Papa De Kikuchi, Ruy Kenji			Characterization of coral bleaching environments and their variation along the Bahia state coast, Brazil	INTERNATIONAL JOURNAL OF REMOTE SENSING												The relation between climate variability and coral bleaching in the Bahia reefs was investigated in an attempt to characterize the bleaching environments. The following 13-year time series were derived from the remote-sensing, analysis and reanalysis data: maximum summertime sea surface temperature (SST), maximum sea surface temperature (MaxSST) accumulated in 5 days (SSTAc5day), diffuse attenuation coefficient for downward irradiance at 490 nm (K-490), rainfall and magnitude of surface wind fields, including the zonal (U) and meridional components. Principal component analysis, non-metric multidimensional scaling (MDS) and cluster and similarity analyses indicate the complex nature of the bleaching patterns and the influence of the strong 1997-1998 El Nino. A significant (global R-value = 0.65; p < 0.01) compounding effect of the reef location and bleaching intensity on the differentiation of bleaching environments was detected. A combination of high SSTAc5day and low K-490 may cause coral bleaching in the northernmost reefs. Evidence clearly points to a scenario where the influence of reef location, bleaching year and intensity may produce a compounded effect that determines the bleaching environments in Bahia.				Leao, Zelinda/I-5729-2013; Kikuchi, Ruy/I-4884-2013; Gherardi, Douglas/I-1079-2015	Kikuchi, Ruy/0000-0002-6271-7491; Krug, Lilian/0000-0002-0066-7679												0143-1161						2012	33	13					4059	4074		10.1080/01431161.2011.639505								WOS:000302168500005						
J	Soussa, H; El Feel, AA; Alfy, SZ; Yousif, MSM				Soussa, Hoda; El Feel, A. A.; Alfy, S. Z.; Yousif, M. S. M.			Flood hazard in Wadi Rahbaa area, Egypt	ARABIAN JOURNAL OF GEOSCIENCES												In the last decade, attention has been devoted to the southern part of the Egyptian Red Sea coast due to the large touristic and mining activities. Egypt spares no effort to develop it, to build new urban communities, and to create new job opportunities. Many comprehensive planning studies have been conducted. Many luxurious tourist spots, airports, and harbors have been constructed. These areas are subjected to flash floods, which represent a frequent threat to these urbanization activities that may cause losses in livelihood. By analyzing the geomorphologic features of the study area, intense stream networks are detected that, with the available metrological data, require flood management and analysis to mitigate the possible negative effects and to benefit from the estimation of flood water. Rahbaa basin is a sub-catchment of wadi Hodin. Flash floods within this area threaten the Red Sea coastal plain as well as the main coastal roads. It also directly drained out to the sea, which leads to a loss of huge amounts of flood water that is useful for arid regions. Using geographic information system and remote-sensing tools with the application of a comprehensive graphical modeling (watershed modeling system) supports the hydrological modeling of HEC-1. The total amount of runoff is calculated and the hydrograph of the 50-year return period is computed using rainfall historical data.					, Hoda/0000-0003-2866-5357												1866-7511					JAN	2012	5	1					45	52		10.1007/s12517-010-0144-z								WOS:000299294800004						
J	Klemas, V				Klemas, Victor			Remote Sensing of Coastal Plumes and Ocean Fronts: Overview and Case Study	JOURNAL OF COASTAL RESEARCH												Coastal plumes, which carry run-off from land, influence the circulation patterns and ecology of nearby coastal areas, causing eutrophication, turbidity, and spread of harmful pollutants. They can be observed along many coasts. Estuarine and ocean fronts result when denser water under-rides lighter water giving rise to an inclined interface and a strong convergence at the surface, which can concentrate phytoplankton and pollutants. To detect and map fronts and plumes, remote sensors exploit their differences in turbidity, color, temperature, or salinity from ambient background water. The most effective remote sensing techniques for observing coastal plumes and estuarine/ocean fronts are reviewed. Studies are presented, which use data from multispectral and hyperspectral imagers, thermal infrared (TIR) radiometers, microwave radiometers, and Synthetic Aperture Radar (SAR). Mounted on satellites and aircraft, these sensors provide the spatial/temporal resolution and coverage needed for tracking plumes and fronts, including their high temporal and spatial variability. This article reviews the most effective remote sensing techniques for observing coastal plumes and ocean fronts and illustrates the application of these techniques in a case study.																	0749-0208	1551-5036				JAN	2012	28	1A		S			1	7		10.2112/JCOASTRES-D-11-00025.1								WOS:000299147900001						
J	Bowers, DG; Md-Suffian, I; Mitchelson-Jacob, EG				Bowers, D. G.; Md-Suffian, I.; Mitchelson-Jacob, E. G.			Bio-optical properties of east coast Malaysia waters in relation to remote sensing of chlorophyll	INTERNATIONAL JOURNAL OF REMOTE SENSING												Surface water samples collected during the monsoon and inter-monsoon seasons of 2009 off the east coast of Peninsular Malaysia have been analysed for concentrations of total chlorophyll, suspended particulates and coloured dissolved organic matter (CDOM). Spectral absorption coefficients of dissolved and particulate materials have also been measured. Significant seasonal variabilities in concentrations and optical properties were reported with high concentrations of all parameters during the northeast monsoon (NEM) season and low during the southwest monsoon (SWM) and inter-monsoon seasons. Contrary to previous reports on the oligotrophic nature of the waters during the inter-monsoon season, relatively high concentrations of chlorophyll (>3 mg m(-3)) were observed at offshore stations in the study area in the spring and fall inter-monsoon months. The chlorophyll-specific absorption spectrum changes with the seasons with the greatest absorption per unit chlorophyll during the SWM and the least during the inter-monsoon seasons, probably in response to seasonal changes in phytoplankton community and cell size structure. The water is classified as optical case 2. At the blue end of the spectrum (440 nm), light absorption by non-phytoplankton materials (CDOM and detritus) accounts for nearly 70% of the total non-water absorption regardless of the season. At the wavelength (676 nm) of the secondary chlorophyll absorption peak in the red part of the spectrum, light absorption by chlorophyll contributes 80-90% to total non-water absorption at most stations and this may provide the basis for remote sensing of phytoplankton chlorophyll in these waters.																	0143-1161	1366-5901					2012	33	1					150	169		10.1080/01431161.2011.584917								WOS:000298946600009						
