PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Etzold, J; Munzner, F; Manthey, M				Etzold, Jonathan; Muenzner, Franziska; Manthey, Michael			Sub-alpine and alpine grassland communities in the northeastern Greater Caucasus of Azerbaijan	APPLIED VEGETATION SCIENCE												Questions: Which are the main sub-alpine and alpine grassland communities in the northeastern Greater Caucasus of Azerbaijan and what are their environmental and anthropogenic drivers? Location: Grasslands at 1800 and 3500 m a.s.l. on northern macroslope of the Greater Caucasus in Azerbaijan near Shahdag Mt. Methods: We established a randomized sampling design with stratification by geomorphology and altitude and validation using remote sensing data. The vegetation survey on 194 releves in a nested plot design of up to 100 m(2) encompassed examiniation of various site conditions. We applied cluster and indicator species analysis for vegetation classification, and indirect multivariate ordination to assess vegetation-environment relationships. Results: We classified 13 unranked communities in two sub-alpine groups and one alpine group, plus the very distinct vegetation around camp sites of semi-nomadic herders. Important drivers for vegetation differentiation are altitude as proxy for temperature, latitude as proxy for orographically founded differences in bedrock and precipitation, aspect, soil factors, such as content of organic matter and variables connected to land-use types and intensity (e.g. pasturing vs hay meadows, browsing tracks). In consequence, also effects on species richness are detectable. Furthermore, we found only partial concordance of our communities with existing vegetation classifications in the Greater Caucasus. Conclusions: A state-of-the-art classification and ordination of regional high-mountain grassland communities and their environmental drivers fills a gap in knowledge about this vegetation. It is widely unknown to international audience and remained almost unstudied during the last 25 yr, when severe shifts in land use remarkably changed the natural conditions. The study can help to identify problems in current grassland management and their consequences for biodiversity conservation. Desirable changes towards sustainable grassland utilization require combined socio-ecological assessments beforehand.																	1402-2001	1654-109X				APR	2016	19	2					316	335		10.1111/avsc.12207								WOS:000374545600015						
J	Lombardo, V				Lombardo, V.			Influence of pre-existing topography on downflow lava discharge rates estimated from thermal infrared airborne data	GEOPHYSICAL JOURNAL INTERNATIONAL												Remote sensing thermal data of active lava flows allow the evaluation of effusion rates. This is made possible by a simple formula relating the lava effusion rate to the heat flux radiated per unit time from the surface of the flow. Due to the assumptions of the model, this formula implies that heat flux, surface temperature and lava temperature vary as a function of the flow thickness. These relationships, never verified or validated before, have been used by several authors as a proof of the weakness of the model. Here, multispectral infrared and visible imaging spectrometer (MIVIS) high spatial resolution (5-10 m) thermal data acquired during Etna's 2001 eruption were used to investigate downflow heat flux variations in the lava flow emitted from a vent located at 2100 m a.s.l. A high correlation between the downflow heat flux and the lava flow thickness (measured from a pre-existing digital elevation model) was found. Topography beneath the flow appears to play an important role both in lava emplacement mechanisms and flow dynamics. MIVIS-derived downflow effusion rates are consistent with the law of conservation of mass assessing the reliability of remote sensing techniques.																	0956-540X	1365-246X				APR	2016	205	1					122	133		10.1093/gji/ggv557								WOS:000374479800010						
J	Tsai, HP; Yang, MD				Tsai, Hui Ping; Yang, Ming-Der			Relating Vegetation Dynamics to Climate Variables in Taiwan Using 1982-2012 NDVI3g Data	IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING												This research aims to improve our understanding of vegetation dynamics and associated climate variables in Taiwan by utilizing mean-variance analysis (MVA), relative directional persistence analysis, and Pearson's product moment correlation analysis on the Advanced Very High Resolution Radiometer (AVHRR)-derived NDVI3g data from 1982 to 2012. The results indicate a slightly increasing mean-normalized difference vegetation index (NDVI) value with a relatively higher variance during the 1990s and lower variance during the 2000s, which may be explained by the observed fluctuation in precipitation. Additionally, NDVI patterns are identified as increasing in the first half of the year and decreasing in the second half of the year. Spatially, decreasing patterns are observed in all regions except that the northern counties exhibit an increasing NDVI pattern supported by the observed increase in precipitation. Moreover, sunshine duration and temperature are positively correlated with NDVI, whereas precipitation and cloud amount exhibit a negative correlation with NDVI in Taiwan. In the context of global environmental change, this research highlights the utility of applying a combined spatial-temporal approach to remote sensing products. This is an approach with potential applications such as landscape management, conservation practice, and water resource management for policy makers and stakeholders in and beyond Taiwan.																	1939-1404	2151-1535				APR	2016	9	4					1624	1639		10.1109/JSTARS.2015.2511742								WOS:000375868800024						
J	Satish, KV; Reddy, CS				Satish, K. V.; Reddy, C. Sudhakar			Long Term Monitoring of Forest Fires in Silent Valley National Park, Western Ghats, India Using Remote Sensing Data	JOURNAL OF THE INDIAN SOCIETY OF REMOTE SENSING												The main objective of this study is to integrate satellite derived forest burnt areas over a multi-decadal scale to understand fire frequencies in Silent Valley National Park, Kerala, India. There are nine vegetation types distinguished i.e. wet evergreen forest, shola, semi evergreen forest, moist deciduous forest, dry deciduous forest, savannah, reed brakes, scrub and grasslands using Resoursesat-2 LISS III data. The spatial extent of burnt area found to be highly varying and has been estimated as 7.95 km(2) in 1973, 17.19 km(2) in 1985, 5.51 km(2) in 1989, 9.55 km(2) in 1990, 4.55 km(2) in 1994, 6.89 km(2) in 1996 and 5.80 km(2) in 1999. Analysis of burnt area coverage for recent decade based on 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013 and 2014 reveals fire affected area as 8.10, 4.20, 12.21, 5.52, 3.19, 0.62, 1.81, 2.03, 3.00 and 1.36 km(2) area respectively. Spatial analysis indicates, an area of 47.51 km(2) (19.5 % of total vegetation cover) affected by varying frequencies of fires from 1973 to 2014. High frequencies of fires have been observed in dry deciduous forests and grasslands. Buffer zone of national park has undergone frequent fires which may degrade climax forest vegetation and affects the regeneration and adaptability of indigenous species. Spatial tracking reveals 58.1 % grid cells were affected by forest fires. Overall, there is a declining trend of forest fires indicates management effectiveness in Silent Valley National Park.					Satish, KV/0000-0001-6772-3914												0255-660X	0974-3006				APR	2016	44	2					207	215		10.1007/s12524-015-0491-z								WOS:000375792500007						
J	Zhang, B; Niu, T; Fang, SF; Wu, DY				Zhang Bo; Niu Ting; Fang Shi-feng; Wu De-yan			Research on the Spectral Characteristic of Typical Vegetation in Desert-Oasis Crisscross Zone	SPECTROSCOPY AND SPECTRAL ANALYSIS												Vegetations in desert play key a role in protecting eco-environment, especially in desert-oasis crisscross zone. Vegetations are of great significance in soil conservation and improving the shear resistance of land. Therefore, they can help to prevent soil from wind erosion and keep land from desertification. Analyzing the spectral data of typical vegetation in desert-oasis crisscross zone by using the hyper spectral technology can be a guidance for remote sensing vegetation classification and serve as the basis for remote vegetation monitoring. In our research, four kinds of typical vegetations have been selected: cotton, tamarix chinensis, Haloxylon ammodendron and Halostachys caspica. The researcher collected series of spectral data of different typical vegetations under different conditions with the help of Field Spec 4 high resolution spectrometer. The collected data was classified, flitted and synthesized with two kinds of transform methods: FDR (First Order Derivative Reflectance) and RLR (Reciprocal Logarithmic Reflectance) transformation. And then three kinds of data were used in further research to analyze the sensitive spectrum band and expression of different vegetation. The result shows that the spectral curve of different vegetations show the same changing trend; different vegetation show different expression in "red edge" with the near infrared band of 780 similar to 1 260 nm. The visible light absorption of vegetation is very strong, and the difference of absorption extent causes peaks and troughs. The "red edge" characteristic is unique, which will carry the proper information of certain vegetation, and the result of different kinds of transformation show that FDR can express the red edge characteristic much better than other ways. At last, three ways were used to calculate NDVI, using the original spectral data, transforming spectral data with FDR and transforming spectral data with RLR Result shows that the NDVI, which calculated by RLR can help to distinguish the type of vegetation with higher accuracy is.																	1000-0593					APR	2016	36	4					1104	1108		10.3964/j.issn.1000-0593(2016)04-1104-05								WOS:000374625000037						
J	Redhead, JW; Dreier, S; Bourke, AFG; Heard, MS; Jordan, WC; Sumner, S; Wang, JL; Carvell, C				Redhead, John W.; Dreier, Stephanie; Bourke, Andrew F. G.; Heard, Matthew S.; Jordan, William C.; Sumner, Seirian; Wang, Jinliang; Carvell, Claire			Effects of habitat composition and landscape structure on worker foraging distances of five bumble bee species	ECOLOGICAL APPLICATIONS												Bumble bees (Bombus spp.) are important pollinators of both crops and wildflowers. Their contribution to this essential ecosystem service has been threatened over recent decades by changes in land use, which have led to declines in their populations. In order to design effective conservation measures, it is important to understand the effects of variation in landscape composition and structure on the foraging activities of worker bumble bees. This is because the viability of individual colonies is likely to be affected by the trade-off between the energetic costs of foraging over greater distances and the potential gains from access to additional resources. We used field surveys, molecular genetics, and fine resolution remote sensing to estimate the locations of wild bumble bee nests and to infer foraging distances across a 20-km(2) agricultural landscape in southern England, UK. We investigated five species, including the rare B. ruderatus and ecologically similar but widespread B. hortorum. We compared worker foraging distances between species and examined how variation in landscape composition and structure affected foraging distances at the colony level. Mean worker foraging distances differed significantly between species. Bombus terrestris, B. lapidarius, and B. ruderatus exhibited significantly greater mean foraging distances (551, 536, and 501 m, respectively) than B. hortorum and B. pascuorum (336 and 272 m, respectively). There was wide variation in worker foraging distances between colonies of the same species, which was in turn strongly influenced by the amount and spatial configuration of available foraging habitats. Shorter foraging distances were found for colonies where the local landscape had high coverage and low fragmentation of seminatural vegetation, including managed agri-environmental field margins. The strength of relationships between different landscape variables and foraging distance varied between species, for example the strongest relationship for B. ruderatus being with floral cover of preferred forage plants. Our findings suggest that management of landscape composition and configuration has the potential to reduce foraging distances across a range of bumble bee species. There is thus potential for improvements in the design and implementation of landscape management options, such as agri-environment schemes, aimed at providing foraging habitat for bumble bees and enhancing crop pollination services.																	1051-0761	1939-5582				APR	2016	26	3					726	739		10.1890/15-0546								WOS:000374840500007	27411246					
J	Bui, DT; Le, KTT; Nguyen, VC; Le, HD; Revhaug, I				Dieu Tien Bui; Kim-Thoa Thi Le; Van Cam Nguyen; Hoang Duc Le; Revhaug, Inge			Tropical Forest Fire Susceptibility Mapping at the Cat Ba National Park Area, Hai Phong City, Vietnam, Using GIS-Based Kernel Logistic Regression	REMOTE SENSING												The Cat Ba National Park area (Vietnam) with its tropical forest is recognized as being part of the world biodiversity conservation by the United Nations Educational, Scientific and Cultural Organization (UNESCO) and is a well-known destination for tourists, with around 500,000 travelers per year. This area has been the site for many research projects; however, no project has been carried out for forest fire susceptibility assessment. Thus, protection of the forest including fire prevention is one of the main concerns of the local authorities. This work aims to produce a tropical forest fire susceptibility map for the Cat Ba National Park area, which may be helpful for the local authorities in forest fire protection management. To obtain this purpose, first, historical forest fires and related factors were collected from various sources to construct a GIS database. Then, a forest fire susceptibility model was developed using Kernel logistic regression. The quality of the model was assessed using the Receiver Operating Characteristic (ROC) curve, area under the ROC curve (AUC), and five statistical evaluation measures. The usability of the resulting model is further compared with a benchmark model, the support vector machine (SVM). The results show that the Kernel logistic regression model has a high level of performance in both the training and validation dataset, with a prediction capability of 92.2%. Since the Kernel logistic regression model outperforms the benchmark model, we conclude that the proposed model is a promising alternative tool that should also be considered for forest fire susceptibility mapping in other areas. The results of this study are useful for the local authorities in forest planning and management.				Tien Bui, Dieu/K-2125-2012	Tien Bui, Dieu/0000-0001-5161-6479												2072-4292					APR	2016	8	4							347	10.3390/rs8040347								WOS:000375156500080						
J	Koedsin, W; Intararuang, W; Ritchie, RJ; Huete, A				Koedsin, Werapong; Intararuang, Wissarut; Ritchie, Raymond J.; Huete, Alfredo			An Integrated Field and Remote Sensing Method for Mapping Seagrass Species, Cover, and Biomass in Southern Thailand	REMOTE SENSING												Accurate and up-to-date maps of seagrass biodiversity are important for marine resource management but it is very challenging to test the accuracy of remote sensing techniques for mapping seagrass in coastal waters with variable water turbidity. In this study, Worldview-2 (WV-2) imagery was combined with field sampling to demonstrate the capability of mapping species type, percentage cover, and above-ground biomass of seagrasses in monsoonal southern Thailand. A high accuracy positioning technique, involving the Real Time Kinematic (RTK) Global Navigation Satellite System (GNSS), was used to record field sample data positions and reduce uncertainties in matching locations between satellite and field data sets. Our results showed high accuracy (90.67%) in mapping seagrass distribution and moderate accuracies for mapping percentage cover and species type (73.74% and 75.00%, respectively). Seagrass species type mapping was successfully achieved despite discrimination confusion among Halophila ovalis, Thalassia hemprichii, and Enhalus acoroides species with greater than 50% cover. The green, yellow, and near infrared spectral channels ofWV-2 were used to estimate the above-ground biomass using a multiple linear regression model (RMSE of +/- 10.38 g.DW/m(2), R = 0.68). The average total above-ground biomass was 23.95 +/- 10.38 g.DW/m(2). The seagrass maps produced in this study are an important step towards measuring the attributes of seagrass biodiversity and can be used as inputs to seagrass dynamic models and conservation efforts.				Hashim, Mazlan/J-7291-2012	Hashim, Mazlan/0000-0001-8284-3332; Koedsin, Werapong/0000-0002-4411-9148												2072-4292					APR	2016	8	4							292	10.3390/rs8040292								WOS:000375156500025						
J	Reddy, CS; Pasha, SV; Jha, CS; Diwakar, PG; Dadhwal, VK				Reddy, C. Sudhakar; Pasha, S. Vazeed; Jha, C. S.; Diwakar, P. G.; Dadhwal, V. K.			Development of national database on long-term deforestation (1930-2014) in Bangladesh	GLOBAL AND PLANETARY CHANGE												The aim of the present study is to prepare a nation-wide spatial database on forest cover to assess and monitor the land use changes associated with deforestation in Bangladesh. The multi-source data were interpreted to get the forest cover map of 1930, 1975, 1985, 1995, 2006 and 2014. The spatial information generated on total area under forest cover, rate of deforestation and afforestation, changes across forest types, forest canopy density, replacement land use in deforested area and deforestation hotspots. This spatial analysis has indicated that forest cover is undergoing significant negative change in area and quality. We report that forests in Bangladesh covered an area of 23,140 km(2) in 1930 which has decreased to 14,086 km(2) in 2014, a net loss of 9054 km2 (39.1%) in eight decades. Analysis of annual rate of gross deforestation for the recent period indicates 0.77% during 2006-2014. During the past eight decades, semi-evergreen forests show loss of 56.4% of forest cover followed by moist deciduous forests (51.5%), dry deciduous forests (43.1%) and mangroves (6.5%). The loss of 23.5% of dense forest cover was found from 1975 to 2014. Dense semi-evergreen forests shows more negative change (36.9%) followed by dense moist deciduous forest (32.7%) from 1975 to 2014. Annual rate of deforestation is higher in dense forests compared to open forests from 2006 to 2014 and indicates increased threat due to anthropogenic pressures. The spatial analysis of forest cover change in mangroves has shown a lower rate of deforestation. Most of the forest conversions have led to the degradation of forests to scrub and transition to agriculture and plantation. The study has identified the 'deforestation hotspots' can help in strategic planning for conservation and management of forest resources. (C) 2016 Elsevier B.V. All rights reserved.																	0921-8181	1872-6364				APR	2016	139						173	182		10.1016/j.gloplacha.2016.02.003								WOS:000374626700015						
J	Rawat, KS; Mishra, AK; Bhattacharyya, R				Rawat, Kishan Singh; Mishra, Ainl Kumar; Bhattacharyya, Ranjan			Soil erosion risk assessment and spatial mapping using LANDSAT-7 ETM+, RUSLE, and GIS-a case study	ARABIAN JOURNAL OF GEOSCIENCES												This paper discusses the application of the Revised Universal Soil Loss Equation (RUSLE) in conjunction with LANDSAT-7 ETM+ remote sensing data, and geographical information system (GIS) to the spatial mapping of soil erosion risk in Jhagrabaria Watershed Allahabad, U.P., India. Soil map and topographical data were used to develop the soil erodibility factor (K), and a digital elevation model (DEM) image was used to generate the topographic factor (LS). The cover-management factor (C) was developed based on vegetation, shade, and soil fraction images derived from spectral mixture analysis of a LANDSAT Enhanced Thematic Mapper Plus (LANDSAT-7 ETM+) image, and support practice factor (P) was developed by crossing operation between land use/land cover classification map and slope map. Assuming the same climatic conditions in the study area, the rainfall-runoff erosivity (R) factor was not used. The value of K for the study area lies between 0.25 and 0.485, LS values were less than 1.4, and C and P values were less than 1. A soil erosion risk map with five classes (very low, low, medium, medium high, and high) was produced based on the simplified RUSLE within the GIS environment and was linked to land use/land cover (LULC) image to explore the relationships between soil erosion risk (SER) and LULC distribution. The results indicated that the land use/land cover (LULC) having the most succession and mature vegetation are in low-erosion-risk areas, while the barren and fallow lands are usually associated with high-to medium-erosion-risk areas. The spatial maps of the SER has been generated that can be utilized in the policy matter and planning for the watershed studied. This research also implied that the remote sensing and GIS tools and techniques provide the highly promising and important tools for evaluating and mapping soil erosion risk in the Jhagrabaria Watershed.					Bhattacharyya, Ranjan/0000-0001-6200-2181												1866-7511	1866-7538				APR	2016	9	4							288	10.1007/s12517-015-2157-0								WOS:000374256200045						
