PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Jaramillo, F; Brown, I; Castellazzi, P; Espinosa, L; Guittard, A; Hong, SH; Rivera-Monroy, VH; Wdowinski, S				Jaramillo, Fernando; Brown, Ian; Castellazzi, Pascal; Espinosa, Luisa; Guittard, Alice; Hong, Sang-Hoon; Rivera-Monroy, Victor H.; Wdowinski, Shimon			Assessment of hydrologic connectivity in an ungauged wetland with InSAR observations	ENVIRONMENTAL RESEARCH LETTERS												The Cienaga Grande de Santa Marta (CGSM) is one of the world's most productive tropical wetlands and one that has witnessed some of the greatest recorded dieback of mangroves. Human-driven loss of hydrologic connectivity by roads, artificial channels and water flow regulation appears to be the reason behind mangrove mortality in this ungauged wetland. In this study, we determined the CGSM's current state of hydrologic connectivity by combining a remote sensing technique, termed as Wetland Interferometric Synthetic Aperture Radar (InSAR), with a hydrologic study of river water discharge. For this research, we processed 29 ALOS-PALSAR acquisitions taken during the period 2007-2011 and generated 66 interferograms that provide information on relative surface water level changes. We found that change in water discharge upstream on the main tributary of the CGSM could explain at most 17% of the variance of the change in water level in the CGSM. Fresh water inputs into the wetland were identified only when the mean daily water discharge in the river exceeded 700m(3) s(-1), which corresponds to only 30% of the days during the period. The interferogram analysis also revealed that artificial channels within the wetland serve as barriers to water flow and contribute to the overall loss in hydrologic connectivity. We recommend increasing fresh water inputs from the Magdalena River by reducing water regulation of fresh water from the river and improving connectivity on either side of the artificial channels crossing the CGSM. This study emphasizes the potential of the application of wetland InSAR to determine hydrologic connectivity in wetlands that are completely or poorly ungauged and to define the necessary guidelines for wetland hydrologic restoration.																	1748-9326					FEB	2018	13	2							024003	10.1088/1748-9326/aa9d23								WOS:000423452800002						
J	Pastor-Guzman, J; Dash, J; Atkinson, PM				Pastor-Guzman, J.; Dash, Jadunandan; Atkinson, Peter M.			Remote sensing of mangrove forest phenology and its environmental drivers	REMOTE SENSING OF ENVIRONMENT												Mangrove forest phenology at the regional scale have been poorly investigated and its driving factors remain unclear. Multi-temporal remote sensing represents a key tool to investigate vegetation phenology, particularly in environments with limited accessibility and lack of in situ measurements. This paper presents the first characterisation of mangrove forest phenology from the Yucatan Peninsula, south east Mexico. We used 15-year time-series of four vegetation indices (EVI, NDVI, gNDVI and NDWI) derived from MODIS surface reflectance to estimate phenological parameters which were then compared with in situ climatic variables, salinity and litterfall. The Discrete Fourier Transform (DFT) was used to smooth the raw data and four phenological parameters were estimated: start of season (SOS), time of maximum greenness (Max Green), end of season (EOS) and length of season (LOS). Litterfall showed a distinct seasonal pattern with higher rates during the end of the dry season and during the wet season. Litterfall was positively correlated with temperature (r = 0.88, p < 0.01) and salinity (r = 0.70, p < 0.01). The results revealed that although mangroves are evergreen species the mangrove forest has clear greenness seasonality which is negatively correlated with litterfall and generally lagged behind maximum rainfall. The dates of phenological metrics varied depending on the choice of vegetation indices reflecting the sensitivity of each index to a particular aspect of vegetation growth. NDWI, an index associated to canopy water content and soil moisture had advanced dates of SOS, Max Green and EOS while gNDVI, an index primarily related to canopy chlorophyll content had delayed dates. SOS ranged between day of the year (DOY) 144 (late dry season) and DOY 220 (rainy season) while the EOS occurred between DOY 104 (mid-dry season) to DOY 160 (early rainy season). The length of the growing season ranged between 228 and 264 days. Sites receiving a greater amount of rainfall between January and March showed an advanced SOS and Max Green. This phenological characterisation is useful to understand the mangrove forest dynamics at the landscape scale and to monitor the status of mangrove. In addition the results will serve as a baseline against which to compare future changes in mangrove phonology due to natural or anthropogenic causes.					Atkinson, Peter/0000-0002-5489-6880; Dash, Jadunandan/0000-0002-5444-2109												0034-4257	1879-0704				FEB	2018	205						71	84		10.1016/j.rse.2017.11.009								WOS:000423007700006						
J	Watson, EB; Corona, AH				Burke Watson, Elizabeth; Hinojosa Corona, Alejandro			Assessment of Blue Carbon Storage by Baja California (Mexico) Tidal Wetlands and Evidence for Wetland Stability in the Face of Anthropogenic and Climatic Impacts	SENSORS												Although saline tidal wetlands cover less than a fraction of one percent of the earth's surface (similar to 0.01%), they efficiently sequester organic carbon due to high rates of primary production coupled with surfaces that aggrade in response to sea level rise. Here, we report on multi-decadal changes (1972-2008) in the extent of tidal marshes and mangroves, and characterize soil carbon density and source, for five regions of tidal wetlands located on Baja California's Pacific coast. Land-cover change analysis indicates the stability of tidal wetlands relative to anthropogenic and climate change impacts over the past four decades, with most changes resulting from natural coastal processes that are unique to arid environments. The disturbance of wetland soils in this region (to a depth of 50 cm) would liberate 2.55 Tg of organic carbon (C) or 9.36 Tg CO(2)eq. Based on stoichiometry and carbon stable isotope ratios, the source of organic carbon in these wetland sediments is derived from a combination of wetland macrophyte, algal, and phytoplankton sources. The reconstruction of natural wetland dynamics in Baja California provides a counterpoint to the history of wetland destruction elsewhere in North America, and measurements provide new insights on the control of carbon sequestration in arid wetlands.																	1424-8220					JAN	2018	18	1							32	10.3390/s18010032								WOS:000423286300032						
J	Mondal, P; Trzaska, S; de Sherbinin, A				Mondal, Pinki; Trzaska, Sylwia; de Sherbinin, Alex			Landsat-Derived Estimates of Mangrove Extents in the Sierra Leone Coastal Landscape Complex during 1990-2016	SENSORS												This study provides the first assessment of decadal changes in mangrove extents in Sierra Leone. While significant advances have been made in mangrove mapping using remote sensing, no study has documented long-term changes in mangrove extents in Sierra Leone-one of the most vulnerable countries in West Africa. Such understanding is critical for devising regional management strategies that can support local livelihoods. We utilize multi-date Landsat data and cloud computational techniques to quantify spatiotemporal changes in land cover, with focus on mangrove ecosystems, for 1990-2016 along the coast of Sierra Leone. We specifically focus on four estuaries-Scarcies, Sierra Leone, Yawri Bay, and Sherbro. We relied on the k-means approach for an unsupervised classification, and validated the classified map from 2016 using ground truth data collected from Sentinel-2 and high-resolution images and during field research (accuracy: 95%). Our findings indicate that the Scarcies river estuary witnessed the greatest mangrove loss since 1990 (45%), while the Sierra Leone river estuary experienced mangrove gain over the last 26 years (22%). Overall, the Sierra Leone coast lost 25% of its mangroves between 1990 and 2016, with the lowest coverage in 2000, during the period of civil war (1991-2002). However, natural mangrove dynamics, as supported by field observations, indicate the potential for regeneration and sustainability under carefully constructed management strategies.																	1424-8220					JAN	2018	18	1							12	10.3390/s18010012								WOS:000423286300012						
J	Jayanthi, M; Thirumurthy, S; Samynathan, M; Duraisamy, M; Muralidhar, M; Ashokkumar, J; Vijayan, KK				Jayanthi, Marappan; Thirumurthy, Selvasekar; Samynathan, Muthusamy; Duraisamy, Muthusamy; Muralidhar, Moturi; Ashokkumar, Jangam; Vijayan, Koyadan Kizhakkedath			Shoreline change and potential sea level rise impacts in a climate hazardous location in southeast coast of India	ENVIRONMENTAL MONITORING AND ASSESSMENT												Climate change impact on the environment makes the coastal areas vulnerable and demands the evaluation of such susceptibility. Historical changes in the shoreline positions and inundation based on projected sea-level scenarios of 0.5 and 1 m were assessed for Nagapattinam District, a low-lying coastal area in the southeast coast of India, using high-resolution Shuttle Radar Topography Mission data; multi-dated Landsat satellite images of 1978, 1991, 2003, and 2015; and census data of 2011. Image processing, geographical information system, and digital shoreline analysis system methods were used in the study. The shoreline variation indicated that erosion rate varied at different time scales. The end point rate indicated the highest mean erosion of - 3.12 m/year, occurred in 73% of coast between 1978 and 1991. Weighted linear regression analysis revealed that the coast length of 83% was under erosion at a mean rate of - 2.11 m/year from 1978 to 2015. Sea level rise (SLR) impact indicated that the coastal area of about 14,122 ha from 225 villages and 31,318 ha from 272 villages would be permanently inundated for the SLR of 0.5 and 1 m, respectively, which includes agriculture, mangroves, wetlands, aquaculture, and forest lands. The loss of coastal wetlands and its associated productivity will severely threaten more than half the coastal population. Adaptation measures in people participatory mode, integrated into coastal zone management with a focus on sub-regional coastal activities, are needed to respond to the consequences of climate change.																	0167-6369	1573-2959				JAN	2018	190	1							51	10.1007/s10661-017-6426-0								WOS:000422680800051						
J	Valderrama-Landeros, L; Flores-de-Santiago, F; Kovacs, JM; Flores-Verdugo, F				Valderrama-Landeros, L.; Flores-de-Santiago, F.; Kovacs, J. M.; Flores-Verdugo, F.			An assessment of commonly employed satellite-based remote sensors for mapping mangrove species in Mexico using an NDVI-based classification scheme	ENVIRONMENTAL MONITORING AND ASSESSMENT												Optimizing the classification accuracy of a mangrove forest is of utmost importance for conservation practitioners. Mangrove forest mapping using satellite-based remote sensing techniques is by far the most common method of classification currently used given the logistical difficulties of field endeavors in these forested wetlands. However, there is now an abundance of options from which to choose in regards to satellite sensors, which has led to substantially different estimations of mangrove forest location and extent with particular concern for degraded systems. The objective of this study was to assess the accuracy of mangrove forest classification using different remotely sensed data sources (i.e., Landsat-8, SPOT-5, Sentinel-2, and WorldView-2) for a system located along the Pacific coast of Mexico. Specifically, we examined a stressed semiarid mangrove forest which offers a variety of conditions such as dead areas, degraded stands, healthy mangroves, and very dense mangrove island formations. The results indicated that Landsat-8 (30 m per pixel) had the lowest overall accuracy at 64% and that WorldView-2 (1.6 m per pixel) had the highest at 93%. Moreover, the SPOT-5 and the Sentinel-2 classifications (10 m per pixel) were very similar having accuracies of 75 and 78%, respectively. In comparison to WorldView-2, the other sensors overestimated the extent of Laguncularia racemosa and underestimated the extent of Rhizophora mangle. When considering such type of sensors, the higher spatial resolution can be particularly important in mapping small mangrove islands that often occur in degraded mangrove systems.																	0167-6369	1573-2959				JAN	2018	190	1							23	10.1007/s10661-017-6399-z								WOS:000422680800032						
J	Machado, GMV; Jabor, PM; Coelh, ALN; Albino, J				Vieira Machado, Giseli Modolo; Jabor, Pablo Medeiros; Nascentes Coelh, Andre Luiz; Albino, Jacqueline			Geohistorical evolution and the new geological map of the city of Vitoria, ES, Brazil	OCEAN & COASTAL MANAGEMENT												The economic growth over the last century, driven by port activities, promoted an artificial territorial expansion since urban growth was limited by the weak development of the coastal plains and the predominance of crystalline hills in Vitoria, Espirito Santo, Brazil. This paper summarizes the geo-historical evolution of Vitoria, the main transformations of the urban area and their relationship with the current landscape while introducing a new geological map of the city produced from the identification and delineation of technogenic deposits. Bibliographical, cartographic and field surveys were done using the Geographic Information System integrated with Remote Sensing products and techniques to produce the maps. The results show that, currently, Vitoria has 10 km(2) of technogenic deposits, corresponding to about 12% of its geological coverage while 61% of the shoreline perimeter is artificialized. Urban roads, recreational areas, and residential neighborhoods were settled over landfills, 52% of which covered either water depths or mangrove forest. It is concluded that the topography was the greatest obstacle to the occupation and development of Vitoria earlier. Almost the whole perimeter of Vitoria Island and mainland have been altered by landfill. However, these "new" spaces remained as the limiting factor to any re-adaptation attempt of the coastal ecosystems, especially mangroves, in a future scenario of sea level oscillations.																	0964-5691	1873-524X				JAN 1	2018	151						45	52		10.1016/j.ocecoamart.2017.10.026								WOS:000418973100005						
J	Suyadi; Gao, J; Lundquist, CJ; Schwendenmann, L				Suyadi; Gao, Jay; Lundquist, Carolyn J.; Schwendenmann, Luitgard			Sources of uncertainty in mapping temperate mangroves and their minimization using innovative methods	INTERNATIONAL JOURNAL OF REMOTE SENSING												Estimates of temperate mangrove forest cover are required for management of estuarine ecosystems, particularly in areas experiencing rapid change in mangrove distribution. However, it remains challenging to obtain accurate estimates of temperate mangrove cover using remote sensing because of the unique physical features and environmental conditions of temperate mangroves. The objectives of this study were (1) to develop an improved image analysis approach for estimating temperate mangrove forest cover using remote sensing and (2) to test the new approach by comparing its accuracy and uncertainty with those of traditional image analysis. The study area (around 1500 ha) is located in the southern part of the Waitemata Harbour, Auckland, New Zealand. Landsat images and field surveys were used for mapping, and uncertainty was quantified using a Monte Carlo approach. This study showed that, using a traditional approach of mapping, misclassification was the highest source of uncertainty (up to 19% for dwarf mangroves and 16% for tall mangroves), followed by water column effects (up to 7% for dwarf mangroves and 5% for tall mangroves) and positional errors (up to 4% for dwarf mangroves and 5% for tall mangroves). Improved image analysis enhanced accuracy from 72% to 95% for tall mangroves and from 69% to 90% for dwarf mangroves. The improved approach minimized the overall uncertainty by up to 68% for tall mangroves and 57% for dwarf mangroves. Adopting this innovative approach to image analysis can improve accuracy of estimates of long-term trends in temperate mangrove forest cover.																	0143-1161	1366-5901					2018	39	1					17	36		10.1080/01431161.2017.1378455								WOS:000412564000002						
J	Al-Nasrawi, AKM; Hopley, CA; Hamylton, SM; Jones, BG				Al-Nasrawi, Ali K. M.; Hopley, Carl A.; Hamylton, Sarah M.; Jones, Brian G.			A Spatio-Temporal Assessment of Landcover and Coastal Changes at Wandandian Delta System, Southeastern Australia	JOURNAL OF MARINE SCIENCE AND ENGINEERING												Large numbers of people live along and depend upon the world's coastal resources. Human modifications of the coastal zone, in combination with climate induced environmental changes, have had a major effect on the natural ecological systems. GIS analysis of remote sensed data, combined with fieldwork and laboratory tests, can be used to determine the resultant eco-geomorphic changes that need to be managed sustainably on a worldwide scale. Modelling the eco-geomorphic dynamics between 1949 and 2016 on the Wandandian Creek delta (southeastern NSW, Australia) provides a case study of management options for such coastal resources. Results from the Wandandian Creek delta show that sand/silt sediment derived from the partially (22%) modified terrestrial catchment has prograded into the wave-dominated St. Georges Basin where it is impacted by nearshore processes. Clear spatio-temporal growth of the areal extent and elevation of the deltaic levees and sandspits, with their associated mangroves and saltmarshes, has occurred over the past 65 years. Although the growth rate has fluctuated during the study period, due to flood events in 1974, 1990s and 2010, the overall subaerial and subaqueous delta area has had an average growth of 4168 m(2) annually with the shoreline extending 1.451 m/year on average. This geomorphic growth has stabilised the estuarine deltaic habitats with high proportions of nutrients and organic matter, particularly within saltmarsh, mangrove, Casuarina/Juncus and other mixed native plant areas. This research shows the importance of analysing morphological changes observed on the delta that can be related to both anthropogenic modifications and natural processes to the catchment and thus should be used in the development of catchment and coastal management plans.																	2077-1312					DEC	2017	5	4							55	10.3390/jmse5040055								WOS:000423694200011						
J	Padmanaban, R; Bhowmik, AK; Cabral, P				Padmanaban, Rajchandar; Bhowmik, Avit K.; Cabral, Pedro			A Remote Sensing Approach to Environmental Monitoring in a Reclaimed Mine Area	ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION												Mining for resources extraction may lead to geological and associated environmental changes due to ground movements, collision with mining cavities, and deformation of aquifers. Geological changes may continue in a reclaimed mine area, and the deformed aquifers may entail a breakdown of substrates and an increase in ground water tables, which may cause surface area inundation. Consequently, a reclaimed mine area may experience surface area collapse, i.e., subsidence, and degradation of vegetation productivity. Thus, monitoring short-term landscape dynamics in a reclaimed mine area may provide important information on the long-term geological and environmental impacts of mining activities. We studied landscape dynamics in Kirchheller Heide, Germany, which experienced extensive soil movement due to longwall mining without stowing, using Landsat imageries between 2013 and 2016. A Random Forest image classification technique was applied to analyze land-use and landcover dynamics, and the growth of wetland areas was assessed using a Spectral Mixture Analysis (SMA). We also analyzed the changes in vegetation productivity using a Normalized Difference Vegetation Index (NDVI). We observed a 19.9% growth of wetland area within four years, with 87.2% growth in the coverage of two major waterbodies in the reclaimed mine area. NDVI values indicate that the productivity of 66.5% of vegetation of the Kirchheller Heide was degraded due to changes in ground water tables and surface flooding. Our results inform environmental management and mining reclamation authorities about the subsidence spots and priority mitigation areas from land surface and vegetation degradation in Kirchheller Heide.				Cabral, Pedro/B-2616-2010	Cabral, Pedro/0000-0001-8622-6008												2220-9964					DEC	2017	6	12							401	10.3390/ijgi6120401								WOS:000419217200023						
