PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Hao, TY; Zhu, ZH; Zhang, MH; Huang, XX; Song, HB; Jiang, WW				Hao, TY; Zhu, ZH; Zhang, MH; Huang, XX; Song, HB; Jiang, WW			Alteration zone from the marine oil-gas seepage and its geophysical detection methods	CHINESE JOURNAL OF GEOPHYSICS-CHINESE EDITION												Some different geophysical detection methods are introduced on the bario of a series of altered effects by the marine oil-gas seepage. According to the magnetic anomaly from Hydrocarbon alteration zone, the distribution of oil-gas seepage can be determined at plane. Susceptibility measure of drilling samples and the analyses of minerals by x-ray diffraction from anomalous magnetic sedimentary intervals have identified that some kinds of alteration minerals exist. The magnetic detect result in Bohai area is consistent with that from remote sensing result. The association between magnetic anomalies and oil-gas has been recorded from the survey of the drill cuttings in 3 wells in the South China Sea. It is effective to decide hydrocarbon alteration zone in the near-surface sedimentary strata by using magnetic detect method and the others.																	0001-5733					MAR	2001	44	2					245	+										WOS:000167723000012						
J	Shifrin, KS				Shifrin, KS			An algorithm for determining the radiance reflected from the rough sea surface using MODIS-N satellite radiometer data	IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING												A new algorithm is suggested for determining the radiance B-r (theta, phi) reflected from the rough sea surface. The knowledge of B-r (theta, phi) is needed for excluding the reflected solar radiation from the signal at the space receiver. Information on the reflected radiance is also required when estimating the state of the sea surface from space, The information (on reflected radiance) is important for problems such as estimating the chlorophyll concentration in sea water. The suggested algorithm was constructed based on direct measurements of the radiance coefficient rho published in [1], [14]. The experimental results show that the slope distribution of sea surface elements depends not only on the wind speed near the sea surface but also on the stability of the lower part of the marine atmospheric boundary layer. It is shown that the failure to account for this effect causes an error of +/- 30% when estimating B-r (theta, phi).																	0196-2892					MAR	2001	39	3					677	681		10.1109/36.911124								WOS:000167628100019						
J	Sanderson, PG				Sanderson, PG			The application of satellite remote sensing to coastal management in Singapore	AMBIO												This paper reviews the application of satellite remote sensing to management of Singapore's coastal environment. Remotely sensed data have been used for marine habitat mapping, water quality monitoring, ship and ship-wake detection, oil spill detection, red tide monitoring, and mapping of reclamation activities. While these applications clearly cover most of the range of opportunities for use of remotely sensed data in the coastal zone, there is still a need for more complete baseline studies of natural resources and habitats, and monitoring of the impacts of development on the coastal and marine environment. There is also a requirement for more management-oriented research and continued development and revision of the available datasets. integration and exchange of information between management agencies and research groups is also an important aspect of sustainable management of Singapore's coastal environment and marine resources.																	0044-7447					FEB	2001	30	1					43	48		10.1639/0044-7447(2001)030[0043:TAOSRS]2.0.CO;2								WOS:000167684900007	11351792					
J	Barber, DG; Yackel, JJ; Hanesiak, JM				Barber, DG; Yackel, JJ; Hanesiak, JM			Sea ice, RADARSAT-1 and Arctic climate processes: A review and update	CANADIAN JOURNAL OF REMOTE SENSING												It is a common axiom that the problems of synthetic aperture radar (SAR) remote sensing of sea ice have largely been solved, or at the very least, that this application area is mature relative to other terrestrial and oceanographic applications. The utility of SAR for sea ice studies is well documented in the literature and currently is used operationally on a global basis for both climate related process studies and marine navigation in polar regions. In this paper we argue that the knowledge generated in the past 40 years has created a sufficiently strong theoretical foundation that we can derive new information based on the physical, electrical and thermodynamic controls on the temporal evolution in microwave scattering over snow-covered sea ice. A conceptual model for this relationship calls for a physically, based microwave scattering model coupled numerically to a one-dimensional thermodynamic model of snow-covered sea ice. We term this an 'Electro-Thermophysical' model. To provide the necessary background for development of this model we review our current understanding of the physical and electrical properties of snow-covered sea ice throughout the annual cycle. We discuss how the microwave scattering coefficient evolves over this annual cycle and examine the physical controls on this scattering relative to our knowledge of the geophysics and thermodynamics of the system. We then present results illustrating the potential benefits of integrating microwave scattering with a one-dimensional thermodynamic model of snow-covered sea ice by presenting and illustrating a number of examples on how this 'Electro-Thermophysical' model might operate.																	1712-7971					FEB	2001	27	1					53	63										WOS:000172767800007						
J	Bates, CR; Phillips, DR; Grimm, R; Lynn, H				Bates, CR; Phillips, DR; Grimm, R; Lynn, H			The seismic evaluation of a naturally fractured tight gas sand reservoir in the Wind River Basin, Wyoming	PETROLEUM GEOSCIENCE												Sub-vertical natural fracturing is critical for ensuring economic gas production from tight sand reservoirs in many provinces. Over the last seven years, the US Department of Energy (DoE) has sponsored a series of programmes in the continental United States to develop cost-effective technologies for investigating naturally fractured reservoirs. The results from a stud!: of a Laramide-age faulted anticline reservoir in the Lower Fort Union Formation of the Wind River Basin, Wyoming are presented. At the field site a multi-azimuth, multi-offset 3D compressional wave seismic survey was acquired and processed using azimuth-dependent processing followed by multi-azimuth attribute analysis. Geophysical attributes such as velocity, frequency, reflectivity and amplitude variation with offset, together with geological attributes such as depth below closure and distance from faults, were correlated to estimated ultimate recovery of gas for established wells within the field. The correlations were made using linear statistical methods, non-linear rank methods and neural networks to combine attribute results. The geophysical attributes and other geological information were combined into prospectivity maps for areas of highest fracture density. Based on the geophysical and geological results an 80% success rate was achieved at prospecting well locations. A major aspect of the DoE programmes has been the investigation of cost-effective protocols for fracture detection. From this study the following procedure is recommended for cost-effective mapping of fractures and associated gas: (1) perform field and remote-sensing reconnaissance of structural trends; (2) acquire 3D P-wave surveys with offsets equal to or greater than target depth in all azimuths; (3) process in at least two dominant structural azimuths; (4) combine best correlated geophysical and geological attributes to fractures for future fracture zone mapping. The implications of the results from this sun ey have important consequences for the design and implementation of multi-azimuth, multi-offset data acquisition on land and for marine surveys where multi-component ocean bottom cable surveying is used.					Grimm, Robert/0000-0002-7588-1194; Bates, Charles Richard/0000-0001-9147-7151												1354-0793					FEB	2001	7	1					35	44		10.1144/petgeo.7.1.35								WOS:000167329800006						
J	Hutchinson, JN				Hutchinson, JN			Reading the ground: Morphology and geology in site appraisal	QUARTERLY JOURNAL OF ENGINEERING GEOLOGY AND HYDROGEOLOGY												In this lecture, the process of reading the ground is explored, some of the necessary background is defined and ways of improving our present and future competence in this area are outlined. It acknowledges the world-wide scope of this activity, but employs mainly the narrower canvas of mass movements in NW European conditions to illustrate its nature. Some basic tools which can assist in this process are first noted, good databases, the techniques of initial site appraisal, comprising desk study, site reconnaissance and mapping (with the aid of stereoscopic air photo interpretation and other remote sensing techniques), terrain modelling and the use of associated well-logged and sampled trial trenches. The importance of the classification of mass movements, not least to develop an agreed terminology, is touched upon and the great value, even at this early stage, of the influence line approach in assessing rapidly the effects of proposed cuts and fills is noted. An attempt is then made to identify the relevant vocabulary for reading the ground, that is those physical phenomena which bear on site appraisal. These are divided into bedrock elements, of which lithology and tectonics are highlighted, and Quaternary elements, particularly those that occurred in areas of cold climate, i.e. past freezing and thawing, sea-level changes, hydrogeological features and glacial, periglacial, fluvial and marine erosional and depositional features, Abandoned cliffs and inland scarps in chalk and some clays are then identified as characteristic landforms, and their nature and development are also explored. Case records of successful and unsuccessful earthworks on clayey scarps are also reviewed, in relation to the quality of initial site appraisal undertaken. in conclusion, significant weaknesses in our current education and training in this area are identified, specifically a near-absence of geomorphology and insufficient Quaternary geology, and proposals made to remedy these.																	0481-2085					FEB	2001	34		1				7	+		10.1144/qjegh.34.1.7								WOS:000166724700001						
J	Westbrook, AG; Pinkerton, MH; Aiken, J; Pilgrim, DA				Westbrook, AG; Pinkerton, MH; Aiken, J; Pilgrim, DA			Simulated performance of remote sensing ocean colour algorithms during the 1996 PRIME cruise	DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY												Coincident pigment and underwater radiometric data were collected during a cruise along the 20 degreesW meridian from 60 degreesN to 37 degreesN in the north-eastern Atlantic Ocean as part of the Natural Environment Research Council (NERC) thematic programme: plankton reactivity in the marine environment (PRIME). These data were used to simulate the retrieval of two bio-optical variables from remotelysensed measurements of ocean colour (for example by the NASA Sea-viewing wide field-of-view sensor, SeaWiFS), using two-band semi-empirical algorithms. The variables considered were the diffuse attenuation coefficient at 490 nm, (K-d(490), units: m(-1)) and the phytoplankton pigment concentration expressed as optically-weighted chlorophyll-a concentration [C-a, units: mg m(-3)]. There was good agreement between the measured and the retrieved bio-optical values. Algorithms based on the PRIME data were generated to compare the performance of local algorithms (algorithms which apply to a restricted area and/or season) with global algorithms (algorithms developed on data from a wide variety of water masses). The use of local algorithms improved the average accuracy, but not the precision, of the retrievals: errors were still +/- 36% (K-d) and +/- 117% (C-a) using local algorithms. (C) 2001 Elsevier Science Ltd. All rights reserved.																	0967-0645						2001	48	4-5					845	858		10.1016/S0967-0645(00)00100-4								WOS:000166204500010						
J	Pozdnyakov, DV; Kondratyev, KY; Pettersson, LH				Pozdnyakov, DV; Kondratyev, KY; Pettersson, LH			Remote sensing assessment of phytoplankton primary productivity: Methodological aspects	EARTH OBSERVATION AND REMOTE SENSING												Using the hydrooptical model developed for natural waters ranging from case-I to case-II waters, and based on a detailed analysis of sunlight propagation in natural waters as well as on suggested formulations of phytoplankton primary productivity, a protocol for remotely estimating the production of new organic matter in natural waters has been suggested. A special emphasis was placed on the primary production assessment in turbid waters, generally representative of marine/oceanic coastal zones and inland water bodies.																	1024-5251						2001	16	4					583	609										WOS:000168564600007						
J	Lisitsyn, AP				Lisitsyn, AP			Lithology of lithospheric plates	GEOLOGIYA I GEOFIZIKA												The recent decades have become a,,golden age" for lithology and marine geology. The principal achievements include investigation and mapping of oceanic bottom sediments and studies of the sedimentary material in the atmosphere, rivers, seas, and oceans, in ice and snow; development of a new approach to the role of biogenic processes; analysis of endogenic material supplied to the mid-ocean ridges; and changes in the view of sedimentary material of the land provenance and its transformation at the river-sea boundary. Another achievement is the concept of rapid (.,avalanche") sedimentation at several levels, responsible for concentration of 93% of the sedimentary material of the Earth in limited basins, which become major reservoirs of hydrocarbons. The regions of avalanche sedimentation alternate with those of sedimentation gaps. The lithology is gaining a more solid quantitative basis, using such dynamic parameters as flux and vectors of sedimentary material. It has been found out that sedimentation in oceans follows its specific laws, as the oceanic crust differs from the continental crust. Modern lithological studies employ remote sensing methods (seismic stratigraphy, magnetometry, multiray sea beams, side-view sonars, etc.), as well as mapping and special sampling from natural bottom outcrops at depths of to 6000 m with the use of submersibles. Deep-sea drilling experiments (since 1968) and data processing performed by the joint efforts of international teams became an important step forward. As a result, the amount of data obtained in the course of the recent 30-40 years is hundreds or thousands of times as great as that accumulated through the whole previous history of the science, though lithologists, unfortunately, use very few of these data. The recent results led to numerous discoveries and creation of the mobilistic lithology, or the lithology of lithospheric plates, and required the synthetic use of the data of tectonics, geophysics, marine geology and geochemistry, petrology and petrochemistry, oceanology and climatology.																	0016-7886						2001	42	4					522	559										WOS:000169179400001						
J	Sathyendranath, S; Cota, G; Stuart, V; Maass, H; Platt, T				Sathyendranath, S; Cota, G; Stuart, V; Maass, H; Platt, T			Remote sensing of phytoplankton pigments: a comparison of empirical and theoretical approaches	INTERNATIONAL JOURNAL OF REMOTE SENSING												Algorithms that have been used on a routine basis for remote sensing of the phytoplankton pigment, chlorophyll-a, from ocean colour data from satellite sensors such as the CZCS (Coastal Zone Color Scanner), SeaWiFS ( Sea Viewing Wide Field-of-View Sensor) and OCTS (Ocean Colour and Temperature Scanner) are all of an empirical nature. However, there exist theoretical models that allow ocean colour to be expressed as a function of the inherent optical properties of seawater, such as the absorption coefficient and the backscattering coefficient. These properties can in turn be expressed as functions of chlorophyll-a, at least for the so-called Case 1 waters in which phytoplankton may be considered to be the single, independent variable responsible for most of the variations in the marine optical properties. Here, we use such a theoretical approach to model variations in ocean colour as a function of chlorophyll-a concentration, and compare the results with some empirical models in routine use. The parameters of phytoplankton absorption necessary for the implementation of the ocean colour model are derived from our database of over 700 observations of phytoplankton absorption spectra and concurrent measurements of phytoplankton pigments by HPLC (High Performance Liquid Chromatography) techniques. Since there are reports in the literature that significant differences exist in the performance of the algorithms in polar regions compared with lower latitudes, the model is first implemented using observations made at latitudes less than 50 degrees. It is then applied to the Labrador Sea, a high-latitude environment. Our results show that there are indeed differences in the performance of the algorithm at high latitudes, and that these differences may be attributed to changes in the optical characteristics of phytoplankton that accompany changes in the taxonomic composition of their assemblages. The sensitivities of the model to assumptions made regarding absorption by coloured dissolved organic matter (or yellow substances) and backscattering by particles are examined. The importance of Raman scattering on ocean colour and its influence on the algorithms are also investigated.																	0143-1161					JAN	2001	22	2-3					249	273		10.1080/014311601449925								WOS:000166471600004						
