PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Boaga, J; Ghinassi, M; D'Alpaos, A; Deidda, GP; Rodriguez, G; Cassiani, G				Boaga, Jacopo; Ghinassi, Massimiliano; D'Alpaos, Andrea; Deidda, G. P.; Rodriguez, G.; Cassiani, Giorgio			Geophysical investigations unravel the vestiges of ancient meandering channels and their dynamics in tidal landscapes	SCIENTIFIC REPORTS												Whether or not one can detect relict signatures of the past imprinted in current landscapes is a question of the utmost theoretical and practical relevance for meandering tidal channels, owing to their influence on the morphodynamic evolution of tidal landscapes, a critically fragile environment, especially in face of expected climatic changes. Unravelling the sedimentary patterns of ancient channels is an expensive process that usually requires high resolution sediment coring. Here we use a novel inversion process of multi-frequency electromagnetic measurements to reveal the signature and characterize the dynamics of a salt-marsh paleo-meander in the Venice Lagoon. We show that the ancient meander migrated laterally while vertically aggrading, developing a peculiar bar geometry which is less common in analogous fluvial meanders. The observed point-bar dynamics and the associated architectural geometry are consistent with remote sensing and borehole data and contrast with current assessments of tidal meander morphodynamics mediated from classical fluvial theories. In addition, the proposed technique, rapid and non-invasive, bears important consequences for detecting buried stratal geometries and reconstructing the spatial distribution of ancient sedimentary bodies, providing quantitative data for the description of landscape evolution in time.																	2045-2322					JAN 26	2018	8								1708	10.1038/s41598-018-20061-5								WOS:000423428300036	29374215					
J	Watson, EB; Corona, AH				Burke Watson, Elizabeth; Hinojosa Corona, Alejandro			Assessment of Blue Carbon Storage by Baja California (Mexico) Tidal Wetlands and Evidence for Wetland Stability in the Face of Anthropogenic and Climatic Impacts	SENSORS												Although saline tidal wetlands cover less than a fraction of one percent of the earth's surface (similar to 0.01%), they efficiently sequester organic carbon due to high rates of primary production coupled with surfaces that aggrade in response to sea level rise. Here, we report on multi-decadal changes (1972-2008) in the extent of tidal marshes and mangroves, and characterize soil carbon density and source, for five regions of tidal wetlands located on Baja California's Pacific coast. Land-cover change analysis indicates the stability of tidal wetlands relative to anthropogenic and climate change impacts over the past four decades, with most changes resulting from natural coastal processes that are unique to arid environments. The disturbance of wetland soils in this region (to a depth of 50 cm) would liberate 2.55 Tg of organic carbon (C) or 9.36 Tg CO(2)eq. Based on stoichiometry and carbon stable isotope ratios, the source of organic carbon in these wetland sediments is derived from a combination of wetland macrophyte, algal, and phytoplankton sources. The reconstruction of natural wetland dynamics in Baja California provides a counterpoint to the history of wetland destruction elsewhere in North America, and measurements provide new insights on the control of carbon sequestration in arid wetlands.																	1424-8220					JAN	2018	18	1							32	10.3390/s18010032								WOS:000423286300032						
J	Zhou, ZM; Yang, YM; Chen, BQ				Zhou, Zaiming; Yang, Yanming; Chen, Benqing			Estimating Spartina alterniflora fractional vegetation cover and aboveground biomass in a coastal wetland using SPOT6 satellite and UAV data	AQUATIC BOTANY												Spartina alterniflora (S. alterniflora) is one of the most serious invasive species in some coastal wetlands of China, and its fractional vegetation cover (FVC) and aboveground biomass (AGB) are important parameters that affect the ecology of these wetlands. Because of inaccessibility, field surveys are time-consuming, labor intensive, and difficult to implement, especially on a regional scale. Thus, satellite remote sensing and unmanned aerial vehicle (UAV) techniques are the better methods to obtain accurate FVC and AGB information in coastal wetlands. In this study, FVC and AGB of S. alterniflora were estimated based on the SPOT6 satellite remote sensing images with 6 m spatial resolution, unmanned aerial vehicle (UAV) images with 0.1 m spatial resolution, over Sansha Bay, a coastal wetland in China. In addition, some field-based samples were also collected. Results showed that most of the FVC ranged from 40% to 80%, indicated a medium-high and high level; while AGB varied from 0 to 15 kg m(-2). Spatial distribution pattern of FVC and AGB were mainly influenced by the ecological and geographical environment. Meanwhile, the local distribution characteristics in the near-shore area also had close relation with anthropogenic activities. Accuracy analysis showed that, the root mean square errors (RMSE) of FVC and AGB were 0.108 and 0.415, and the coefficients of determination (R-2) were 0.905 and 0.898, respectively. The results suggest that it is feasible and effective to estimate FVC and AGB of S. alterniflora in coastal wetland using SPOT and UAV data with high accuracy.																	0304-3770	1879-1522				JAN	2018	144						38	45		10.1016/j.aquabot.2017.10.004								WOS:000418310300005						
J	Ballanti, L; Byrd, KB; Woo, I; Ellings, C				Ballanti, Laurel; Byrd, Kristin B.; Woo, Isa; Ellings, Christopher			Remote Sensing for Wetland Mapping and Historical Change Detection at the Nisqually River Delta	SUSTAINABILITY												Coastal wetlands are important ecosystems for carbon storage and coastal resilience to climate change and sea-level rise. As such, changes in wetland habitat types can also impact ecosystem functions. Our goal was to quantify historical vegetation change within the Nisqually River watershed relevant to carbon storage, wildlife habitat, and wetland sustainability, and identify watershed-scale anthropogenic and hydrodynamic drivers of these changes. To achieve this, we produced time-series classifications of habitat, photosynthetic pathway functional types and species in the Nisqually River Delta for the years 1957, 1980, and 2015. Using an object-oriented approach, we performed a hierarchical classification on historical and current imagery to identify change within the watershed and wetland ecosystems. We found a 188.4 ha (79%) increase in emergent marsh wetland within the Nisqually River Delta between 1957 and 2015 as a result of restoration efforts that occurred in several phases through 2009. Despite these wetland gains, a total of 83.1 ha (35%) of marsh was lost between 1957 and 2015, particularly in areas near the Nisqually River mouth due to erosion and shifting river channels, resulting in a net wetland gain of 105.4 ha (44%). We found the trajectory of wetland recovery coincided with previous studies, demonstrating the role of remote sensing for historical wetland change detection as well as future coastal wetland monitoring.					Ballanti, Laurel/0000-0002-6478-8322												2071-1050					NOV	2017	9	11							1919	10.3390/su9111919								WOS:000416793400007						
J	Liu, X; Liu, HY; Gong, HB; Lin, ZS; Lv, SC				Liu, Xiang; Liu, Huiyu; Gong, Haibo; Lin, Zhenshan; Lv, Shicheng			Appling the One-Class Classification Method of Maxent to Detect an Invasive Plant Spartina alterniflora with Time-Series Analysis	REMOTE SENSING												Spartina alterniflora has become the main invasive plant along the Chinese coast and now threatens the local ecological environment. Accurately monitoring the distribution of S. alterniflora is urgent and essential for developing cost-effective control strategies. In this study, we applied the One-Class Classification (OCC) methods of Maximum entropy (Maxent) and Biased Support Vector Machine (BSVM) based on Landsat time-series imagery to detect the species on the middle coast of Jiangsu in east China. We conducted four experimental setups (i.e., single-scene analysis, time-series analysis, Normalized Difference Vegetation Index (NDVI) time-series analysis and a compressed time-series analysis), using OCC methods to recognize the species. Then, we tested the performance of a compressed time-series model for S. alterniflora detection and evaluated the expansibility of this approach when it was applied to a larger region. Our principal findings are as follows: (1) Maxent and BSVM performed equally well, and Maxent appeared to have a more balanced performance over the summer months; (2) the Maxent model with the Default Parameter Set (Maxent-DPS) showed a slightly higher accuracy and more overfitting than Maxent with the Akaike Information Criterion corrected for small samples sizes (AICc)-selected parameter set model, but a t-test found no significant difference between these two settings; (3) April and December were deemed to be important periods for the detection of S. alterniflora; (4) a compressed time-series analysis modelincluding only three variables (December NDVI, March green and the third Principal Component in January, PC3)yielded higher accuracy than single-scene analyses, which indicated that time-series analysis can better detect S. alterniflora than single-scene analyses; and (5) the Maxent model using the reconstructed optimal variables and 70 training samples over a larger region produced encouraging results with an overall accuracy of 90.88% and a Kappa of 0.78. The one-class classification method combined with a phenology-based detection strategy is therefore promising for the application of the long-term detection of S. alterniflora over extended areas.					liu, huiyu/0000-0003-3976-481X												2072-4292					NOV	2017	9	11							1120	10.3390/rs9111120								WOS:000416554100035						
J	O'Connell, JL; Mishra, DR; Cotten, DL; Wang, L; Alber, M				O'Connell, Jessica L.; Mishra, Deepak R.; Cotten, David L.; Wang, Li; Alber, Merryl			The Tidal Marsh Inundation Index (TMII): An inundation filter to flag flooded pixels and improve MODIS tidal marsh vegetation time-series analysis	REMOTE SENSING OF ENVIRONMENT												Remote sensing in tidal marshes can provide regional assessments of wetland extent, phenology, primary production, and carbon sequestration. However, periodic tidal flooding reduces spectral reflectance, especially in the near and short-wave infrared wavelengths. Consequently, marsh vegetation time-series products that lack tidal filtering, such as those provided by MODIS (Moderate Resolution Imaging Spectroradiometer), may not reflect true vegetation trends. We created a new Tidal Marsh Inundation Index (TMII) for processing daily 500-m MODIS surface reflectance data and calibrated it with a Spartina alterniflora salt marsh pixel on Sapelo Island, GA. Ground-truth data for TMII was extracted from a PhenoCam, which collected high frequency digital photography of the TMII calibration pixel. To identify the best wavelengths to include in the TMII, we compared goodness of fit metrics from generalized linear models (GLMs). Predictors for these GLMs included suites of normalized difference indices from the literature as well as other band combinations. We also explored including a phonology parameter that could scale TMII relative to vegetation development. Ultimately, TMII was based on the normalized difference of green and shortwave infrared reflectance in combination with a phenology parameter composed of the moving average of the normalized difference of near infrared and shortwave infrared reflectance. This final index allowed a single optimized decision boundary to identify flooding across the annual growth cycle. When compared to ground-truth data from the PhenoCam, the TMII classified flooded conditions with 67-82% and dry conditions with 75-81% accuracy, respectively, across training, testing and validation datasets. We applied TMII to new S. alterniflora marsh MODIS pixels on Sapelo Island, GA as well as on Plum Island, MA. For these new pixels, TMII classified marsh flooding with 77-80% overall accuracy. We also demonstrated how users can apply TMII filtering in a MODIS workflow to create vegetation time-series composites within S. alterniflora, Spardrza patens and Juncus roemerianus marshes. We showed how a new user can validate and optimize TMII in their application, either by comparing it to inundation data or by validating the filtered vegetation time series against field data. We also compared TMII-filtered composites to the existing MODIS MOD13 16-d Normalized Difference Vegetation Index (NDVI) product. TMII-filtered composites generated less noisy time -series that fit field data better than MOD13. TMII filtering was most important on Sapelo Island, where the tide range was high and vegetation was sparse. Results were less dramatic when TMII was applied to different marsh species within the Gulf Coast sites with lower tidal ranges, but TMII-filtering still improved vegetation time series. Thus, preprocessing MODIS imagery with the TMII effectively identified most inundated pixels. The TMII represents a step forward for wetland remote sensing that will be useful for improved estimation of phonology, biomass and carbon storage in coastal marshes.																	0034-4257	1879-0704				NOV	2017	201						34	46		10.1016/j.rse.2017.08.008								WOS:000412866400004						
J	Liu, PD; Shi, RH; Zhang, C; Zeng, YY; Wang, JP; Tao, Z; Gao, W				Liu, Pudong; Shi, Runhe; Zhang, Chao; Zeng, Yuyan; Wang, Jiapeng; Tao, Zhu; Gao, Wei			Integrating multiple vegetation indices via an artificial neural network model for estimating the leaf chlorophyll content of Spartina alterniflora under interspecies competition	ENVIRONMENTAL MONITORING AND ASSESSMENT												The invasive species Spartina alterniflora and native species Phragmites australis display a significant co-occurrence zonation pattern and this co-exist region exerts most competitive situations between these two species, competing for the limited space, directly influencing the co-exist distribution in the future. However, these two species have different growth ratios in this area, which increase the difficulty to detect the distribution situation directly by remote sensing. As chlorophyll content is a key indicator of plant growth and physiological status, the objective of this study was to reduce the effect of interspecies competition when estimating Cab content; we evaluated 79 published representative indices to determine the optimal indices for estimating the chlorophyll a and b Cab) content. After performing a sensitivity analysis for all 79 spectral indices, five spectral indices were selected and integrated using an artificial neural network (ANN) to estimate the Cab content of different competition ratios: the Gitelson ratio green index, the transformed chlorophyll absorption ratio index/optimized soil-adjusted vegetation index, the modified normalized difference vegetation index, the chlorophyll fluorescence index, and the Vogelmann chlorophyll index. The ANN method yielded better results (R-2 = 0.7110 and RMSE = 8.3829 mu g cm(-2)) on average than the best single spectral index (R-2 = 0.6319 and RMSE = 9.3535 mu g cm(-2)), representing an increase of 10.78% in R-2 and a decrease of 10.38% in RMSE. Our results indicated that integrating multiple vegetation indices with an ANN can alleviate the impact of interspecies competition and achieve higher estimation accuracy than the traditional approach using a single index.																	0167-6369	1573-2959				NOV	2017	189	11							596	10.1007/s10661-017-6323-6								WOS:000414179500005	29086121					
J	Beland, M; Biggs, TW; Roberts, DA; Peterson, SH; Kokaly, RF; Piazza, S				Beland, Michael; Biggs, Trent W.; Roberts, Dar A.; Peterson, Seth H.; Kokaly, Raymond F.; Piazza, Sarai			Oiling accelerates loss of salt marshes, southeastern Louisiana	PLOS ONE												The 2010 BP Deepwater Horizon (DWH) oil spill damaged thousands of km(2) of intertidal marsh along shorelines that had been experiencing elevated rates of erosion for decades. Yet, the contribution of marsh oiling to landscape-scale degradation and subsequent land loss has been difficult to quantify. Here, we applied advanced remote sensing techniques to map changes in marsh land cover and open water before and after oiling. We segmented the marsh shorelines into non-oiled and oiled reaches and calculated the land loss rates for each 10% increase in oil cover (e.g. 0% to >70%), to determine if land loss rates for each reach oiling category were significantly different before and after oiling. Finally, we calculated background land-loss rates to separate natural and oil-related erosion and land loss. Oiling caused significant increases in land losses, particularly along reaches of heavy oiling (>20% oil cover). For reaches with >= 20% oiling, land loss rates increased abruptly during the 2010-2013 period, and the loss rates during this period are significantly different from both the pre-oiling (p < 0.0001) and 2013-2016 post-oiling periods (p < 0.0001). The pre-oiling and 2013-2016 post-oiling periods exhibit no significant differences in land loss rates across oiled and non-oiled reaches (p = 0.557). We conclude that oiling increased land loss by more than 50%, but that land loss rates returned to background levels within 3-6 years after oiling, suggesting that oiling results in a large but temporary increase in land loss rates along the shoreline.																	1932-6203					AUG 2	2017	12	8							e0181197	10.1371/journal.pone.0181197								WOS:000406768200019	28767649					
J	Mo, Y; Kearney, MS; Riter, JCA				Mo, Yu; Kearney, Michael S.; Riter, J. C. Alexis			Post-Deepwater Horizon Oil Spill Monitoring of Louisiana Salt Marshes Using Landsat Imagery	REMOTE SENSING												The Deepwater Horizon oil spill, the second largest marine oil spill in history, contaminated over a thousand kilometers of coastline in the Louisiana salt marshes and seriously threatened this valuable ecosystem. Measuring the impacts of the oil spill over the large and complex coast calls for the application of remote sensing techniques. This study develops a method for post-Deepwater Horizon oil spill monitoring of the damaged marsh vegetation using Landsat imagery. This study utilizes 10 years of Landsat data, from 2005 to 2014, to examine the longevity of the oil spill's impacts on the marsh vegetation. AVIRIS data collected between 2010 and 2012 are used to validate the Landsat results. Landsat imagery documents the significant effect of oiling on the Normalized Difference Vegetation Index (NDVI) of the marsh vegetation in 2010 and 2011 (p < 0.01 in both cases). These results are corroborated by the AVIRIS data, which recorded the most severe impact in May 2011 followed by progressive recovery in October 2011 and October 2012. The Landsat imagery, combined with relevant environmental information and appropriate statistical tools, provides a robust and low-cost method for long-term post-oil spill monitoring of the marshes, revealing that the major aboveground impacts (at 30 m scale) of the Deepwater Horizon oil spill on Louisiana salt marshes lasted for two years. The method presented is applicable for other hazardous events whenever pre-event referencing and long-term post-event monitoring are desired, thereby offering an effective and economical tool for disaster management.																	2072-4292					JUN	2017	9	6							547	10.3390/rs9060547								WOS:000404623900038						
J	Yan, FQ; Liu, XT; Chen, J; Yu, LX; Yang, CB; Chang, LP; Yang, JC; Zhang, SW				Yan, Fengqin; Liu, Xingtu; Chen, Jing; Yu, Lingxue; Yang, Chaobin; Chang, Liping; Yang, Jiuchun; Zhang, Shuwen			China's Wetland Databases Based on Remote Sensing Technology	CHINESE GEOGRAPHICAL SCIENCE												Wetland databases can provide the basic data that necessary for the protection and management of wetlands. A large number of wetland databases have been established in the world as well as in China. In this paper, we review China's wetland databases based on remote sensing (RS) technology after introducing the background theory to the application of RS technology in wetland surveys. A key conclusion is that China's wetland databases are far from sufficient in fulfilling protection and management needs. Our recommendations focus on the use of the hyper-spectral imagery, microwave data, multi-temporal images, and automatic classifications in order to improve the accuracy and efficiency of wetland inventory. Further, attention should also be paid to detect major biophysical features of wetlands and build wetland databases in years after the 1980s in China. Considering that great gap exists between RS experts and wetland experts, further cooperation between wetland scientists and RS scientists are needed to promote the application of RS in the foundation of wetland databases.																	1002-0063	1993-064X				JUN	2017	27	3					374	388		10.1007/s11769-017-0872-z								WOS:000404173000004						
