PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Mondal, P; Trzaska, S; de Sherbinin, A				Mondal, Pinki; Trzaska, Sylwia; de Sherbinin, Alex			Landsat-Derived Estimates of Mangrove Extents in the Sierra Leone Coastal Landscape Complex during 1990-2016	SENSORS												This study provides the first assessment of decadal changes in mangrove extents in Sierra Leone. While significant advances have been made in mangrove mapping using remote sensing, no study has documented long-term changes in mangrove extents in Sierra Leone-one of the most vulnerable countries in West Africa. Such understanding is critical for devising regional management strategies that can support local livelihoods. We utilize multi-date Landsat data and cloud computational techniques to quantify spatiotemporal changes in land cover, with focus on mangrove ecosystems, for 1990-2016 along the coast of Sierra Leone. We specifically focus on four estuaries-Scarcies, Sierra Leone, Yawri Bay, and Sherbro. We relied on the k-means approach for an unsupervised classification, and validated the classified map from 2016 using ground truth data collected from Sentinel-2 and high-resolution images and during field research (accuracy: 95%). Our findings indicate that the Scarcies river estuary witnessed the greatest mangrove loss since 1990 (45%), while the Sierra Leone river estuary experienced mangrove gain over the last 26 years (22%). Overall, the Sierra Leone coast lost 25% of its mangroves between 1990 and 2016, with the lowest coverage in 2000, during the period of civil war (1991-2002). However, natural mangrove dynamics, as supported by field observations, indicate the potential for regeneration and sustainability under carefully constructed management strategies.																	1424-8220					JAN	2018	18	1							12	10.3390/s18010012								WOS:000423286300012						
J	Valderrama-Landeros, L; Flores-de-Santiago, F; Kovacs, JM; Flores-Verdugo, F				Valderrama-Landeros, L.; Flores-de-Santiago, F.; Kovacs, J. M.; Flores-Verdugo, F.			An assessment of commonly employed satellite-based remote sensors for mapping mangrove species in Mexico using an NDVI-based classification scheme	ENVIRONMENTAL MONITORING AND ASSESSMENT												Optimizing the classification accuracy of a mangrove forest is of utmost importance for conservation practitioners. Mangrove forest mapping using satellite-based remote sensing techniques is by far the most common method of classification currently used given the logistical difficulties of field endeavors in these forested wetlands. However, there is now an abundance of options from which to choose in regards to satellite sensors, which has led to substantially different estimations of mangrove forest location and extent with particular concern for degraded systems. The objective of this study was to assess the accuracy of mangrove forest classification using different remotely sensed data sources (i.e., Landsat-8, SPOT-5, Sentinel-2, and WorldView-2) for a system located along the Pacific coast of Mexico. Specifically, we examined a stressed semiarid mangrove forest which offers a variety of conditions such as dead areas, degraded stands, healthy mangroves, and very dense mangrove island formations. The results indicated that Landsat-8 (30 m per pixel) had the lowest overall accuracy at 64% and that WorldView-2 (1.6 m per pixel) had the highest at 93%. Moreover, the SPOT-5 and the Sentinel-2 classifications (10 m per pixel) were very similar having accuracies of 75 and 78%, respectively. In comparison to WorldView-2, the other sensors overestimated the extent of Laguncularia racemosa and underestimated the extent of Rhizophora mangle. When considering such type of sensors, the higher spatial resolution can be particularly important in mapping small mangrove islands that often occur in degraded mangrove systems.																	0167-6369	1573-2959				JAN	2018	190	1							23	10.1007/s10661-017-6399-z								WOS:000422680800032						
J	Taylor, S; Lynch, M; Terkildsen, M; Stevenson, G; Yates, A; Piro, N; de Araujo, J; Gray, R				Taylor, Shannon; Lynch, Michael; Terkildsen, Michael; Stevenson, Gavin; Yates, Alan; Piro, Nino; de Araujo, Jesuina; Gray, Rachael			Utility of fur as a biomarker for persistent organic pollutants in Australian fur seals (Arctocephalus pusillus doriferus)	SCIENCE OF THE TOTAL ENVIRONMENT												Persistent Organic Pollutants (POPs) can cause toxic effects in many species which include endocrine dysfunction, immunotoxicity, developmental defects and neoplasia. Species dominating the upper trophic level are vulnerable to these effects due to bioaccumulation. In Bass Strait, the Australian fur seal (Arctocephalus pusillus doriferus) is an important top order predator and sentinel species for ecosystem health. An alopecia syndrome is seen at high prevalence in juvenile, female Australian fur seals at Lady Julia Percy Island, Victoria, Australia. Previous investigations suggest causality could be due to an endocrine-like toxicant. The alopecia syndrome has significance for thermoregulation and is a likely risk factor for mortality. Fur collected from case (alopecic) and control (unaffected) seals sampled at Lady Julia Percy Island were analysed for POPs. To investigate the utility of fur for monitoring POPs concentrations in pinnipeds, a comparison of POPs concentrations in the fur and blubber of Australian fur seals stranded along the Victorian coast was undertaken. The concentration of selected POPs including polychlorinated dibenzo-p-dioxins and dibenzofurans (PCDD/Fs), dioxin-like polychlorinated biphenyls (dl-PCBs), polybrominated diphenyl ethers (PBDEs) and perfluorooctane sulfonate/perfluorooctanoic acid (PFOS/PFOA) were determined in fur using either High Resolution Gas Chromatography-Mass Spectrometry or Liquid Chromatography-Mass Spectrometry. Results indicate detectable, and in some individuals, elevated levels of dl-PCBs, PCDD/Fs and PBDEs in juvenile fur seals sampled on Lady Julia Percy Island, with significantly higher levels of dl-PCBs in case compared to control seals. Elevated levels of dl-PCBs and PCDD/Fs were found in blubber samples collected from stranded fur seals with significant correlations between blubber and fur concentrations seen, particularly for dl-PCBs. This study discusses the significance of POPs concentrations in relation to the causality of an alopecia syndrome in the Australian fur seal, and assesses the utility of fur as a non-invasive biomarker to monitor POPs exposure in this sentinel species. (C) 2017 Elsevier B.V. All rights reserved.																	0048-9697	1879-1026				JAN 1	2018	610						1310	1320		10.1016/j.scitotenv.2017.08.204								WOS:000411897700134	28851151					
J	Agha, SB; Tchouassi, DP; Bastos, ADS; Sang, R				Agha, Sheila B.; Tchouassi, David P.; Bastos, Armanda D. S.; Sang, Rosemary			Dengue and yellow fever virus vectors: seasonal abundance, diversity and resting preferences in three Kenyan cities	PARASITES & VECTORS												Background: The transmission patterns of dengue (DENV) and yellow fever (YFV) viruses, especially in urban settings, are influenced by Aedes (Stegomyia) mosquito abundance and behavior. Despite recurrent dengue outbreaks on the Kenyan coast, these parameters remain poorly defined in this and other areas of contrasting dengue endemicity in Kenya. In assessing the transmission risk of DENV/YFV in three Kenyan cities, we determined adult abundance and resting habits of potential Aedes (Stegomyia) vectors in Kilifi (dengue-outbreak prone), and Nairobi and Kisumu (no dengue outbreaks reported). In addition, mosquito diversity, an important consideration for changing mosquito-borne disease dynamics, was compared. Methods: Between October 2014 and June 2016, host-seeking adult mosquitoes were sampled using CO2-baited BG-Sentinel traps (12 traps daily) placed in vegetation around homesteads, across study sites in the three major cities. Also, indoor and outdoor resting mosquitoes were sampled using Prokopack aspirators. Three samplings, each of five consecutive days, were conducted during the long-rains, short-rains and dry season for each city. Intercity and seasonal variation in mosquito abundance and diversity was evaluated using general linear models while mosquito-resting preference (indoors vs outdoors) was compared using Chi-square test. Results: Aedes aegypti, which comprised 60% (n = 7772) of the total 12,937 host-seeking mosquitoes collected, had comparable numbers in Kisumu (45.2%, n = 3513) and Kilifi (37.7%, n = 2932), both being significantly higher than Nairobi (17.1%, n = 1327). Aedes aegypti abundance was significantly lower in the short-rains and dry season relative to the long-rains (P < 0.0001). Aedes bromeliae, which occurred in low numbers, did not differ significantly between seasons or cities. Mosquito diversity was highest during the long-rains and in Nairobi. Only 10% (n = 43) of the 450 houses aspirated were found positive for resting Ae. aegypti, with overall low captures in all areas. Aedes aegypti densities were comparable indoors/outdoors in Kilifi; but with higher densities outdoors than indoors in Kisumu and Nairobi. Conclusions: The presence and abundance of Ae. aegypti near human habitations and dwellings, especially in Kilifi/Kisumu, is suggestive of increased DENV transmission risk due to higher prospects of human vector contact. Despite low abundance of Ae. bromeliae suggestive of low YFV transmission risk, its proximity to human habitation as well as the observed diversity of potential YFV vectors should be of public health concern and monitored closely for targeted control. The largely outdoor resting behavior for Ae. aegypti provides insights for targeted adult vector control especially during emergency outbreak situations.				Bastos, Armanda/B-6357-2009	Bastos, Armanda/0000-0002-9223-4204												1756-3305					DEC 29	2017	10								628	10.1186/s13071-017-2598-2								WOS:000419235100003	29284522					
J	Di Beneditto, APM; Siciliano, S				Madeira Di Beneditto, Ana Paula; Siciliano, Salvatore			Marine debris boost in juvenile Magellanic penguins stranded in south-eastern Brazil in less than a decade: Insights into feeding habits and habitat use	MARINE POLLUTION BULLETIN												The Magellanic penguin (Spheniscus magellanicus) is a marine sentinel for the southern Atlantic Ocean that is a proxy of environmental quality. The presence of marine debris (macro-debris) in the stomach contents of emaciated juvenile penguins stranded from 21 degrees S to 23 degrees S was compared at different times (2000 and 2008), and the debris ingestion pathway was determined. The frequency of marine debris in the stomachs doubled in less than a decade, and flexible plastics remained the main ingested item over time (68-70%). The pelagic octopus, Argonauta nodosa, which inhabits the sea surface, was the most important prey species recovered in the stomach contents. The poor physical condition of the penguins that reach the northern migration limit (study area) reduces the diving capacity of the animals and increases their vulnerability to debris ingestion. Considering their preferred prey and physical condition, we conclude that the penguins likely ingested the marine debris in surface waters.																	0025-326X	1879-3363				DEC 15	2017	125	1-2					330	333		10.1016/j.marpolbul.2017.09.044								WOS:000418727000048	28958439					
J	Kocak, E; Sakar, S; Yetilmezsoy, K; Bozyigit, M; Dalgic, G				Kocak, E.; Sakar, S.; Yetilmezsoy, K.; Bozyigit, M.; Dalgic, G.			Evaluation of the potential genotoxic activity in seawater of Asin Bay, Gulf of Gulluk, Mugla, Aegean coast of Turkey	GLOBAL NEST JOURNAL												This research examined the genotoxic activity in the seawater of Asin Bay (Gulf of Gulluk) located in Mugla, Turkey, Aegean coast of Turkey. Genotoxic activities of 66 raw samples, taken from 17 different stations in the spring and summer seasons of the year 2013, were determined by using in vitro mutagenicity assay SOS chromotest with Escherichia coli PQ37 strain bacteria activities. In the applied procedure, beta-galactosidase (beta-gal) activity, alkaline phosphatase (AP) activity, and different solvent controls were taken into account to generate reliable results in terms of the corrected induction factors (CIF) used as a quantitative measure of genotoxic activity level. The SOS chromotest procedure was simply and rapidly performed as an early assay to explore for whether a potential genotoxic activity was presence in the in the seawater of Asin Bay (Gulf of Gulluk) with no special measuring devices except a microplate reader. The implemented assay was successfully completed within only 24 h including the revival of the bacteria. The results showed that 11 samples (% 17 of total) were close to the threshold value of 1.5. The findings of this study clearly revealed that the seawater of Asin Bay (Gulf of Gulluk) had no potential genotoxic risks in terms of the organisms in marine ecosystem, since all of the calculated CIF values were determined to be below the threshold level. It was concluded that according to the SOS chromotest results, the levels of potential genotoxic agents were found to be under the limits for the offshore fishery.																	1790-7632					DEC	2017	19	4					658	665										WOS:000422866200011						
J	Comer, DC; Chapman, BD; Comer, JA				Comer, Douglas C.; Chapman, Bruce D.; Comer, Jacob A.			Detecting Landscape Disturbance at the Nasca Lines Using SAR Data Collected from Airborne and Satellite Platforms	GEOSCIENCES												We used synthetic aperture radar (SAR) data collected over Peru's Lines and Geoglyphs of Nasca and Palpa World Heritage Site to detect and measure landscape disturbance threatening world-renowned archaeological features and ecosystems. We employed algorithms to calculate correlations between pairs of SAR returns, collected at different times, and generate correlation images. Landscape disturbances even on the scale of pedestrian travel are discernible in correlation images generated from airborne, L-band SAR. Correlation images derived from C-band SAR data collected by the European Space Agency's Sentinel-1 satellites also provide detailed landscape change information. Because the two Sentinel-1 satellites together have a repeat pass interval that can be as short as six days, products derived from their data can not only provide information on the location and degree of ground disturbance, but also identify a time window of about one to three weeks during which disturbance must have occurred. For Sentinel-1, this does not depend on collecting data in fine-beam modes, which generally sacrifice the size of the area covered for a higher spatial resolution. We also report on pixel value stretching for a visual analysis of SAR data, quantitative assessment of landscape disturbance, and statistical testing for significant landscape change.					Chapman, Bruce/0000-0002-6054-7695												2076-3263					DEC	2017	7	4							UNSP 106	10.3390/geosciences7040106								WOS:000419192500015						
J	La, TV; Khenchaf, A; Comblet, F; Nahum, C				Tran Vu La; Khenchaf, Ali; Comblet, Fabrice; Nahum, Carole			Exploitation of C-Band Sentinel-1 Images for High-Resolution Wind Field Retrieval in Coastal Zones (Iroise Coast, France)	IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING												Synthetic aperture radar (SAR) is one of the favorite ools for earth observation applications, i.e., oceanography, land use mapping, climate change since this device can offer the data at a high spatial resolution and in most meteorological conditions. This is more significant when the data acquired by the Sentinel-1, a new C-band satellite, are exploited. For high-resolution wind field extraction, two different approaches are proposed. In the scatterometry-based approach, wind direction is first extracted by the local gradient method at different scales, i.e., 1-5-km wind resolutions. It is then applied to the empirical geophysical model functions, i.e., CMOD (C-band), for surface wind speed estimation. The advantage of this approach is to deliver accurate wind speed estimates in the range of 2-25 m/s from different SAR data. However, it requires wind direction as an input parameter. This can lead to errors in wind speed estimation due to uncertain wind directions. Therefore, for comparison, in the second approach, we propose the use of the model without wind direction input proposed by Komarov et al. In general, the obtained wind fields based on two proposed approaches are quite similar, and they have good agreement with in situ measurements from the meteorological stations along the Iroise coast.																	1939-1404	2151-1535				DEC	2017	10	12	2				5458	5471		10.1109/JSTARS.2017.2746349								WOS:000418871200012						
J	Kumar, A; Stupp, P; Dahal, S; Remillard, C; Bledsoe, R; Stone, A; Cameron, C; Rastogi, G; Samal, R; Mishra, DR				Kumar, Abhishek; Stupp, Patricia; Dahal, Subash; Remillard, Caren; Bledsoe, Roger; Stone, Austin; Cameron, Christopher; Rastogi, Gurdeep; Samal, Rabindro; Mishra, Deepak R.			A Multi-Sensor Approach for Assessing Mangrove Biophysical Characteristics in Coastal Odisha, India	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES INDIA SECTION A-PHYSICAL SCIENCES												Mangroves around the world play a major role in coastal ecosystem processes by mitigating erosion and serving as a barrier against storm surges. India holds approximately 5% of the world's mangroves, over half of which are found along its east coast. Situated in the state of Odisha, Chilika Lagoon and Bhitarkanika Wildlife Sanctuary are two wetlands of local importance in need of effective management. This study demonstrated the use of Terra, Landsat, and Sentinel-1 satellite data for spatio-temporal monitoring of mangrove health at these two sites. Several indices, including Normalized Difference Vegetation Index and Enhanced Vegetation Index, were examined to develop biophysical prediction tools and derive a 17-year time-series (from 2000 to 2016) of leaf chlorophyll (CHL), Leaf Area Index (LAI), and Gross Primary Productivity (GPP). The long-term analysis revealed phenological patterns in the biophysical characteristics such as high values during wet season and low values during the dry season. Correlations between biophysical characteristics and meteorological factors revealed a time lag exists in response to precipitation and associated runoff. In contrast, surface temperature did not show any lag in response time. This study also utilized Sentinel-1 radar data for the first time for Odisha mangroves to show seasonal variability in LAI, GPP, and CHL. The results from radar data were consistent with optical sensors and proved useful for capturing the rainy season, where data were limited due to cloud cover. This study revealed the advantages of using a multi-sensor approach for monitoring mangrove health and defining future monitoring protocols.																	0369-8203	2250-1762				DEC	2017	87	4					679	700		10.1007/s40010-017-0441-y								WOS:000418819200015						
J	Misra, A; Balaji, R				Misra, A.; Balaji, R.			Simple Approaches to Oil Spill Detection Using Sentinel Application Platform (SNAP)-Ocean Application Tools and Texture Analysis: A Comparative Study	JOURNAL OF THE INDIAN SOCIETY OF REMOTE SENSING												Effective and efficient monitoring of oil spills that originate from ships, offshore platforms and any accidents are of immense importance from the viewpoint of public safety and environmental protection. Detection of spilled oil is also essential to estimate the potential spread and drift from the source to the nearby coastal areas. In this regard, utilization of SAR data for the detection and monitoring of oil spills has received considerable attention in recent times, due to their wide area coverage, day-night and all-weather capabilities. In this paper, two oil spills incidents along the coast of Mumbai, India are investigated; (1) The 2010 oil spill that occurred after the MV MSC Chitra and MV Khalijia-3 collided and (2) the oil spill caused due to sinking of MV RAK carrier in 2011. Two simple and relatively quick approaches for oil spill detection have been applied to VV polarized Radarsat-2 imagery of the incidents and a comparison is made of the results obtained. The first approach utilizes the oil spill detection tool of Sentinel Application Platform (SNAP) and the second explores texture analysis using Grey Level co-occurrence matrix (GLCM). The results of the study show that texture analysis proves to be an efficient method for oil spill detection as compared to the SNAP oil spill detection tool. Nevertheless, both the proposed methodologies are useful for detection of oil spills and for subsequent utilization of the results, timely and cost effectively, for the calibration and validation of numerical models that predict oil spill dispersion trajectories.																	0255-660X	0974-3006				DEC	2017	45	6					1065	1075		10.1007/s12524-016-0658-2								WOS:000416900000015						
