PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Manzo, C; Federica, B; Luca, Z; Ernesto, BV; Claudia, G; Mariano, B; Cristiana, B				Manzo, Ciro; Federica, Braga; Luca, Zaggia; Ernesto, Brando Vittorio; Claudia, Giardino; Mariano, Bresciani; Cristiana, Bassani			Spatio-temporal analysis of prodelta dynamics by means of new satellite generation: the case of Po river by Landsat-8 data	INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION																													0303-2434					APR	2018	66						210	225		10.1016/j.jag.2017.11.012								WOS:000423650500019						
J	Beck, MW; Hagy, JD; Le, CF				Beck, Marcus W.; Hagy, James D., III; Le, Chengfeng			Quantifying Seagrass Light Requirements Using an Algorithm to Spatially Resolve Depth of Colonization	ESTUARIES AND COASTS																	Beck, Marcus/0000-0002-4996-0059												1559-2723	1559-2731				MAR	2018	41	2					592	610		10.1007/s12237-017-0287-1								WOS:000423581200021						
J	Yu, X; Wang, YB; Liu, XY; Liu, X				Yu, Xiang; Wang, Yebao; Liu, Xiangyang; Liu, Xin			Remote sensing estimation of carbon fractions in the Chinese Yellow River estuary	MARINE GEORESOURCES & GEOTECHNOLOGY																													1064-119X	1521-0618					2018	36	2					202	210		10.1080/1064119X.2017.1297876								WOS:000424062100006						
J	von Holdt, JR; Eckardt, FD				von Holdt, Johanna R.; Eckardt, Frank D.			Dust activity and surface sediment characteristics of the dustiest river in southern Africa: the Kuiseb River, Central Namib	SOUTH AFRICAN GEOGRAPHICAL JOURNAL																													0373-6245	2151-2418					2018	100	1					104	121		10.1080/03736245.2017.1339627								WOS:000423739500006						
J	Xiao, L; Lang, Y; Christakos, G				Xiao, Lu; Lang, Yichao; Christakos, George			High-resolution spatiotemporal mapping of PM2.5 concentrations at Mainland China using a combined BME-GWR technique	ATMOSPHERIC ENVIRONMENT																													1352-2310	1873-2844				JAN	2018	173						295	305		10.1016/j.atmosenv.2017.10.062								WOS:000423007600028						
J	Telesca, L; Pierini, JO; Lovallo, M; Santamaria-del-Angel, E				Telesca, Luciano; Pierini, Jorge O.; Lovallo, Michele; Santamaria-del-Angel, Eduardo			Spatio-temporal variability in the Brazil-Malvinas Confluence Zone (BMCZ), based on spectroradiometric MODIS-AQUA chlorophyll-a observations	OCEANOLOGIA																	Santamaria-del-Angel, Eduardo/0000-0002-1882-7714												0078-3234	2300-7370				JAN-MAR	2018	60	1					76	85		10.1016/j.oceano.2017.08.002								WOS:000423058800006						
J	Wang, J; Deng, ZQ				Wang, Jiao; Deng, Zhiqiang			Development of a MODIS Data-Based Algorithm for Retrieving Gage Height in Nearshore Waters along the Louisiana Gulf Coast	JOURNAL OF COASTAL RESEARCH																													0749-0208	1551-5036				JAN	2018	34	1					220	228		10.2112/JCOASTRES-D-16-00161.1								WOS:000422738000021						
J	Houspanossian, J; Kuppel, S; Nosetto, M; Di Bella, C; Oricchio, P; Barrucand, M; Rusticucci, M; Jobbagy, E				Houspanossian, Javier; Kuppel, Sylvain; Nosetto, Marcelo; Di Bella, Carlos; Oricchio, Patricio; Barrucand, Mariana; Rusticucci, Matilde; Jobbagy, Esteban			Long-lasting floods buffer the thermal regime of the Pampas	THEORETICAL AND APPLIED CLIMATOLOGY																	Kuppel, Sylvain/0000-0003-3632-2100												0177-798X	1434-4483				JAN	2018	131	1-2					111	120		10.1007/s00704-016-1959-7								WOS:000419885200009						
J	Rios, B; Raga, GB				Rios, Blanca; Raga, Graciela B.			Spatio-temporal distribution of burned areas by ecoregions in Mexico and Central America	INTERNATIONAL JOURNAL OF REMOTE SENSING																	Raga, Graciela/0000-0002-4295-4991												0143-1161	1366-5901					2018	39	4					949	970		10.1080/01431161.2017.1392641								WOS:000419349800002						
J	Lamont, T; Brewin, RJW; Barlow, RG				Lamont, T.; Brewin, R. J. W.; Barlow, R. G.			Seasonal variation in remotely-sensed phytoplankton size structure around southern Africa	REMOTE SENSING OF ENVIRONMENT																													0034-4257	1879-0704				JAN	2018	204						617	631		10.1016/j.rse.2017.09.038								WOS:000418464400045						
J	Kono-Martinez, T; Ortega-Ortiz, CD; Olivos-Ortiz, A; Torres-Orozco, E; Gonzalez-Rodriguez, E				Kono-Martinez, Tadashi; Ortega-Ortiz, Christian D.; Olivos-Ortiz, Aramis; Torres-Orozco, Ernesto; Gonzalez-Rodriguez, Eduardo			Oceanographic conditions and marine mammals: identifying a potential relationship in the coastal region of the Mexican Central Pacific	REVISTA DE BIOLOGIA MARINA Y OCEANOGRAFIA																													0717-3326	0718-1957				DEC	2017	52	3					479	494										WOS:000423325000006						
J	Kumar, A; Stupp, P; Dahal, S; Remillard, C; Bledsoe, R; Stone, A; Cameron, C; Rastogi, G; Samal, R; Mishra, DR				Kumar, Abhishek; Stupp, Patricia; Dahal, Subash; Remillard, Caren; Bledsoe, Roger; Stone, Austin; Cameron, Christopher; Rastogi, Gurdeep; Samal, Rabindro; Mishra, Deepak R.			A Multi-Sensor Approach for Assessing Mangrove Biophysical Characteristics in Coastal Odisha, India	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES INDIA SECTION A-PHYSICAL SCIENCES																													0369-8203	2250-1762				DEC	2017	87	4					679	700		10.1007/s40010-017-0441-y								WOS:000418819200015						
J	Murayama, T; Kanao, M; Yamamoto, MY; Ishihara, Y; Matsushima, T; Kakinami, Y; Okada, K; Miyamachi, H; Nakamoto, M; Takeuchi, Y; Toda, S				Murayama, Takahiko; Kanao, Masaki; Yamamoto, Masa-Yuki; Ishihara, Yoshiaki; Matsushima, Takeshi; Kakinami, Yoshihiro; Okada, Kazumi; Miyamachi, Hiroki; Nakamoto, Manami; Takeuchi, Yukari; Toda, Shigeru			Time-space variations in infrasound sources related to environmental dynamics around Lutzow-Holm Bay, east Antarctica	POLAR SCIENCE																													1873-9652	1876-4428				DEC	2017	14						39	48		10.1016/j.polar.2017.10.001								WOS:000417043600005						
J	Mathew, MM; Rao, NS; Mandla, VR				Mathew, Merin Mariam; Rao, N. Srinivasa; Mandla, Venkata Ravibabu			Development of regression equation to study the Total Nitrogen, Total Phosphorus and Suspended Sediment using remote sensing data in Gujarat and Maharashtra coast of India	JOURNAL OF COASTAL CONSERVATION																													1400-0350	1874-7841				DEC	2017	21	6					917	927		10.1007/s11852-017-0561-1								WOS:000416870600017						
J	Nurdin, S; Mustapha, MA; Lihan, T; Zainuddin, M				Nurdin, Suhartono; Mustapha, Muzzneena A.; Lihan, Tukimat; Zainuddin, Mukti			Applicability of remote sensing oceanographic data in the detection of potential fishing grounds of Rastrelliger kanagurta in the archipelagic waters of Spermonde, Indonesia	FISHERIES RESEARCH																Zainuddin, Mukti/U-2357-2017	Zainuddin, Mukti/0000-0002-1600-4191												0165-7836	1872-6763				DEC	2017	196						1	12		10.1016/j.fishres.2017.07.029								WOS:000412250000001						
J	Qi, L; Hu, CM; Wang, MQ; Shang, SL; Wilson, C				Qi, Lin; Hu, Chuanmin; Wang, Mengqiu; Shang, Shaoling; Wilson, Cara			Floating Algae Blooms in the East China Sea	GEOPHYSICAL RESEARCH LETTERS																	Wilson, Cara/0000-0001-9318-2322; Wang, Mengqiu/0000-0002-0465-1324												0094-8276	1944-8007				NOV 28	2017	44	22					11501	11509		10.1002/2017GL075525								WOS:000419102300032						
J	Alfaro-Contreras, R; Zhang, JL; Reid, JS; Christopher, S				Alfaro-Contreras, Ricardo; Zhang, Jianglong; Reid, Jeffrey S.; Christopher, Sundar			A study of 15-year aerosol optical thickness and direct shortwave aerosol radiative effect trends using MODIS, MISR, CALIOP and CERES	ATMOSPHERIC CHEMISTRY AND PHYSICS																													1680-7316	1680-7324				NOV 21	2017	17	22					13849	13868		10.5194/acp-17-13849-2017								WOS:000415895200002						
J	Gui, K; Che, HZ; Chen, QL; Zeng, ZL; Liu, HZ; Wang, YQ; Zheng, Y; Sun, TZ; Liao, TT; Wang, H; Zhang, XY				Gui, Ke; Che, Huizheng; Chen, Quanliang; Zeng, Zhaoliang; Liu, Haizhi; Wang, Yaqiang; Zheng, Yu; Sun, Tianze; Liao, Tingting; Wang, Hong; Zhang, Xiaoye			Evaluation of radiosonde, MODIS-NIR-Clear, and AERONET precipitable water vapor using IGS ground-based GPS measurements over China	ATMOSPHERIC RESEARCH																	che, Huizheng/0000-0002-9458-3387												0169-8095	1873-2895				NOV 15	2017	197						461	473		10.1016/j.atmosres.2017.07.021								WOS:000412250700038						
J	Zhang, LL; Yao, YJ; Wang, ZQ; Jia, K; Zhang, XT; Zhang, YH; Wang, XY; Xu, J; Chen, XW				Zhang, Lilin; Yao, Yunjun; Wang, Zhiqiang; Jia, Kun; Zhang, Xiaotong; Zhang, Yuhu; Wang, Xuanyu; Xu, Jia; Chen, Xiaowei			Satellite-Derived Spatiotemporal Variations in Evapotranspiration over Northeast China during 1982-2010	REMOTE SENSING																	Jia, Kun/0000-0001-8586-4243												2072-4292					NOV	2017	9	11							1140	10.3390/rs9111140								WOS:000416554100055						
J	O'Connell, JL; Mishra, DR; Cotten, DL; Wang, L; Alber, M				O'Connell, Jessica L.; Mishra, Deepak R.; Cotten, David L.; Wang, Li; Alber, Merryl			The Tidal Marsh Inundation Index (TMII): An inundation filter to flag flooded pixels and improve MODIS tidal marsh vegetation time-series analysis	REMOTE SENSING OF ENVIRONMENT																													0034-4257	1879-0704				NOV	2017	201						34	46		10.1016/j.rse.2017.08.008								WOS:000412866400004						
J	Keck, T; Preusker, R; Fischer, J				Keck, Therese; Preusker, Rene; Fischer, Juergen			Retrieving snow and ice characteristics by remotely sensed emissivity using the multi-view brightness temperature within 8 mu m to 14 mu m	REMOTE SENSING OF ENVIRONMENT																													0034-4257	1879-0704				NOV	2017	201						181	195		10.1016/j.rse.2017.09.006								WOS:000412866400014						
J	Yao, JL; Yang, L; Shu, YQ; Zeng, LL; Shi, R; Chen, J; Zu, TT; Chen, CQ				Yao, Jinglong; Yang, Lei; Shu, Yeqiang; Zeng, Lili; Shi, Rui; Chen, Ju; Zu, Tingting; Chen, Chuqun			Comparison of summer chlorophyll a concentration in the South China Sea and the Arabian Sea using remote sensing data	ACTA OCEANOLOGICA SINICA																													0253-505X	1869-1099				NOV	2017	36	11					61	67		10.1007/s13131-017-1138-4								WOS:000414992900008						
J	Fernandez-Novoa, D; Gomez-Gesteira, M; Mendes, R; deCastro, M; Vaz, N; Dias, JM				Fernandez-Novoa, D.; Gomez-Gesteira, M.; Mendes, R.; deCastro, M.; Vaz, N.; Dias, J. M.			Influence of main forcing affecting the Tagus turbid plume under high river discharges using MODIS imagery	PLOS ONE																	Vaz, Nuno/0000-0002-8484-6948; Fernandez-Novoa, Diego/0000-0002-7508-6502												1932-6203					OCT 26	2017	12	10							e0187036	10.1371/journal.pone.0187036								WOS:000413845400100	29073209					
J	Wattelez, G; Dupouy, C; Lefevre, J; Ouillon, S; Fernandez, JM; Juillot, F				Wattelez, Guillaume; Dupouy, Cecile; Lefevre, Jerome; Ouillon, Sylvain; Fernandez, Jean-Michel; Juillot, Farid			Application of the Support Vector Regression Method for Turbidity Assessment with MODIS on a Shallow Coral Reef Lagoon (Voh-Kone-Pouembout, New Caledonia)	WATER																	Ouillon, Sylvain/0000-0001-7964-7787												2073-4441					OCT	2017	9	10							737	10.3390/w9100737								WOS:000414707500014						
J	Carswell, T; Costa, M; Young, E; Komick, N; Gower, J; Sweeting, R				Carswell, Tyson; Costa, Maycira; Young, Erika; Komick, Nicholas; Gower, Jim; Sweeting, Ruston			Evaluation of MODIS-Aqua Atmospheric Correction and Chlorophyll Products of Western North American Coastal Waters Based on 13 Years of Data	REMOTE SENSING																													2072-4292					OCT	2017	9	10							1063	10.3390/rs9101063								WOS:000414650600093						
J	Chin, TM; Vazquez-Cuervo, J; Armstrong, EM				Chin, Toshio Michael; Vazquez-Cuervo, Jorge; Armstrong, Edward M.			A multi-scale high-resolution analysis of global sea surface temperature	REMOTE SENSING OF ENVIRONMENT																													0034-4257	1879-0704				OCT	2017	200						154	169		10.1016/j.rse.2017.07.029								WOS:000412607600012						
J	Ma, P; Dai, XY; Guo, ZY; Wei, C; Ma, WC				Ma, Pin; Dai, Xiaoyan; Guo, Zhongyang; Wei, Chao; Ma, Weichun			Detection of thermal pollution from power plants on China's eastern coast using remote sensing data	STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT																													1436-3240	1436-3259				OCT	2017	31	8					1957	1975		10.1007/s00477-016-1293-8								WOS:000413233000005						
J	Huang, YY; Dong, XQ; Xi, BK; Dolinar, EK; Stanfield, RE; Qiu, SY				Huang, Yiyi; Dong, Xiquan; Xi, Baike; Dolinar, Erica K.; Stanfield, Ryan E.; Qiu, Shaoyue			Quantifying the Uncertainties of Reanalyzed Arctic Cloud and Radiation Properties Using Satellite Surface Observations	JOURNAL OF CLIMATE																													0894-8755	1520-0442				OCT	2017	30	19					8007	8029		10.1175/JCLI-D-16-0722.1								WOS:000411436700021						
J	Fick, SE; Hijmans, RJ				Fick, Stephen E.; Hijmans, Robert J.			WorldClim 2: new 1-km spatial resolution climate surfaces for global land areas	INTERNATIONAL JOURNAL OF CLIMATOLOGY																													0899-8418	1097-0088				OCT	2017	37	12					4302	4315		10.1002/joc.5086								WOS:000412095400006						
J	Kibler, SR; Davenport, ED; Tester, PA; Hardison, DR; Holland, WC; Litaker, RW				Kibler, Steven R.; Davenport, Eric D.; Tester, Patricia A.; Hardison, D. Ransom; Holland, William C.; Litaker, R. Wayne			Gambierdiscus and Fukuyoa species in the greater Caribbean: Regional growth projections for ciguatera-associated dinoflagellates	ECOLOGICAL MODELLING																													0304-3800	1872-7026				SEP 24	2017	360						204	218		10.1016/j.ecolmodel.2017.07.007								WOS:000411771800018						
J	Chioua, J; Dastis, C; Gonzalez, CJ; Reyes, E; Mananes, R; Ruiz, MI; Alvarez, E; Yanguas, F; Romero, J; Alvarez, O; Bruno, M				Chioua, J.; Dastis, C.; Gonzalez, C. J.; Reyes, E.; Mananes, R.; Ruiz, M. I.; Alvarez, E.; Yanguas, F.; Romero, J.; Alvarez, O.; Bruno, M.			Water exchange between Algeciras Bay and the Strait of Gibraltar: A study based on HF coastal radar	ESTUARINE COASTAL AND SHELF SCIENCE																													0272-7714	1096-0015				SEP 5	2017	196						109	122		10.1016/j.ecss.2017.06.030								WOS:000411302000010						
J	Nihashi, S; Ohshima, KI; Tamura, T				Nihashi, Sohey; Ohshima, Kay I.; Tamura, Takeshi			Sea-Ice Production in Antarctic Coastal Polynyas Estimated From AMSR2 Data and Its Validation Using AMSR-E and SSM/I-SSMIS Data	IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING																													1939-1404	2151-1535				SEP	2017	10	9			SI		3912	3922		10.1109/JSTARS.2017.2731995								WOS:000412626400009						
J	Swain, S; Abeysundara, S; Hayhoe, K; Stoner, AMK				Swain, Sharmistha; Abeysundara, Sachith; Hayhoe, Katharine; Stoner, Anne M. K.			Future changes in summer MODIS-based enhanced vegetation index for the South-Central United States	ECOLOGICAL INFORMATICS																													1574-9541	1878-0512				SEP	2017	41						64	73		10.1016/j.ecoinf.2017.07.007								WOS:000412261000007						
J	Lee, D; An, YR; Park, KJ; Kim, HW; Lee, D; Joo, HT; Oh, YG; Kim, SM; Kang, CK; Lee, SH				Lee, Dasom; An, Yong Rock; Park, Kyum Joon; Kim, Hyun Woo; Lee, Dabin; Joo, Hui Tae; Oh, Young Geun; Kim, Su Min; Kang, Chang Keun; Lee, Sang Heon			Spatial distribution of common Minke whale (Balaenoptera acutorostrata) as an indication of a biological hotspot in the East Sea	DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY																													0967-0645	1879-0100				SEP	2017	143				SI		91	99		10.1016/j.dsr2.2017.06.005								WOS:000408783900010						
