PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Turner, IL; Aarninkhof, SGJ; Holman, RA				Turner, IL; Aarninkhof, SGJ; Holman, RA			Coastal imaging applications and research in Australia	JOURNAL OF COASTAL RESEARCH																Turner, Ian/H-7122-2014	Turner, Ian/0000-0001-9884-6917												0749-0208					JAN	2006	22	1					37	48		10.2112/05A-004.1								WOS:000234837800004						
J	Wang, J; Qi, YQ; Jones, ISF				Wang, J; Qi, YQ; Jones, ISF			An analysis of the characteristics of chlorophyll in the Sulu Sea	JOURNAL OF MARINE SYSTEMS																QI, Yiquan/H-2637-2012													0924-7963					JAN	2006	59	1-2					111	119		10.1016/j.jmarsys.2005.09.004								WOS:000235298400006						
J	Gonzalez, M; Uriarte, A; Pozo, R; Collins, M				Gonzalez, Manuel; Uriarte, Adolfo; Pozo, Rogelio; Collins, Michael			The Prestige crisis: Operational oceanography applied to oil recovery, by the Basque fishing fleet	MARINE POLLUTION BULLETIN																													0025-326X	1879-3363					2006	53	5-7					369	374		10.1016/j.marpolbul.2005.02.046								WOS:000238860000014	16769415					
S	Singh, RP; Dey, S; Bhoi, S; Sun, DL; Cervone, G; Kafatos, M		Singh, RP; Shea, MA		Singh, Ramesh P.; Dey, Sagnik; Bhoi, Sanjeeb; Sun, Donglian; Cervone, Guido; Kafatos, Menas			Anomalous increase of chlorophyll concentrations associated with earthquakes	NATURAL HAZARDS AND OCEANOGRAPHIC PROCESSES FROM SATELLITE DATA	ADVANCES IN SPACE RESEARCH-SERIES				35th COSPAR Scientific Assembly	JUL 18-25, 2004	Paris, FRANCE	Comm Space Res								Singh, Ramesh/G-7240-2012; bhoi, sanjeeb/G-1643-2013	bhoi, sanjeeb/0000-0002-5069-6478; Cervone, Guido/0000-0002-6509-0735; Dey, Sagnik/0000-0002-0604-0869												0273-1177						2006	37	4					671	680		10.1016/j.asr.2005.07.053								WOS:000238187800007						
J	Kojima, M; Asano, S; Iwabuchi, H				Kojima, Masaya; Asano, Shoji; Iwabuchi, Hironobu			Time-Variations of Optical and Microphysical Properties of Yamase Clouds Estimated from Shipboard Experiments and Satellite Remote Sensing in June 2003	SOLA																													1349-6476						2006	2						45	48		10.2151/sola.2006-012								WOS:000208289800012						
J	Ayad, YA				Ayad, YA			Remote sensing and GIS in modeling visual landscape change: a case study of the northwestern and coast of Egypt	LANDSCAPE AND URBAN PLANNING																													0169-2046					DEC 15	2005	73	4					307	325		10.1016/j.landurbplan.2004.08.002								WOS:000232822200004						
J	Dwivedi, RM; Solanki, HU; Nayak, SR; Gulati, D; Somvanshi, VS				Dwivedi, RM; Solanki, HU; Nayak, SR; Gulati, D; Somvanshi, VS			Exploration of fishery resources through integration of ocean colour with sea surface temperature: Indian experience	INDIAN JOURNAL OF MARINE SCIENCES																													0379-5136					DEC	2005	34	4					430	440										WOS:000234721000011						
J	Anand, A; Kumari, B; Nayak, SR; Murthy, YVNK				Anand, A.; Kumari, Beena; Nayak, S. R.; Murthy, Y. V. N. Krishna			Locating oceanic tuna resources in the eastern arabian sea using remote sensing	PHOTONIRVACHAK-JOURNAL OF THE INDIAN SOCIETY OF REMOTE SENSING																													0255-660X					DEC	2005	33	4					511	520										WOS:000244672200006						
J	Solanki, HU; Mankodi, PC; Nayak, SR; Somvanshi, VS				Solanki, HU; Mankodi, PC; Nayak, SR; Somvanshi, VS			Evaluation of remote-sensing-based potential fishing zones (PFZs) forecast methodology	CONTINENTAL SHELF RESEARCH																Mankodi, Pradeep/I-7333-2012; Mankodi, Pradeep/A-5791-2010	Mankodi, Pradeep/0000-0002-8454-1984												0278-4343					NOV	2005	25	18					2163	2173		10.1016/j.csr.2005.08.025								WOS:000233798500002						
J	Lafon, V; Dupuis, H; Butel, R; Castelle, B; Michel, D; Howa, H; Apoluceno, DD				Lafon, V; Dupuis, H; Butel, R; Castelle, B; Michel, D; Howa, H; Apoluceno, DD			Morphodynamics of nearshore rhythmic sandbars in a mixed-energy environment (SW France): 2. Physical forcing analysis	ESTUARINE COASTAL AND SHELF SCIENCE																	Castelle, Bruno/0000-0003-1740-7395												0272-7714					NOV	2005	65	3					449	462		10.1016/j.ecss.2005.06.011								WOS:000232681500007						
J	Wynne, TT; Sturnpf, RP; Tomlinson, MC; Ransibrahmanakul, V; Villareal, TA				Wynne, TT; Sturnpf, RP; Tomlinson, MC; Ransibrahmanakul, V; Villareal, TA			Detecting Karenia brevis blooms and algal resuspension in the western Gulf of Mexico with satellite ocean color imagery	HARMFUL ALGAE																Villareal, Tracy/I-9462-2012	Villareal, Tracy/0000-0002-5717-8163												1568-9883					NOV	2005	4	6					992	1003		10.1016/j.hal.2005.02.004								WOS:000233325900004						
J	Valavanis, VD; Katara, I; Palialexis, A				Valavanis, VD; Katara, I; Palialexis, A			Marine GIS: Identification of mesoscale oceanic thermal fronts	INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE																Wright, Dawn/A-4518-2011; Valavanis, Vasilis/G-8869-2011	Wright, Dawn/0000-0002-2997-7611; 												1365-8816					NOV	2005	19	10					1131	1147		10.1080/13658810500391206								WOS:000234420100008						
J	Finkl, CW; Benedet, L; Andrews, JL				Finkl, CW; Benedet, L; Andrews, JL			Submarine geomorphology of the continental shelf off southeast Florida based on interpretation of airborne laser bathymetry	JOURNAL OF COASTAL RESEARCH																													0749-0208					NOV	2005	21	6					1178	1194		10.2112/05A-0021.1								WOS:000233495200012						
J	Walker, ND; Wiseman, WJ; Rouse, LJ; Babin, A				Walker, ND; Wiseman, WJ; Rouse, LJ; Babin, A			Effects of river discharge, wind stress, and slope eddies on circulation and the satellite-observed structure of the Mississippi River plume	JOURNAL OF COASTAL RESEARCH																Walker, Nan/D-8819-2013; Liu, Cheng-Chien/E-4859-2011													0749-0208					NOV	2005	21	6					1228	1244		10.2112/04-0347.1								WOS:000233495200016						
