PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Andrefouet, S; Berkelmans, R; Odriozola, L; Done, T; Oliver, J; Muller-Karger, F				Andrefouet, S; Berkelmans, R; Odriozola, L; Done, T; Oliver, J; Muller-Karger, F			Choosing the appropriate spatial resolution for monitoring coral bleaching events using remote sensing	CORAL REEFS																													0722-4028					JUL	2002	21	2					147	154		10.1007/s00338-002-0233-x								WOS:000177495000006						
J	Walter, DJ; Lambert, DN; Young, DC				Walter, DJ; Lambert, DN; Young, DC			Sediment facies determination using acoustic techniques in a shallow-water carbonate environment, Dry Tortugas, Florida	MARINE GEOLOGY																													0025-3227					APR 10	2002	182	1-2					161	177	PII S0025-3227(01)00233-X	10.1016/S0025-3227(01)00233-X								WOS:000175747000009						
J	Andrefouet, S; Mumby, PJ; McField, M; Hu, C; Muller-Karger, FE				Andrefouet, S; Mumby, PJ; McField, M; Hu, C; Muller-Karger, FE			Revisiting coral reef connectivity	CORAL REEFS																Mumby, Peter/F-9914-2010; hu, chuanmin/J-5021-2012													0722-4028					APR	2002	21	1					43	48		10.1007/s00338-001-0199-0								WOS:000175608200008						
J	Yamano, H; Tamura, M; Kunii, Y; Hidaka, M				Yamano, H; Tamura, M; Kunii, Y; Hidaka, M			Hyperspectral remote sensing and radiative transfer simulation as a tool for monitoring coral reef health	MARINE TECHNOLOGY SOCIETY JOURNAL																													0025-3324					SPR	2002	36	1					4	13		10.4031/002533202787914205								WOS:000175937700002						
J	Holden, H				Holden, H			Characterisation of optical water quality in Bunaken National Marine Park, North Sulawesi, Indonesia	SINGAPORE JOURNAL OF TROPICAL GEOGRAPHY																													0129-7619					MAR	2002	23	1					23	36		10.1111/1467-9493.00116								WOS:000175215700002						
J	Hedley, JD; Mumby, PJ				Hedley, JD; Mumby, PJ			Biological and remote sensing perspectives of pigmentation in coral reef organisms	ADVANCES IN MARINE BIOLOGY, VOL 43	ADVANCES IN MARINE BIOLOGY															Mumby, Peter/F-9914-2010													0065-2881						2002	43						277	317		10.1016/S0065-2881(02)43006-4								WOS:000177426600004	12154614					
J	Holden, H; LeDrew, E				Holden, H; LeDrew, E			Effects of the water column on hyperspectral reflectance of submerged coral reef features	BULLETIN OF MARINE SCIENCE					International Conference on Scientific Aspects of Coral Reef Assessment Monitoring and Restoration	APR 14-16, 1999	FT LAUDERDALE, FLORIDA																						0007-4977					SEP	2001	69	2					685	699										WOS:000172609000037						
J	Holden, H; LeDrew, E				Holden, H; LeDrew, E			Hyperspectral discrimination of healthy versus stressed corals using in situ reflectance	JOURNAL OF COASTAL RESEARCH																													0749-0208					FAL	2001	17	4					850	858										WOS:000172520100007						
J	Phinney, JT; Muller-Karger, F; Dustan, P; Sobel, J				Phinney, JT; Muller-Karger, F; Dustan, P; Sobel, J			Using remote sensing to reassess the mass mortality of Diadema antillarum 1983-1984	CONSERVATION BIOLOGY																													0888-8892					AUG	2001	15	4					885	891		10.1046/j.1523-1739.2001.015004885.x								WOS:000170179600016						
J	Fuchs, E				Fuchs, E			Separating the fluorescence and reflectance components of coral spectra	APPLIED OPTICS																													1559-128X	2155-3165				JUL 20	2001	40	21					3614	3621		10.1364/AO.40.003614								WOS:000169932100025	18360391					
J	Carriquiry, JD; Cupul-Magana, AL; Rodriguez-Zaragoza, F; Medina-Rosas, P				Carriquiry, JD; Cupul-Magana, AL; Rodriguez-Zaragoza, F; Medina-Rosas, P			Coral bleaching and mortality in the Mexican Pacific during the 1997-98 El Nino and prediction from a remote sensing approach	BULLETIN OF MARINE SCIENCE																Rodriguez Zaragoza, Fabian Alejandro/B-3477-2015; CARRIQUIRY, JOSE/R-9190-2017	Rodriguez Zaragoza, Fabian Alejandro/0000-0002-0066-4275; 												0007-4977					JUL	2001	69	1					237	249										WOS:000171653300015						
J	Mumby, PJ				Mumby, PJ			Beta and habitat diversity in marine systems: a new approach to measurement, scaling and interpretation	OECOLOGIA																Mumby, Peter/F-9914-2010													0029-8549					JUL	2001	128	2					274	280		10.1007/s004420100643								WOS:000170392500014	28547476					
J	Andrefouet, S; Payri, C				Andrefouet, S; Payri, C			Scaling-up carbon and carbonate metabolism of coral reefs using in-situ data and remote sensing	CORAL REEFS																PAYRI, Claude/K-5646-2016	PAYRI, Claude/0000-0002-0393-6811												0722-4028					JAN	2001	19	3					259	269										WOS:000166915500009						
J	Chauvaud, S; Bouchon, C; Maniere, R				Chauvaud, S; Bouchon, C; Maniere, R			Thematic mapping of tropical marine communities (coral reefs, seagrass beds and mangroves) using SPOT data in Guadeloupe Island.	OCEANOLOGICA ACTA																													0399-1784						2001	24			S			S3	S16										WOS:000167333600001						
J	Lubin, D; Li, W; Dustan, P; Mazel, CH; Stamnes, K				Lubin, D; Li, W; Dustan, P; Mazel, CH; Stamnes, K			Spectral signatures of coral reefs: Features from space	REMOTE SENSING OF ENVIRONMENT																													0034-4257					JAN	2001	75	1					127	137		10.1016/S0034-4257(00)00161-9								WOS:000166142000011						
J	Clark, CD; Mumby, PJ; Chisholm, JRM; Jaubert, J; Andrefouet, S				Clark, CD; Mumby, PJ; Chisholm, JRM; Jaubert, J; Andrefouet, S			Spectral discrimination of coral mortality states following a severe bleaching event	INTERNATIONAL JOURNAL OF REMOTE SENSING																Clark, Chris/C-3830-2009; Mumby, Peter/F-9914-2010	Clark, Chris/0000-0002-1021-6679; 												0143-1161					JUL 20	2000	21	11					2321	2327		10.1080/01431160050029602								WOS:000088070200015						
J	Hochberg, EJ; Atkinson, MJ				Hochberg, EJ; Atkinson, MJ			Spectral discrimination of coral reef benthic communities	CORAL REEFS																													0722-4028					JUL	2000	19	2					164	171		10.1007/s003380000087								WOS:000088614000008						
J	Spencer, T; Teleki, KA; Bradshaw, C; Spalding, MD				Spencer, T; Teleki, KA; Bradshaw, C; Spalding, MD			Coral bleaching in the southern Seychelles during the 1997-1998 Indian Ocean warm event	MARINE POLLUTION BULLETIN																kohki, sowa/D-2955-2011; Bradshaw, Clare/I-1833-2013	Bradshaw, Clare/0000-0002-8421-2750												0025-326X	1879-3363				JUL	2000	40	7					569	586		10.1016/S0025-326X(00)00026-6								WOS:000088616800011						
J	McManus, JW; Menez, LAB; Kesner-Reyes, KN; Vergara, SG; Ablan, MC				McManus, JW; Menez, LAB; Kesner-Reyes, KN; Vergara, SG; Ablan, MC			Coral reef fishing and coral-algal phase shifts: implications for global reef status	ICES JOURNAL OF MARINE SCIENCE					ICES/SCOR Symposium on Ecosystem Effects of Fishing	MAR 15-19, 1999	INST RECH DEV, MONTPELLIER, FRANCE	ICES, SCOR	INST RECH DEV																				1054-3139					JUN	2000	57	3					572	578		10.1006/jmsc.2000.0720								WOS:000088880200013						
J	Coops, N; Culvenor, D				Coops, N; Culvenor, D			Utilizing local variance of simulated high spatial resolution imagery to predict spatial pattern of forest stands	REMOTE SENSING OF ENVIRONMENT																Culvenor, Darius/B-1326-2012; Coops, Nicholas/J-1543-2012	Coops, Nicholas/0000-0002-0151-9037												0034-4257	1879-0704				MAR	2000	71	3					248	260		10.1016/S0034-4257(99)00068-1								WOS:000085501400002						
J	Holden, H; Ledrew, E				Holden, H; Ledrew, E			Hyperspectral identification of coral reef features	INTERNATIONAL JOURNAL OF REMOTE SENSING																													0143-1161					SEP 10	1999	20	13					2545	2563		10.1080/014311699211921								WOS:000082243800006						
