PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Shifrin, KS				Shifrin, KS			An algorithm for determining the radiance reflected from the rough sea surface using MODIS-N satellite radiometer data	IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING																													0196-2892					MAR	2001	39	3					677	681		10.1109/36.911124								WOS:000167628100019						
J	Sanderson, PG				Sanderson, PG			The application of satellite remote sensing to coastal management in Singapore	AMBIO																													0044-7447					FEB	2001	30	1					43	48		10.1639/0044-7447(2001)030[0043:TAOSRS]2.0.CO;2								WOS:000167684900007	11351792					
J	Barber, DG; Yackel, JJ; Hanesiak, JM				Barber, DG; Yackel, JJ; Hanesiak, JM			Sea ice, RADARSAT-1 and Arctic climate processes: A review and update	CANADIAN JOURNAL OF REMOTE SENSING																													1712-7971					FEB	2001	27	1					53	63										WOS:000172767800007						
J	Bates, CR; Phillips, DR; Grimm, R; Lynn, H				Bates, CR; Phillips, DR; Grimm, R; Lynn, H			The seismic evaluation of a naturally fractured tight gas sand reservoir in the Wind River Basin, Wyoming	PETROLEUM GEOSCIENCE																	Grimm, Robert/0000-0002-7588-1194; Bates, Charles Richard/0000-0001-9147-7151												1354-0793					FEB	2001	7	1					35	44		10.1144/petgeo.7.1.35								WOS:000167329800006						
J	Hutchinson, JN				Hutchinson, JN			Reading the ground: Morphology and geology in site appraisal	QUARTERLY JOURNAL OF ENGINEERING GEOLOGY AND HYDROGEOLOGY																													0481-2085					FEB	2001	34		1				7	+		10.1144/qjegh.34.1.7								WOS:000166724700001						
J	Westbrook, AG; Pinkerton, MH; Aiken, J; Pilgrim, DA				Westbrook, AG; Pinkerton, MH; Aiken, J; Pilgrim, DA			Simulated performance of remote sensing ocean colour algorithms during the 1996 PRIME cruise	DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY																													0967-0645						2001	48	4-5					845	858		10.1016/S0967-0645(00)00100-4								WOS:000166204500010						
J	Pozdnyakov, DV; Kondratyev, KY; Pettersson, LH				Pozdnyakov, DV; Kondratyev, KY; Pettersson, LH			Remote sensing assessment of phytoplankton primary productivity: Methodological aspects	EARTH OBSERVATION AND REMOTE SENSING																													1024-5251						2001	16	4					583	609										WOS:000168564600007						
J	Lisitsyn, AP				Lisitsyn, AP			Lithology of lithospheric plates	GEOLOGIYA I GEOFIZIKA																													0016-7886						2001	42	4					522	559										WOS:000169179400001						
J	Sathyendranath, S; Cota, G; Stuart, V; Maass, H; Platt, T				Sathyendranath, S; Cota, G; Stuart, V; Maass, H; Platt, T			Remote sensing of phytoplankton pigments: a comparison of empirical and theoretical approaches	INTERNATIONAL JOURNAL OF REMOTE SENSING																													0143-1161					JAN	2001	22	2-3					249	273		10.1080/014311601449925								WOS:000166471600004						
J	Dudelzak, AE; Babichenko, SM; Poryvkina, L; Wassmann, P				Dudelzak, AE; Babichenko, SM; Poryvkina, L; Wassmann, P			Spectroscopic lidar sensing in three-dimensional profiling of marine organics	INTERNATIONAL JOURNAL OF REMOTE SENSING																													0143-1161					JAN	2001	22	2-3					385	402										WOS:000166471600011						
J	Kawamoto, K; Nakajima, T; Nakajima, TY				Kawamoto, K; Nakajima, T; Nakajima, TY			A global determination of cloud microphysics with AVHRR remote sensing	JOURNAL OF CLIMATE																Nakajima, Takashi/C-2747-2009; Nakajima, Teruyuki/H-2370-2013	Nakajima, Teruyuki/0000-0002-9042-504X												0894-8755						2001	14	9					2054	2068		10.1175/1520-0442(2001)014<2054:AGDOCM>2.0.CO;2								WOS:000168253300009						
J	Boyd, IL; Hawker, EJ; Brandon, MA; Staniland, IJ				Boyd, IL; Hawker, EJ; Brandon, MA; Staniland, IJ			Measurement of ocean temperatures using instruments carried by Antarctic fur seals	JOURNAL OF MARINE SYSTEMS																Staniland, Iain/I-4725-2012; Brandon, Mark/A-5804-2010	Brandon, Mark/0000-0002-7779-0958												0924-7963					JAN	2001	27	4					277	288		10.1016/S0924-7963(00)00073-7								WOS:000166652200001						
J	Platnick, S				Platnick, S			Approximations for horizontal photon transport in cloud remote sensing problems	JOURNAL OF QUANTITATIVE SPECTROSCOPY & RADIATIVE TRANSFER																Platnick, Steven/J-9982-2014	Platnick, Steven/0000-0003-3964-3567												0022-4073					JAN 1	2001	68	1					75	99		10.1016/S0022-4073(00)00016-9								WOS:000089334700004						
J	Cho, BC; Park, MG; Shim, JH; Choi, DH				Cho, BC; Park, MG; Shim, JH; Choi, DH			Sea-surface temperature and f-ratio explain large variability in the ratio of bacterial production to primary production in the Yellow Sea	MARINE ECOLOGY PROGRESS SERIES																													0171-8630						2001	216						31	41		10.3354/meps216031								WOS:000170395500003						
J	Moran, XAG; Estrada, M				Moran, XAG; Estrada, M			Short-term variability of photosynthetic parameters and particulate and dissolved primary production in the Alboran Sea (SW Mediterranean)	MARINE ECOLOGY PROGRESS SERIES																Estrada, Marta/L-6207-2014; Moran, Xose Anxelu/K-9647-2014	Estrada, Marta/0000-0001-5769-9498; Moran, Xose Anxelu/0000-0002-9823-5339												0171-8630						2001	212						53	67		10.3354/meps212053								WOS:000168017600005						
J	Chauvaud, S; Bouchon, C; Maniere, R				Chauvaud, S; Bouchon, C; Maniere, R			Thematic mapping of tropical marine communities (coral reefs, seagrass beds and mangroves) using SPOT data in Guadeloupe Island.	OCEANOLOGICA ACTA																													0399-1784						2001	24			S			S3	S16										WOS:000167333600001						
J	Pasqualini, V; Pergent-Martini, C; Clabaut, P; Marteel, H; Pergent, G				Pasqualini, V; Pergent-Martini, C; Clabaut, P; Marteel, H; Pergent, G			Integration of aerial remote sensing, photogrammetry, and GIS technologies in seagrass mapping	PHOTOGRAMMETRIC ENGINEERING AND REMOTE SENSING																Pasqualini, Vanina/D-7255-2012	Pasqualini, Vanina/0000-0001-5919-4805												0099-1112					JAN	2001	67	1					99	105										WOS:000166439300011						
J	Polovina, JJ; Howell, E; Kobayashi, DR; Seki, MP				Polovina, JJ; Howell, E; Kobayashi, DR; Seki, MP			The transition zone chlorophyll front, a dynamic global feature defining migration and forage habitat for marine resources	PROGRESS IN OCEANOGRAPHY					Conference on Beyond El Nino	MAR, 2000	LA JOLLA, CALIFORNIA										Howell, Evan/0000-0001-9904-4633												0079-6611						2001	49	1-4			SI		469	483		10.1016/S0079-6611(01)00036-2								WOS:000171261600025						
J	Winstead, NS; Schaaf, RM; Mourad, PD				Winstead, NS; Schaaf, RM; Mourad, PD			Synthetic aperture radar observations of the surface signatures of cold-season bands over the Great Lakes	WEATHER AND FORECASTING																													0882-8156	1520-0434					2001	16	3					315	328		10.1175/1520-0434(2001)016<0315:SAROOT>2.0.CO;2								WOS:000169160000003						
J	Culik, B				Culik, B			Finding food in the open ocean: foraging strategies in Humboldt penguins	ZOOLOGY-ANALYSIS OF COMPLEX SYSTEMS					94th Annual Meeting of the German-Zoological-Society	JUN 04-08, 2001	UNIV OSNABRUCK, OSNABRUCK, GERMANY	German Zoolog Soc	UNIV OSNABRUCK																				0944-2006						2001	104	3-4					327	338		10.1078/0944-2006-00038								WOS:000174431600018	16351847					
J	Yamaguchi, Y; Taguchi, N; Yamanouchi, H; Shibata, T; Hitomi, K; Yamagishi, S				Yamaguchi, Y; Taguchi, N; Yamanouchi, H; Shibata, T; Hitomi, K; Yamagishi, S			Development of a spilled-oil sensor and field observation on board a ship	BUNSEKI KAGAKU																													0525-1931					DEC	2000	49	12					1009	1014		10.2116/bunsekikagaku.49.1009								WOS:000166001300012						
