PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Beck, MW; Hagy, JD; Le, CF				Beck, Marcus W.; Hagy, James D., III; Le, Chengfeng			Quantifying Seagrass Light Requirements Using an Algorithm to Spatially Resolve Depth of Colonization	ESTUARIES AND COASTS																	Beck, Marcus/0000-0002-4996-0059												1559-2723	1559-2731				MAR	2018	41	2					592	610		10.1007/s12237-017-0287-1								WOS:000423581200021						
J	Zhu, Q; Li, JS; Zhang, FF; Shen, Q				Zhu, Qing; Li, Junsheng; Zhang, Fangfang; Shen, Qian			Distinguishing Cyanobacterial Bloom From Floating Leaf Vegetation in Lake Taihu Based on Medium-Resolution Imaging Spectrometer (MERIS) Data	IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING																													1939-1404	2151-1535				JAN	2018	11	1					34	44		10.1109/JSTARS.2017.2757006								WOS:000422950700004						
J	Hamylton, SM				Hamylton, Sarah M.			Mapping coral reef environments: A review of historical methods, recent advances and future opportunities	PROGRESS IN PHYSICAL GEOGRAPHY																													0309-1333	1477-0296				DEC	2017	41	6					803	833		10.1177/0309133317744998								WOS:000418042100006						
J	Eugenio, F; Marcello, J; Martin, J; Rodriguez-Esparragon, D				Eugenio, Francisco; Marcello, Javier; Martin, Javier; Rodriguez-Esparragon, Dionisio			Benthic Habitat Mapping Using Multispectral High-Resolution Imagery: Evaluation of Shallow Water Atmospheric Correction Techniques	SENSORS																	Rodriguez-Esparragon, Dionisio/0000-0002-4542-2501												1424-8220					NOV	2017	17	11							2639	10.3390/s17112639								WOS:000416790500201						
J	Calleja, F; Galvan, C; Silio-Calzada, A; Juanes, JA; Ondiviela, B				Calleja, Felipe; Galvan, Cristina; Silio-Calzada, Ana; Juanes, Jose A.; Ondiviela, Barbara			Long-term analysis of Zostera noltei: A retrospective approach for understanding seagrasses' dynamics	MARINE ENVIRONMENTAL RESEARCH																Galvan, Cristina/H-3323-2015; Silio-Calzada, Ana/I-1008-2015	Galvan, Cristina/0000-0001-6277-7497; Silio-Calzada, Ana/0000-0002-5823-6521; JUANES, JOSE/0000-0003-1825-2858												0141-1136	1879-0291				SEP	2017	130						93	105		10.1016/j.marenvres.2017.07.017								WOS:000413382600011	28754519					
J	Lefcheck, JS; Wilcox, DJ; Murphy, RR; Marion, SR; Orth, RJ				Lefcheck, Jonathan S.; Wilcox, David J.; Murphy, Rebecca R.; Marion, Scott R.; Orth, Robert J.			Multiple stressors threaten the imperiled coastal foundation species eelgrass (Zostera marina) in Chesapeake Bay, USA	GLOBAL CHANGE BIOLOGY																	Lefcheck, Jonathan/0000-0002-8787-1786												1354-1013	1365-2486				SEP	2017	23	9					3474	3483		10.1111/gcb.13623								WOS:000406812100006	28165203					
J	Quang, NH; Sasaki, J; Higa, H; Huan, NH				Nguyen Hao Quang; Sasaki, Jun; Higa, Hiroto; Nguyen Huu Huan			Spatiotemporal Variation of Turbidity Based on Landsat 8 OLI in Cam Ranh Bay and Thuy Trieu Lagoon, Vietnam	WATER																													2073-4441					AUG	2017	9	8							570	10.3390/w9080570								WOS:000408729200017						
J	Davenport, AE; Davis, JD; Woo, I; Grossman, EE; Barham, J; Ellings, CS; Takekawa, JY				Davenport, Anna E.; Davis, Jerry D.; Woo, Isa; Grossman, Eric E.; Barham, Jesse; Ellings, Christopher S.; Takekawa, John Y.			Comparing Automated Classification and Digitization Approaches to Detect Change in Eelgrass Bed Extent during Restoration of a Large River Delta	NORTHWEST SCIENCE																													0029-344X	2161-9859				AUG	2017	91	3					272	282		10.3955/046.091.0307								WOS:000408014800005						
J	Foster, NR; Fotheringham, DG; Brock, DJ; Waycott, M				Foster, Nicole R.; Fotheringham, Douglas G.; Brock, Daniel J.; Waycott, Michelle			A resourceful and adaptable method to obtain data on the status of seagrass meadows	AQUATIC BOTANY																													0304-3770	1879-1522				JUL	2017	141						17	21		10.1016/j.aquabot.2017.04.006								WOS:000404320800003						
J	York, PH; Smith, TM; Coles, RG; McKenna, SA; Connolly, RM; Irving, AD; Jackson, EL; McMahon, K; Runcie, JW; Sherman, CDH; Sullivan, BK; Trevathan-Tackett, SM; Brodersen, KE; Carter, AB; Ewers, CJ; Lavery, PS; Roelfsema, CM; Sinclair, EA; Strydom, S; Tanner, JE; van Dijk, KJ; Warry, FY; Waycott, M; Whitehead, S				York, Paul H.; Smith, Timothy M.; Coles, Rob G.; McKenna, Skye A.; Connolly, Rod M.; Irving, Andrew D.; Jackson, Emma L.; McMahon, Kathryn; Runcie, John W.; Sherman, Craig D. H.; Sullivan, Brooke K.; Trevathan-Tackett, Stacy M.; Brodersen, Kasper E.; Carter, Alex B.; Ewers, Carolyn J.; Lavery, Paul S.; Roelfsema, Chris M.; Sinclair, Elizabeth A.; Strydom, Simone; Tanner, Jason E.; van Dijk, Kor-jent; Warry, Fiona Y.; Waycott, Michelle; Whitehead, Sam			Identifying knowledge gaps in seagrass research and management: An Australian perspective	MARINE ENVIRONMENTAL RESEARCH																York, Paul/C-4120-2009; Smith, Timothy/C-9283-2013	York, Paul/0000-0003-3530-4146; Smith, Timothy/0000-0001-8612-8600; Connolly, Rod/0000-0001-6223-1291; Brodersen, Kasper Elgetti/0000-0001-9010-1179; Sullivan, Brooke/0000-0001-8391-3590; Sinclair, Elizabeth/0000-0002-5789-8945												0141-1136	1879-0291				JUN	2017	127						163	172		10.1016/j.marenvres.2016.06.006								WOS:000402212400017	27342125					
J	Petit, T; Bajjouk, T; Mouquet, P; Rochette, S; Vozel, B; Delacourt, C				Petit, Tristan; Bajjouk, Touria; Mouquet, Pascal; Rochette, Sebastien; Vozel, Benoit; Delacourt, Christophe			Hyperspectral remote sensing of coral reefs by semi-analytical model inversion - Comparison of different inversion setups	REMOTE SENSING OF ENVIRONMENT																delacourt, christophe/A-8240-2008	Rochette, Sebastien/0000-0002-1565-9313												0034-4257	1879-0704				MAR 1	2017	190						348	365		10.1016/j.rse.2017.01.004								WOS:000394399300027						
J	Tulloch, VJ; Klein, CJ; Jupiter, SD; Tulloch, AIT; Roelfsema, C; Possingham, HP				Tulloch, Vivitskaia J.; Klein, Carissa J.; Jupiter, Stacy D.; Tulloch, Ayesha I. T.; Roelfsema, Chris; Possingham, Hugh P.			Trade-offs between data resolution, accuracy, and cost when choosing information to plan reserves for coral reef ecosystems	JOURNAL OF ENVIRONMENTAL MANAGEMENT																Tulloch, Ayesha/E-4408-2012	Tulloch, Ayesha/0000-0002-5866-1923; Jupiter, Stacy/0000-0001-9742-1677												0301-4797	1095-8630				MAR 1	2017	188						108	119		10.1016/j.jenvman.2016.11.070								WOS:000393260900013	27940319					
J	Dadhich, AP; Nadaoka, K; Motomura, Y; Watanabe, A				Dadhich, Ankita P.; Nadaoka, Kazuo; Motomura, Y.; Watanabe, A.			Potential impacts of land use change dynamics and submarine groundwater discharge on fringing reefs of Kuroshima Island, Japan	JOURNAL OF COASTAL CONSERVATION																													1400-0350	1874-7841				FEB	2017	21	1					245	254		10.1007/s11852-017-0495-7								WOS:000399030200022						
J	Pu, R; Bell, S				Pu, Ruiliang; Bell, Susan			Mapping seagrass coverage and spatial patterns with high spatial resolution IKONOS imagery	INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION																													0303-2434					FEB	2017	54						145	158		10.1016/j.jag.2016.09.011								WOS:000388776100014						
