PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Manzo, C; Federica, B; Luca, Z; Ernesto, BV; Claudia, G; Mariano, B; Cristiana, B				Manzo, Ciro; Federica, Braga; Luca, Zaggia; Ernesto, Brando Vittorio; Claudia, Giardino; Mariano, Bresciani; Cristiana, Bassani			Spatio-temporal analysis of prodelta dynamics by means of new satellite generation: the case of Po river by Landsat-8 data	INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION																													0303-2434					APR	2018	66						210	225		10.1016/j.jag.2017.11.012								WOS:000423650500019						
J	Robert, E; Kergoat, L; Soumaguel, N; Merlet, S; Martinez, JM; Diawara, M; Grippa, M				Robert, Elodie; Kergoat, Laurent; Soumaguel, Nogmana; Merlet, Sebastien; Martinez, Jean-Michel; Diawara, Mamadou; Grippa, Manuela			Analysis of Suspended Particulate Matter and Its Drivers in Sahelian Ponds and Lakes by Remote Sensing (Landsat and MODIS): Gourma Region, Mali	REMOTE SENSING																	DIAWARA, Mamadou Oumar/0000-0002-7958-4525												2072-4292					DEC	2017	9	12							1272	10.3390/rs9121272								WOS:000419235700068						
J	Kumar, M; Magotra, R; Parikh, J; Rajawat, AS				Kumar, Mohit; Magotra, Rohit; Parikh, Jyoti; Rajawat, A. S.			Changing Landscape of Marine National Park and Sanctuary, Gulf of Kachchh: Ecological Assessment of Mangroves and Coral Reefs	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES INDIA SECTION A-PHYSICAL SCIENCES																													0369-8203	2250-1762				DEC	2017	87	4					889	900		10.1007/s40010-017-0457-3								WOS:000418819200031						
J	Wu, HP; Xu, YH; Peng, CW; Liao, YY; Wang, XY; Jefferson, TA; Huang, H; Huang, SL				Wu, Haiping; Xu, Yuhou; Peng, Chongwei; Liao, Yongyan; Wang, Xianyan; Jefferson, Thomas A.; Huang, Hu; Huang, Shiang-Lin			Long-term habitat loss in a lightly-disturbed population of the Indo-Pacific humpback dolphin, Sousa chinensis	AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS																	Huang, Shiang-Lin/0000-0002-6133-4851												1052-7613	1099-0755				DEC	2017	27	6					1198	1208		10.1002/aqc.2778								WOS:000418653700012						
J	Kaliraj, S; Chandrasekar, N; Ramachandran, KK; Srinivas, Y; Saravanan, S				Kaliraj, S.; Chandrasekar, N.; Ramachandran, K. K.; Srinivas, Y.; Saravanan, S.			Coastal landuse and land cover change and transformations of Kanyakumari coast, India using remote sensing and GIS	EGYPTIAN JOURNAL OF REMOTE SENSING AND SPACE SCIENCES																													1110-9823	2090-2476				DEC	2017	20	2					169	185		10.1016/j.ejrs.2017.04.003								WOS:000417619900002						
J	Rastner, P; Strozzi, T; Paul, F				Rastner, Philipp; Strozzi, Tazio; Paul, Frank			Fusion of Multi-Source Satellite Data and DEMs to Create a New Glacier Inventory for Novaya Zemlya	REMOTE SENSING																	Strozzi, Tazio/0000-0002-9054-951X												2072-4292					NOV	2017	9	11							1122	10.3390/rs9111122								WOS:000416554100037						
J	Tuholske, C; Tane, Z; Lopez-Carr, D; Roberts, D; Cassels, S				Tuholske, Cascade; Tane, Zachary; Lopez-Carr, David; Roberts, Dar; Cassels, Susan			Thirty years of land use/cover change in the Caribbean: Assessing the relationship between urbanization and mangrove loss in Roatan, Honduras	APPLIED GEOGRAPHY																													0143-6228	1873-7730				NOV	2017	88						84	93		10.1016/j.apgeog.2017.08.018								WOS:000416192200008						
J	Jang, J; Eom, J; Cheong, D; Lee, C				Jang, Jiwon; Eom, Jinah; Cheong, Daekyo; Lee, Changwook			Monitoring of the Estuary Sand Bar Related with Tidal Inlet in Namdaecheon Stream using Landsat Imagery	KOREAN JOURNAL OF REMOTE SENSING																													1225-6161	2287-9307				OCT	2017	33	5	1				481	493		10.7780/kjrs.2017.33.5.1.3								WOS:000422899400003						
J	Favoretto, F; Morel, Y; Waddington, A; Lopez-Calderon, J; Cadena-Roa, M; Blanco-Jarvio, A				Favoretto, Fabio; Morel, Yann; Waddington, Andrew; Lopez-Calderon, Jorge; Cadena-Roa, Marco; Blanco-Jarvio, Anidia			Testing of the 4SM Method in the Gulf of California Suggests Field Data Are not Needed to Derive Satellite Bathymetry	SENSORS																	Favoretto, Fabio/0000-0002-6493-4254												1424-8220					OCT	2017	17	10							2248	10.3390/s17102248								WOS:000414931500090						
J	Kassi, AM; Bayraktar, H; Khan, SD; Kasi, AK				Kassi, Akhtar M.; Bayraktar, Huseyin; Khan, Shuhab D.; Kasi, Aimal K.			Recurring Emergence of the Mud Islands on Shelf of the Arabian Sea along the Makran Coast of Pakistan - Historical Perspective using Remote Sensing Techniques	JOURNAL OF THE GEOLOGICAL SOCIETY OF INDIA																													0016-7622	0974-6889				AUG	2017	90	2					201	208		10.1007/s12594-017-0700-1								WOS:000408991300011						
J	Bru, D; Lubac, B; Normandin, C; Robinet, A; Leconte, M; Hagolle, O; Martiny, N; Jamet, C				Bru, Driss; Lubac, Bertrand; Normandin, Cassandra; Robinet, Arthur; Leconte, Michel; Hagolle, Olivier; Martiny, Nadege; Jamet, Cedric			Atmospheric Correction of Multi-Spectral Littoral Images Using a PHOTONS/AERONET-Based Regional Aerosol Model	REMOTE SENSING																	Hagolle, Olivier/0000-0003-2358-0493												2072-4292					AUG	2017	9	8							814	10.3390/rs9080814								WOS:000408605600052						
J	Li, Y; Cui, C; Liu, ZX; Liu, BX; Xu, J; Zhu, XY; Hou, YC				Li, Ying; Cui, Can; Liu, Zexi; Liu, Bingxin; Xu, Jin; Zhu, Xueyuan; Hou, Yongchao			Detection and Monitoring of Oil Spills Using Moderate/High-Resolution Remote Sensing Images	ARCHIVES OF ENVIRONMENTAL CONTAMINATION AND TOXICOLOGY																													0090-4341	1432-0703				JUL	2017	73	1			SI		154	169		10.1007/s00244-016-0358-5								WOS:000405592600015	28695250					
J	Mo, Y; Kearney, MS; Riter, JCA				Mo, Yu; Kearney, Michael S.; Riter, J. C. Alexis			Post-Deepwater Horizon Oil Spill Monitoring of Louisiana Salt Marshes Using Landsat Imagery	REMOTE SENSING																													2072-4292					JUN	2017	9	6							547	10.3390/rs9060547								WOS:000404623900038						
J	Fu, Y; Guo, QZ; Wu, XX; Fang, H; Pan, YY				Fu, Ying; Guo, Qiaozhen; Wu, Xiaoxu; Fang, Hui; Pan, Yingyang			Analysis and Prediction of Changes in Coastline Morphology in the Bohai Sea, China, Using Remote Sensing	SUSTAINABILITY																													2071-1050					JUN	2017	9	6							900	10.3390/su9060900								WOS:000404133200031						
J	Meng, WQ; Hu, BB; He, MX; Liu, BQ; Mo, XQ; Li, HY; Wang, ZL; Zhang, Y				Meng, Weiqing; Hu, Beibei; He, Mengxuan; Liu, Baiqiao; Mo, Xunqiang; Li, Hongyuan; Wang, Zhongliang; Zhang, Yu			Temporal-spatial variations and driving factors analysis of coastal reclamation in China	ESTUARINE COASTAL AND SHELF SCIENCE																													0272-7714	1096-0015				MAY 15	2017	191						39	49		10.1016/j.ecss.2017.04.008								WOS:000402494100005						
J	Joshi, ID; D'Sa, EJ; Osburn, CL; Bianchi, TS				Joshi, Ishan D.; D'Sa, Eurico J.; Osburn, Christopher L.; Bianchi, Thomas S.			Turbidity in Apalachicola Bay, Florida from Landsat 5 TM and Field Data: Seasonal Patterns and Response to Extreme Events	REMOTE SENSING																	Bianchi, Thomas/0000-0002-3068-2933; Joshi, Ishan/0000-0001-7710-0059												2072-4292					APR	2017	9	4							367	10.3390/rs9040367								WOS:000402571700066						
