PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Jay, S; Guillaume, M; Chami, M; Minghelli, A; Deville, Y; Lafrance, B; Serfaty, V				Jay, Sylvain; Guillaume, Mireille; Chami, Malik; Minghelli, Audrey; Deville, Yannick; Lafrance, Bruno; Serfaty, Veronique			Predicting minimum uncertainties in the inversion of ocean color geophysical parameters based on Cramer-Rao bounds	OPTICS EXPRESS												We present an analytical approach based on Cramer-Rao Bounds (CRBs) to investigate the uncertainties in estimated ocean color parameters resulting from the propagation of uncertainties in the bio-optical reflectance modeling through the inversion process. Based on given bio-optical and noise probabilistic models, CRBs can be computed efficiently for any set of ocean color parameters and any sensor configuration, directly providing the minimum estimation variance that can be possibly attained by any unbiased estimator of any targeted parameter. Here, CRBs are explicitly developed using (1) two water reflectance models corresponding to deep and shallow waters, resp., and (2) four probabilistic models describing the environmental noises observed within four Sentinel-2 MSI, HICO, Sentinel-3 OLCI and MODIS images, resp. For both deep and shallow waters, CRBs are shown to be consistent with the experimental estimation variances obtained using two published remote-sensing methods, while not requiring one to perform any inversion. CRBs are also used to investigate to what extent perfect a priori knowledge on one or several geophysical parameters can improve the estimation of remaining unknown parameters. For example, using pre-existing knowledge of bathymetry (e.g., derived from LiDAR) within the inversion is shown to greatly improve the retrieval of bottom cover for shallow waters. Finally, CRBs are shown to provide valuable information on the best estimation performances that may be achieved with the MSI, HICO, OLCI and MODIS configurations for a variety of oceanic, coastal and inland waters. CRBs are thus demonstrated to be an informative and efficient tool to characterize minimum uncertainties in inverted ocean color geophysical parameters. (C) 2017 Optical Society of America																	1094-4087					JAN 22	2018	26	2					A1	A18		10.1364/OE.26.0000A1								WOS:000422935900001	29402051					
J	Moffitt, DL; Kumar, L				Moffitt, David L.; Kumar, Lalit			Remote Sensing of a Shallow, Fringing Reef Platform for Analysis of Island Sector Susceptibility and Development of a Coastal Vulnerability Index	JOURNAL OF COASTAL RESEARCH												Like many islands in middle latitudes, Pacific islands are often fringed by protective coral reefs that attenuate wave energy impacting the coastline. Measurement of the extent and distribution of shallow reef platforms by remote sensing of bathymetry enables an assessment of the relative exposure or protection of each part of an island. Fringing reefs are one of a number of physical variables relevant to the coastline's susceptibility to erosion and inundation resulting from extreme weather and conditions exacerbated by climate change and rising sea levels. In this research the extent of shallow reef platform around Lifuka Island, Tonga, was determined using a modified Stumpf band ratio method applied to Landsat 8 and high-resolution Quickbird satellite imagery, with aerial LIDAR data available for ground-truth purposes. The results indicate that both sets of satellite imagery provide a means of measuring the bathymetry to at least 15 m with a correlation (R-2) value of 0.87 for Landsat 8 and to 15 m with a correlation (R-2) value of 0.86 for Quickbird, when compared with the LIDAR survey. This article forms part of the research into the preparation of a coastal vulnerability index to inform decision-making and risk assessment for Pacific Island nations at the subisland scale. The mapping of the fringing reef by remote sensing allows its spatial distribution to be considered in the assessment of risk to coastal regions to inundation and erosion processes. Further, it demonstrates the value of freely available Landsat data for planning adaptation to climate change in developing nations at a level pertinent to local governance of villages and communities.																	0749-0208	1551-5036				JAN	2018	34	1					122	135		10.2112/JCOASTRES-D-16-00143.1								WOS:000422738000012						
J	Barnes, BB; Garcia, R; Hu, CM; Lee, Z				Barnes, Brian B.; Garcia, Rodrigo; Hu, Chuanmin; Lee, Zhongping			Multi-band spectral matching inversion algorithm to derive water column properties in optically shallow waters: An optimization of parameterization	REMOTE SENSING OF ENVIRONMENT												Deriving inherent optical properties (IOPs) and other water quality parameters from satellite remote sensing data covering optically shallow environments has historically been problematic due to difficulties in separating the benthic signal from that of the water column. While recent advances have improved such retrievals, most methods have high uncertainties for very shallow (< 5 m) or very bright (e.g., carbonate sand) targets. Here, we present a two-stage process to improve IOP derivations from satellite-derived reflectance data, termed the Shallow Water Optimization with Resolved Depth (SWORD). Within this process, a raster bathymetry is first derived through multiple pixel-wise implementations of a spectral matching algorithm on mapped reflectance data. This bathymetry is then used as a fixed input in subsequent implementations of the algorithm, leading to improved IOP retrievals. The SWORD approach was developed and tested using a dataset of simulated reflectance spectra as well as MERIS reflectance data covering two optically shallow water environments. Bathymetries derived using this process showed strong agreement with those determined from soundings and coastal relief models. Although SWORD-derived raster albedo maps showed general concordance to benthic habitat surveys, we found limited benefit of fixing this parameter in spectral matching routines. IOP derivations from SWORD show expected spatiotemporal patterns in the Florida Keys region, consistent with local hydrodynamic processes, seasonal fluctuations, and known anomalous events. This approach is portable to multi spectral reflectance data from similar satellite instruments, allowing regular and ongoing assessment and monitoring of optical water quality for ecologically and economically important marine systems.																	0034-4257	1879-0704				JAN	2018	204						424	438		10.1016/j.rse.2017.10.013								WOS:000418464400031						
J	Kumar, M; Magotra, R; Parikh, J; Rajawat, AS				Kumar, Mohit; Magotra, Rohit; Parikh, Jyoti; Rajawat, A. S.			Changing Landscape of Marine National Park and Sanctuary, Gulf of Kachchh: Ecological Assessment of Mangroves and Coral Reefs	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES INDIA SECTION A-PHYSICAL SCIENCES												This paper assesses the ecological changes in mangroves and coral reefs of Marine National Park and Sanctuary (MNP&S), Gulf of Kachchh, Gujarat, India during 1972-2014. Landsat 1 Multi Spectral Scanner data were used for 1972 to map the mangroves and coral reefs whereas Landsat 8 Optical Land Imager data were used to map the coral reef extent only, in MNP&S in 2014. Published literature sources were used to record the area of mangroves and coral reefs of MNP&S for various years between 1972 and 2014, and the changes were analyzed. For the year 1972, total mangrove area mapped is 175.36 sq. km and the total reef area mapped comes out to be 402.14 sq. km. The total area of reef in MNP&S computed for 2014 is 443.49 sq. km. Our analysis shows that MNP&S witnessed severe loss of mangroves till 1992, with annual rate of mangrove degradation being 2.89%. Exploitation by local communities and careless release/spillage of oil and brine by nearby industries were found to be two major anthropogenic factors responsible for degradation of mangroves over a period of four decades. Major reasons found for degradation of reefs in MNP&S were mining and deposition of sediments. The area estimates for coral reefs reported in this paper for 2014 are the latest figures available for coral reefs in this region. It is recommended that monitoring of coastal habitats in MNP&S should be done regularly to understand the changes in the ecology of the area.																	0369-8203	2250-1762				DEC	2017	87	4					889	900		10.1007/s40010-017-0457-3								WOS:000418819200031						
J	Hamylton, SM				Hamylton, Sarah M.			Mapping coral reef environments: A review of historical methods, recent advances and future opportunities	PROGRESS IN PHYSICAL GEOGRAPHY												Coral reef environments support high levels of marine biodiversity, they are important sites for coastal habitation and they provide a range of goods and ecosystem services such as nearshore fisheries, economic revenue from tourism and breeding sites for seabirds and turtles. Mapping is a fundamental activity that underpins our understanding of coral reef environments and helps to shape policies in resource management and conservation. This is particularly the case for quantifying the area of landcover types associated with reef environments, including coral patches, seagrasses and mangroves, but also for monitoring how these change over time and modelling how spatial patterns apparent on reefs are related to environmental drivers. Field techniques and aerial photography have historically played a crucial role in mapping coral reef environments, which has recently seen a transition toward the processing of satellite remote sensing images. This paper examines a series of maps produced of Low Isles, the most mapped island on the Great Barrier Reef, to review historical methods for mapping coral reefs because of the critical importance of understanding how past maps were made, which determines appropriate uses to which they can be put. Recent advances and future opportunities for the application of mapping technologies to coral reefs are also evaluated, including the use of unmanned aerial vehicle (UAV) platforms for airborne surveys, delivery of information through web-based platforms and improvements in the quality of information for making and presenting maps. Maps have transformed the way we have responded to both historic and contemporary coral reef problems. This timely review communicates how maps, and the fast growing technologies that are employed to produce them, are central to our understanding of coral reef environments. Recent advances that may drive exciting new environmental management tools are identified.																	0309-1333	1477-0296				DEC	2017	41	6					803	833		10.1177/0309133317744998								WOS:000418042100006						
J	Caras, T; Hedley, J; Karnieli, A				Caras, Tarnir; Hedley, John; Karnieli, Arnon			Implications of sensor design for coral reef detection: Upscaling ground hyperspectral imagery in spatial and spectral scales	INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION												Remote sensing offers a potential tool for large scale environmental surveying and monitoring. However, remote observations of coral reefs are difficult especially due to the spatial and spectral complexity of the target compared to sensor specifications as well as the environmental implications of the water medium above. The development of sensors is driven by technological advances and the desired products. Currently, spaceborne systems are technologically limited to a choice between high spectral resolution and high spatial resolution, but not both. The current study explores the dilemma of whether future sensor design for marine monitoring should prioritise on improving their spatial or spectral resolution. To address this question, a spatially and spectrally resampled ground-level hyperspectral image was used to test two classification elements: (1) how the tradeoff between spatial and spectral resolutions affects classification; and (2) how a noise reduction by majority filter might improve classification accuracy. The studied reef, in the Gulf of Aqaba (Eilat), Israel, is heterogeneous and complex so the local substrate patches are generally finer than currently available imagery. Therefore, the tested spatial resolution was broadly divided into four scale categories from five millimeters to one meter. Spectral resolution resampling aimed to mimic currently available and forthcoming spaceborne sensors such as (1) Environmental Mapping and Analysis Program (EnMAP) that is characterized by 25 bands of 6.5 nm width; (2) VEN.sS with 12 narrow bands; and (3) the WorldView series with broadband multispectral resolution. Results suggest that spatial resolution should generally be prioritized for coral reef classification because the finer spatial scale tested (pixel size < 0.1 m) may compensate for some low spectral resolution drawbacks. In this regard, it is shown that the post-classification majority filtering substantially improves the accuracy of all pixel sizes up to the point where the kernel size reaches the average unit size (pixel < 0.25 m). However, careful investigation as to the effect of band distribution and choice could improve the sensor suitability for the marine environment task. This in mind, while the focus in this study was on the technologically limited spaceborne design, aerial sensors may presently provide an opportunity to implement the suggested setup.																	0303-2434					DEC	2017	63						68	77		10.1016/j.jag.2017.07.009								WOS:000411848500007						
J	Zarco-Perello, S; Simoes, N				Zarco-Perello, Salvador; Simoes, Nuno			Ordinary kriging vs inverse distance weighting: spatial interpolation of the sessile community of Madagascar reef, Gulf of Mexico	PEERJ												Information about the distribution and abundance of the habitat-forming sessile organisms in marine ecosystems is of great importance for conservation and natural resource managers. Spatial interpolation methodologies can be useful to generate this information from in situ sampling points, especially in circumstances where remote sensing methodologies cannot be applied due to small-scale spatial variability of the natural communities and low light penetration in the water column. Interpolation methods are widely used in environmental sciences; however, published studies using these methodologies in coral reef science are scarce. We compared the accuracy of the two most commonly used interpolation methods in all disciplines, inverse distance weighting (IDW) and ordinary kriging (OK), to predict the distribution and abundance of hard corals, octocorals, macroalgae, sponges and zoantharians and identify hotspots of these habitat-forming organisms using data sampled at three different spatial scales (5, 10 and 20 m) in Madagascar reef, Gulf of Mexico. The deeper sandy environments of the leeward and windward regions of Madagascar reef were dominated by macroalgae and seconded by octocorals. However, the shallow rocky environments of the reef crest had the highest richness of habitat-forming groups of organisms; here, we registered high abundances of octocorals and macroalgae, with sponges, Millepora alcicornis and zoantharians dominating in some patches, creating high levels of habitat heterogeneity. IDW and OK generated similar maps of distribution for all the taxa; however, cross-validation tests showed that IDW outperformed OK in the prediction of their abundances. When the sampling distance was at 20 m, both interpolation techniques performed poorly, but as the sampling was done at shorter distances prediction accuracies increased, especially for IDW. OK had higher mean prediction errors and failed to correctly interpolate the highest abundance values measured in situ, except for macroalgae, whereas IDW had lower mean prediction errors and high correlations between predicted and measured values in all cases when sampling was every 5 m. The accurate spatial interpolations created using IDW allowed us to see the spatial variability of each taxa at a biological and spatial resolution that remote sensing would not have been able to produce. Our study sets the basis for further research projects and conservation management in Madagascar reef and encourages similar studies in the region and other parts of the world where remote sensing technologies are not suitable for use.																	2167-8359					NOV 30	2017	5								e4078	10.7717/peerj.4078								WOS:000417096100005	29204321					
J	Hamylton, SM; Duce, S; Vila-Concejo, A; Roelfsema, CM; Phinn, SR; Carvalho, RC; Shaw, EC; Joyce, KE				Hamylton, Sarah M.; Duce, Stephanie; Vila-Concejo, Ana; Roelfsema, Chris M.; Phinn, Stuart R.; Carvalho, Rafael C.; Shaw, Emily C.; Joyce, Karen E.			Estimating regional coral reef calcium carbonate production from remotely sensed seafloor maps	REMOTE SENSING OF ENVIRONMENT												Carbonate production on coral reefs is responsible for the provision of beach sands, for the maintenance of seawater chemical balances and for the growth of reef structure and associated habitat complexity. Key carbonate producers including hard coral, crustose coralline algae, foraminiferal sand and Halimeda were mapped from satellite imagery (spatial resolution 2.5 m, mean overall accuracy = 81%) and an upscaling model was applied to estimate carbonate production. A sensitivity analysis was conducted to evaluate the influence of employing different calcification rates for live coral on the upscaling model. Contemporary coral reef carbonate production for the 21 reef platforms of the Capricorn-Bunker Group (southern Great Barrier Reef) is estimated to be between 489,000 and 659,000 t per year based on seawater chemistry, community composition, calcification rates and reef structural complexity (rugosity). The upscaling model was relatively insensitive to different parameterisations of live coral calcification employed, probably due to live coral being a relatively minor contributor by area (approximately 18% of total reef area throughout the study region). This suggests regional scale seafloor characteristics, such as percentage of area dominated by substrates prone to dissolution (e.g. coral rubble), have a strong bearing on calcium carbonate production and need to be given greater consideration The upscaling framework presented provides a new method for quantifying regional carbonate production that could be applied globally, and provides a valuable baseline against which future changes to carbonate production in this region can be assessed.				James Cook University, TESS/B-8171-2012													0034-4257	1879-0704				NOV	2017	201						88	98		10.1016/j.rse.2017.08.034								WOS:000412866400008						
J	Zainuddin, M; Farhum, A; Safruddin, S; Selamat, MB; Sudirman, S; Nurdin, N; Syamsuddin, M; Ridwan, M; Saitoh, S				Zainuddin, Mukti; Farhum, Aisjah; Safruddin, Safruddin; Selamat, Muhammad Banda; Sudirman, Sudirman; Nurdin, Nurjannah; Syamsuddin, Mega; Ridwan, Muhammad; Saitoh, Seiichi			Detection of pelagic habitat hotspots for skipjack tuna in the Gulf of Bone-Flores Sea, southwestern Coral Triangle tuna, Indonesia	PLOS ONE												Using remote sensing of sea surface temperature (SST), sea surface height anomaly (SSHA) and chlorophyll-a (Chl-a) together with catch data, we investigated the detection and persistence of important pelagic habitat hotspots for skipjack tuna in the Gulf of BoneFlores Sea, Indonesia. We analyzed the data for the period between the northwest and southeast monsoon 2007-2011. A pelagic hotspot index was constructed from a model of multi-spectrum satellite-based oceanographic data in relation to skipjack fishing performance. Results showed that skipjack catch per unit efforts (CPUEs) increased significantly in areas of highest pelagic hotspot indices. The distribution and dynamics of habitat hotspots were detected by the synoptic measurements of SST, SSHA and Chl-a ranging from 29.5 degrees to 31.5 degrees C, from 2.5 to 12.5 cm and from 0.15 to 0.35 mg m(-3), respectively. Total area of hotspots consistently peaked in May. Validation of skipjack CPUE predicted by our model against observed data from 2012 was highly significant. The key pelagic habitat corresponded with the Chl-a front, which could be related to the areas of relatively high prey abundance (enhanced feeding opportunity) for skipjack. We found that the area and persistence of the potential skipjack habitat hotspots for the 5 years were clearly identified by the 0.2 mg m(-3) Chl-a isopleth, suggesting that the Chl-a front provides a key oceanographic indicator for global understanding on skipjack tuna habitat hotspots in the western tropical Pacific Ocean, especially within Coral Triangle tuna.				Zainuddin, Mukti/U-2357-2017	Zainuddin, Mukti/0000-0002-1600-4191; Safruddin, Safruddin/0000-0003-3877-6333												1932-6203					OCT 2	2017	12	10							e0185601	10.1371/journal.pone.0185601								WOS:000412029600028	28968405					
J	Wattelez, G; Dupouy, C; Lefevre, J; Ouillon, S; Fernandez, JM; Juillot, F				Wattelez, Guillaume; Dupouy, Cecile; Lefevre, Jerome; Ouillon, Sylvain; Fernandez, Jean-Michel; Juillot, Farid			Application of the Support Vector Regression Method for Turbidity Assessment with MODIS on a Shallow Coral Reef Lagoon (Voh-Kone-Pouembout, New Caledonia)	WATER												Particle transport by erosion from ultramafic lands in pristine tropical lagoons is a crucial problem, especially for the benthic and pelagic biodiversity associated with coral reefs. Satellite imagery is useful for assessing particle transport from land to sea. However, in the oligotrophic and shallow waters of tropical lagoons, the bottom reflection of downwelling light usually hampers the use of classical optical algorithms. In order to address this issue, a Support Vector Regression (SVR) model was developed and tested. The proposed application concerns the lagoon of New Caledoniathe second longest continuous coral reef in the worldwhich is frequently exposed to river plumes from ultramafic watersheds. The SVR model is based on a large training sample of in-situ turbidity values representative of the annual variability in the Voh-Kone-Pouembout lagoon (Western Coast of New Caledonia) during the 2014-2015 period and on coincident satellite reflectance values from MODerate Resolution Imaging Spectroradiometer (MODIS). It was trained with reflectance and two other explanatory parametersbathymetry and bottom colour. This approach significantly improved the model's capacity for retrieving the in-situ turbidity range from MODIS images, as compared with algorithms dedicated to deep oligotrophic or turbid waters, which were shown to be inadequate. This SVR model is applicable to the whole shallow lagoon waters from the Western Coast of New Caledonia and it is now ready to be tested over other oligotrophic shallow lagoon waters worldwide.					Ouillon, Sylvain/0000-0001-7964-7787												2073-4441					OCT	2017	9	10							737	10.3390/w9100737								WOS:000414707500014						
J	Favoretto, F; Morel, Y; Waddington, A; Lopez-Calderon, J; Cadena-Roa, M; Blanco-Jarvio, A				Favoretto, Fabio; Morel, Yann; Waddington, Andrew; Lopez-Calderon, Jorge; Cadena-Roa, Marco; Blanco-Jarvio, Anidia			Testing of the 4SM Method in the Gulf of California Suggests Field Data Are not Needed to Derive Satellite Bathymetry	SENSORS												Satellite-derived bathymetry methods over coastal areas were developed to deliver basic and useful bathymetry information. However, the process is not straightforward, the main limitation being the need for field data. The Self-calibrated Spectral Supervised Shallow-water Modeler (4SM) method was tested to obtain coastal bathymetry without the use of any field data. Using Landsat-8 multispectral images from 2013 to 2016, a bathymetric time series was produced. Groundtruthed depths and an alternative method, Stumpf's Band Ratio Algorithm, were used to verify the results. Retrieved (4SM) vs groundtruthed depths scored an average r(2) (0.90), and a low error (RMSE = 1.47 m). 4SM also showed, over the whole time series, the same average accuracy of the control method (40%). Advantages, limitations and operability under complex atmosphere and water column conditions, and high and low-albedo bottom processing capabilities of 4SM are discussed. In conclusion, the findings suggest that 4SM is as accurate as the commonly used Stumpf's method, the only difference being the independence of 4SM from previous field data, and the potential to deliver bottom spectral characteristics for further modeling. 4SM thus represents a significant advance in coastal remote sensing potential to obtain bathymetry and optical properties of the marine bottom.					Favoretto, Fabio/0000-0002-6493-4254												1424-8220					OCT	2017	17	10							2248	10.3390/s17102248								WOS:000414931500090						
