PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Jaramillo, F; Brown, I; Castellazzi, P; Espinosa, L; Guittard, A; Hong, SH; Rivera-Monroy, VH; Wdowinski, S				Jaramillo, Fernando; Brown, Ian; Castellazzi, Pascal; Espinosa, Luisa; Guittard, Alice; Hong, Sang-Hoon; Rivera-Monroy, Victor H.; Wdowinski, Shimon			Assessment of hydrologic connectivity in an ungauged wetland with InSAR observations	ENVIRONMENTAL RESEARCH LETTERS																													1748-9326					FEB	2018	13	2							024003	10.1088/1748-9326/aa9d23								WOS:000423452800002						
J	Pastor-Guzman, J; Dash, J; Atkinson, PM				Pastor-Guzman, J.; Dash, Jadunandan; Atkinson, Peter M.			Remote sensing of mangrove forest phenology and its environmental drivers	REMOTE SENSING OF ENVIRONMENT																	Atkinson, Peter/0000-0002-5489-6880; Dash, Jadunandan/0000-0002-5444-2109												0034-4257	1879-0704				FEB	2018	205						71	84		10.1016/j.rse.2017.11.009								WOS:000423007700006						
J	Watson, EB; Corona, AH				Burke Watson, Elizabeth; Hinojosa Corona, Alejandro			Assessment of Blue Carbon Storage by Baja California (Mexico) Tidal Wetlands and Evidence for Wetland Stability in the Face of Anthropogenic and Climatic Impacts	SENSORS																													1424-8220					JAN	2018	18	1							32	10.3390/s18010032								WOS:000423286300032						
J	Mondal, P; Trzaska, S; de Sherbinin, A				Mondal, Pinki; Trzaska, Sylwia; de Sherbinin, Alex			Landsat-Derived Estimates of Mangrove Extents in the Sierra Leone Coastal Landscape Complex during 1990-2016	SENSORS																													1424-8220					JAN	2018	18	1							12	10.3390/s18010012								WOS:000423286300012						
J	Jayanthi, M; Thirumurthy, S; Samynathan, M; Duraisamy, M; Muralidhar, M; Ashokkumar, J; Vijayan, KK				Jayanthi, Marappan; Thirumurthy, Selvasekar; Samynathan, Muthusamy; Duraisamy, Muthusamy; Muralidhar, Moturi; Ashokkumar, Jangam; Vijayan, Koyadan Kizhakkedath			Shoreline change and potential sea level rise impacts in a climate hazardous location in southeast coast of India	ENVIRONMENTAL MONITORING AND ASSESSMENT																													0167-6369	1573-2959				JAN	2018	190	1							51	10.1007/s10661-017-6426-0								WOS:000422680800051						
J	Valderrama-Landeros, L; Flores-de-Santiago, F; Kovacs, JM; Flores-Verdugo, F				Valderrama-Landeros, L.; Flores-de-Santiago, F.; Kovacs, J. M.; Flores-Verdugo, F.			An assessment of commonly employed satellite-based remote sensors for mapping mangrove species in Mexico using an NDVI-based classification scheme	ENVIRONMENTAL MONITORING AND ASSESSMENT																													0167-6369	1573-2959				JAN	2018	190	1							23	10.1007/s10661-017-6399-z								WOS:000422680800032						
J	Machado, GMV; Jabor, PM; Coelh, ALN; Albino, J				Vieira Machado, Giseli Modolo; Jabor, Pablo Medeiros; Nascentes Coelh, Andre Luiz; Albino, Jacqueline			Geohistorical evolution and the new geological map of the city of Vitoria, ES, Brazil	OCEAN & COASTAL MANAGEMENT																													0964-5691	1873-524X				JAN 1	2018	151						45	52		10.1016/j.ocecoamart.2017.10.026								WOS:000418973100005						
J	Suyadi; Gao, J; Lundquist, CJ; Schwendenmann, L				Suyadi; Gao, Jay; Lundquist, Carolyn J.; Schwendenmann, Luitgard			Sources of uncertainty in mapping temperate mangroves and their minimization using innovative methods	INTERNATIONAL JOURNAL OF REMOTE SENSING																													0143-1161	1366-5901					2018	39	1					17	36		10.1080/01431161.2017.1378455								WOS:000412564000002						
J	Al-Nasrawi, AKM; Hopley, CA; Hamylton, SM; Jones, BG				Al-Nasrawi, Ali K. M.; Hopley, Carl A.; Hamylton, Sarah M.; Jones, Brian G.			A Spatio-Temporal Assessment of Landcover and Coastal Changes at Wandandian Delta System, Southeastern Australia	JOURNAL OF MARINE SCIENCE AND ENGINEERING																													2077-1312					DEC	2017	5	4							55	10.3390/jmse5040055								WOS:000423694200011						
J	Padmanaban, R; Bhowmik, AK; Cabral, P				Padmanaban, Rajchandar; Bhowmik, Avit K.; Cabral, Pedro			A Remote Sensing Approach to Environmental Monitoring in a Reclaimed Mine Area	ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION																Cabral, Pedro/B-2616-2010	Cabral, Pedro/0000-0001-8622-6008												2220-9964					DEC	2017	6	12							401	10.3390/ijgi6120401								WOS:000419217200023						
