PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Boaga, J; Ghinassi, M; D'Alpaos, A; Deidda, GP; Rodriguez, G; Cassiani, G				Boaga, Jacopo; Ghinassi, Massimiliano; D'Alpaos, Andrea; Deidda, G. P.; Rodriguez, G.; Cassiani, Giorgio			Geophysical investigations unravel the vestiges of ancient meandering channels and their dynamics in tidal landscapes	SCIENTIFIC REPORTS																													2045-2322					JAN 26	2018	8								1708	10.1038/s41598-018-20061-5								WOS:000423428300036	29374215					
J	Watson, EB; Corona, AH				Burke Watson, Elizabeth; Hinojosa Corona, Alejandro			Assessment of Blue Carbon Storage by Baja California (Mexico) Tidal Wetlands and Evidence for Wetland Stability in the Face of Anthropogenic and Climatic Impacts	SENSORS																													1424-8220					JAN	2018	18	1							32	10.3390/s18010032								WOS:000423286300032						
J	Zhou, ZM; Yang, YM; Chen, BQ				Zhou, Zaiming; Yang, Yanming; Chen, Benqing			Estimating Spartina alterniflora fractional vegetation cover and aboveground biomass in a coastal wetland using SPOT6 satellite and UAV data	AQUATIC BOTANY																													0304-3770	1879-1522				JAN	2018	144						38	45		10.1016/j.aquabot.2017.10.004								WOS:000418310300005						
J	Ballanti, L; Byrd, KB; Woo, I; Ellings, C				Ballanti, Laurel; Byrd, Kristin B.; Woo, Isa; Ellings, Christopher			Remote Sensing for Wetland Mapping and Historical Change Detection at the Nisqually River Delta	SUSTAINABILITY																	Ballanti, Laurel/0000-0002-6478-8322												2071-1050					NOV	2017	9	11							1919	10.3390/su9111919								WOS:000416793400007						
J	Liu, X; Liu, HY; Gong, HB; Lin, ZS; Lv, SC				Liu, Xiang; Liu, Huiyu; Gong, Haibo; Lin, Zhenshan; Lv, Shicheng			Appling the One-Class Classification Method of Maxent to Detect an Invasive Plant Spartina alterniflora with Time-Series Analysis	REMOTE SENSING																	liu, huiyu/0000-0003-3976-481X												2072-4292					NOV	2017	9	11							1120	10.3390/rs9111120								WOS:000416554100035						
J	O'Connell, JL; Mishra, DR; Cotten, DL; Wang, L; Alber, M				O'Connell, Jessica L.; Mishra, Deepak R.; Cotten, David L.; Wang, Li; Alber, Merryl			The Tidal Marsh Inundation Index (TMII): An inundation filter to flag flooded pixels and improve MODIS tidal marsh vegetation time-series analysis	REMOTE SENSING OF ENVIRONMENT																													0034-4257	1879-0704				NOV	2017	201						34	46		10.1016/j.rse.2017.08.008								WOS:000412866400004						
J	Liu, PD; Shi, RH; Zhang, C; Zeng, YY; Wang, JP; Tao, Z; Gao, W				Liu, Pudong; Shi, Runhe; Zhang, Chao; Zeng, Yuyan; Wang, Jiapeng; Tao, Zhu; Gao, Wei			Integrating multiple vegetation indices via an artificial neural network model for estimating the leaf chlorophyll content of Spartina alterniflora under interspecies competition	ENVIRONMENTAL MONITORING AND ASSESSMENT																													0167-6369	1573-2959				NOV	2017	189	11							596	10.1007/s10661-017-6323-6								WOS:000414179500005	29086121					
J	Beland, M; Biggs, TW; Roberts, DA; Peterson, SH; Kokaly, RF; Piazza, S				Beland, Michael; Biggs, Trent W.; Roberts, Dar A.; Peterson, Seth H.; Kokaly, Raymond F.; Piazza, Sarai			Oiling accelerates loss of salt marshes, southeastern Louisiana	PLOS ONE																													1932-6203					AUG 2	2017	12	8							e0181197	10.1371/journal.pone.0181197								WOS:000406768200019	28767649					
J	Mo, Y; Kearney, MS; Riter, JCA				Mo, Yu; Kearney, Michael S.; Riter, J. C. Alexis			Post-Deepwater Horizon Oil Spill Monitoring of Louisiana Salt Marshes Using Landsat Imagery	REMOTE SENSING																													2072-4292					JUN	2017	9	6							547	10.3390/rs9060547								WOS:000404623900038						
J	Yan, FQ; Liu, XT; Chen, J; Yu, LX; Yang, CB; Chang, LP; Yang, JC; Zhang, SW				Yan, Fengqin; Liu, Xingtu; Chen, Jing; Yu, Lingxue; Yang, Chaobin; Chang, Liping; Yang, Jiuchun; Zhang, Shuwen			China's Wetland Databases Based on Remote Sensing Technology	CHINESE GEOGRAPHICAL SCIENCE																													1002-0063	1993-064X				JUN	2017	27	3					374	388		10.1007/s11769-017-0872-z								WOS:000404173000004						
