PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Mondal, P; Trzaska, S; de Sherbinin, A				Mondal, Pinki; Trzaska, Sylwia; de Sherbinin, Alex			Landsat-Derived Estimates of Mangrove Extents in the Sierra Leone Coastal Landscape Complex during 1990-2016	SENSORS																													1424-8220					JAN	2018	18	1							12	10.3390/s18010012								WOS:000423286300012						
J	Valderrama-Landeros, L; Flores-de-Santiago, F; Kovacs, JM; Flores-Verdugo, F				Valderrama-Landeros, L.; Flores-de-Santiago, F.; Kovacs, J. M.; Flores-Verdugo, F.			An assessment of commonly employed satellite-based remote sensors for mapping mangrove species in Mexico using an NDVI-based classification scheme	ENVIRONMENTAL MONITORING AND ASSESSMENT																													0167-6369	1573-2959				JAN	2018	190	1							23	10.1007/s10661-017-6399-z								WOS:000422680800032						
J	Taylor, S; Lynch, M; Terkildsen, M; Stevenson, G; Yates, A; Piro, N; de Araujo, J; Gray, R				Taylor, Shannon; Lynch, Michael; Terkildsen, Michael; Stevenson, Gavin; Yates, Alan; Piro, Nino; de Araujo, Jesuina; Gray, Rachael			Utility of fur as a biomarker for persistent organic pollutants in Australian fur seals (Arctocephalus pusillus doriferus)	SCIENCE OF THE TOTAL ENVIRONMENT																													0048-9697	1879-1026				JAN 1	2018	610						1310	1320		10.1016/j.scitotenv.2017.08.204								WOS:000411897700134	28851151					
J	Agha, SB; Tchouassi, DP; Bastos, ADS; Sang, R				Agha, Sheila B.; Tchouassi, David P.; Bastos, Armanda D. S.; Sang, Rosemary			Dengue and yellow fever virus vectors: seasonal abundance, diversity and resting preferences in three Kenyan cities	PARASITES & VECTORS																Bastos, Armanda/B-6357-2009	Bastos, Armanda/0000-0002-9223-4204												1756-3305					DEC 29	2017	10								628	10.1186/s13071-017-2598-2								WOS:000419235100003	29284522					
J	Di Beneditto, APM; Siciliano, S				Madeira Di Beneditto, Ana Paula; Siciliano, Salvatore			Marine debris boost in juvenile Magellanic penguins stranded in south-eastern Brazil in less than a decade: Insights into feeding habits and habitat use	MARINE POLLUTION BULLETIN																													0025-326X	1879-3363				DEC 15	2017	125	1-2					330	333		10.1016/j.marpolbul.2017.09.044								WOS:000418727000048	28958439					
J	Kocak, E; Sakar, S; Yetilmezsoy, K; Bozyigit, M; Dalgic, G				Kocak, E.; Sakar, S.; Yetilmezsoy, K.; Bozyigit, M.; Dalgic, G.			Evaluation of the potential genotoxic activity in seawater of Asin Bay, Gulf of Gulluk, Mugla, Aegean coast of Turkey	GLOBAL NEST JOURNAL																													1790-7632					DEC	2017	19	4					658	665										WOS:000422866200011						
J	Comer, DC; Chapman, BD; Comer, JA				Comer, Douglas C.; Chapman, Bruce D.; Comer, Jacob A.			Detecting Landscape Disturbance at the Nasca Lines Using SAR Data Collected from Airborne and Satellite Platforms	GEOSCIENCES																	Chapman, Bruce/0000-0002-6054-7695												2076-3263					DEC	2017	7	4							UNSP 106	10.3390/geosciences7040106								WOS:000419192500015						
J	La, TV; Khenchaf, A; Comblet, F; Nahum, C				Tran Vu La; Khenchaf, Ali; Comblet, Fabrice; Nahum, Carole			Exploitation of C-Band Sentinel-1 Images for High-Resolution Wind Field Retrieval in Coastal Zones (Iroise Coast, France)	IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING																													1939-1404	2151-1535				DEC	2017	10	12	2				5458	5471		10.1109/JSTARS.2017.2746349								WOS:000418871200012						
J	Kumar, A; Stupp, P; Dahal, S; Remillard, C; Bledsoe, R; Stone, A; Cameron, C; Rastogi, G; Samal, R; Mishra, DR				Kumar, Abhishek; Stupp, Patricia; Dahal, Subash; Remillard, Caren; Bledsoe, Roger; Stone, Austin; Cameron, Christopher; Rastogi, Gurdeep; Samal, Rabindro; Mishra, Deepak R.			A Multi-Sensor Approach for Assessing Mangrove Biophysical Characteristics in Coastal Odisha, India	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES INDIA SECTION A-PHYSICAL SCIENCES																													0369-8203	2250-1762				DEC	2017	87	4					679	700		10.1007/s40010-017-0441-y								WOS:000418819200015						
J	Misra, A; Balaji, R				Misra, A.; Balaji, R.			Simple Approaches to Oil Spill Detection Using Sentinel Application Platform (SNAP)-Ocean Application Tools and Texture Analysis: A Comparative Study	JOURNAL OF THE INDIAN SOCIETY OF REMOTE SENSING																													0255-660X	0974-3006				DEC	2017	45	6					1065	1075		10.1007/s12524-016-0658-2								WOS:000416900000015						
J	Novillo, O; Pertusa, JF; Tomas, J				Novillo, O.; Pertusa, J. F.; Tomas, J.			Exploring the presence of pollutants at sea: Monitoring heavy metals and pesticides in loggerhead turtles (Caretta caretta) from the western Mediterranean	SCIENCE OF THE TOTAL ENVIRONMENT																													0048-9697	1879-1026				NOV 15	2017	598						1130	1139		10.1016/j.scitotenv.2017.04.090								WOS:000404504000115	28482460					
J	Bekaert, DPS; Hamlington, BD; Buzzanga, B; Jones, CE				Bekaert, D. P. S.; Hamlington, B. D.; Buzzanga, B.; Jones, C. E.			Spaceborne Synthetic Aperture Radar Survey of Subsidence in Hampton Roads, Virginia (USA)	SCIENTIFIC REPORTS																	Bekaert, David/0000-0002-0408-0488												2045-2322					NOV 7	2017	7								14752	10.1038/s41598-017-15309-5								WOS:000414569100042	29116168					
J	Yu, L; Yang, TL; Zhao, Q; Liu, M; Pepe, A				Yu, Lei; Yang, Tianliang; Zhao, Qing; Liu, Min; Pepe, Antonio			The 2015-2016 Ground Displacements of the Shanghai Coastal Area Inferred from a Combined COSMO-SkyMed/Sentinel-1 DInSAR Analysis	REMOTE SENSING																	Pepe, Antonio/0000-0002-7843-3565												2072-4292					NOV	2017	9	11							1194	10.3390/rs9111194								WOS:000416554100108						
J	Regan, S; Goodhue, R; Naughton, O; Hynds, P				Regan, S.; Goodhue, R.; Naughton, O.; Hynds, P.			Geospatial drivers of the groundwater delta O-18 isoscape in a temperate maritime climate (Republic of Ireland)	JOURNAL OF HYDROLOGY																													0022-1694	1879-2707				NOV	2017	554						173	186		10.1016/j.jhydrol.2017.09.017								WOS:000415769600013						
J	Gonzalez-Fernandez, C; Albentosa, M; Sokolova, I				Gonzalez-Fernandez, Carmen; Albentosa, Marina; Sokolova, Inna			Interactive effects of nutrition, reproductive state and pollution on molecular stress responses of mussels, Mytilus galloprovincialis Lamarck, 1819	MARINE ENVIRONMENTAL RESEARCH																	Albentosa, Marina/0000-0003-4771-5137; Sokolova, Inna/0000-0002-2068-4302												0141-1136	1879-0291				OCT	2017	131						103	115		10.1016/j.marenvres.2017.08.011								WOS:000418222400010	28967508					
J	Toming, K; Kutser, T; Uiboupin, R; Arikas, A; Vahter, K; Paavel, B				Toming, Kaire; Kutser, Tiit; Uiboupin, Rivo; Arikas, Age; Vahter, Kaimo; Paavel, Birgot			Mapping Water Quality Parameters with Sentinel-3 Ocean and Land Colour Instrument Imagery in the Baltic Sea	REMOTE SENSING																													2072-4292					OCT	2017	9	10							1070	10.3390/rs9101070								WOS:000414650600100						
J	Fiaschi, S; Closson, D; Abou Karaki, N; Pasquali, P; Riccardi, P; Floris, M				Fiaschi, Simone; Closson, Damien; Abou Karaki, Najib; Pasquali, Paolo; Riccardi, Paolo; Floris, Mario			The complex karst dynamics of the Lisan Peninsula revealed by 25 years of DInSAR observations. Dead Sea, Jordan	ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING																	Fiaschi, Simone/0000-0001-6544-9755; ABOU KARAKI, Najib/0000-0001-9795-6006; Pasquali, Paolo/0000-0002-7579-5376; FLORIS, MARIO/0000-0002-8691-2179												0924-2716	1872-8235				AUG	2017	130						358	369		10.1016/j.isprsjprs.2017.06.008								WOS:000408077200025						
J	Reif, JS; Schaefer, AM; Bossart, GD; Fair, PA				Reif, John S.; Schaefer, Adam M.; Bossart, Gregory D.; Fair, Patricia A.			Health and Environmental Risk Assessment Project for bottlenose dolphins Tursiops truncatus from the southeastern USA. II. Environmental aspects	DISEASES OF AQUATIC ORGANISMS																													0177-5103	1616-1580				JUL 24	2017	125	2					155	166		10.3354/dao03143								WOS:000407439500007	28737160					
J	Ngugi, HN; Mutuku, FM; Ndenga, BA; Musunzaji, PS; Mbakaya, JO; Aswani, P; Irungu, LW; Mukoko, D; Vulule, J; Kitron, U; LaBeaud, AD				Ngugi, Harun N.; Mutuku, Francis M.; Ndenga, Bryson A.; Musunzaji, Peter S.; Mbakaya, Joel O.; Aswani, Peter; Irungu, Lucy W.; Mukoko, Dunstan; Vulule, John; Kitron, Uriel; LaBeaud, Angelle D.			Characterization and productivity profiles of Aedes aegypti (L.) breeding habitats across rural and urban landscapes in western and coastal Kenya	PARASITES & VECTORS																													1756-3305					JUL 12	2017	10								331	10.1186/s13071-017-2271-9								WOS:000405902600003	28701194					
J	Darmon, G; Miaud, C; Claro, F; Doremus, G; Galgani, F				Darmon, Gaelle; Miaud, Claude; Claro, Francoise; Doremus, Ghislain; Galgani, Francois			Risk assessment reveals high exposure of sea turtles to marine debris in French Mediterranean and metropolitan Atlantic waters	DEEP-SEA RESEARCH PART II-TOPICAL STUDIES IN OCEANOGRAPHY																	galgani, francois/0000-0001-8770-6054												0967-0645	1879-0100				JUL	2017	141				SI		319	328		10.1016/j.dsr2.2016.07.005								WOS:000405251400026						
J	Shields, JD; Huchin-Mian, JP; O'Leary, PA; Small, HJ				Shields, Jeffrey D.; Huchin-Mian, Juan Pablo; O'Leary, Pattie A.; Small, Hamish J.			New insight into transmission dynamics of the crustacean pathogen Hematodinium perezi (Dinoflagellata) using a novel sentinel methodology	MARINE ECOLOGY PROGRESS SERIES																													0171-8630	1616-1599				JUN 21	2017	573						73	84		10.3354/meps12175								WOS:000404123900006						
J	Kooyman, GL; Ponganis, PJ				Kooyman, G. L.; Ponganis, P. J.			Rise and fall of Ross Sea emperor penguin colony populations: 2000 to 2012	ANTARCTIC SCIENCE																													0954-1020	1365-2079				JUN	2017	29	3					201	208		10.1017/S0954102016000559								WOS:000404282500002						
J	Cui, BL; Xiao, B; Li, XY; Wang, Q; Zhang, ZH; Zhan, C; Li, XD				Cui, Bu-Li; Xiao, Bei; Li, Xiao-Yan; Wang, Qing; Zhang, Zhen-Hua; Zhan, Chao; Li, Xiao-Dong			Exploring the geomorphological processes of Qinghai Lake and surrounding lakes in the northeastern Tibetan Plateau, using Multitemporal Landsat Imagery (1973-2015)	GLOBAL AND PLANETARY CHANGE																													0921-8181	1872-6364				MAY	2017	152						167	175		10.1016/j.gloplacha.2017.03.009								WOS:000403626400014						
J	Martin, J; Zafra-Gomez, A; Hidalgo, F; Ibanez-Yuste, AJ; Alonso, E; Vilchez, JL				Martin, J.; Zafra-Gomez, A.; Hidalgo, F.; Ibanez-Yuste, A. J.; Alonso, E.; Vilchez, J. L.			Multi-residue analysis of 36 priority and emerging pollutants in marine echinoderms (Holothuria tubulosa) and marine sediments by solid-liquid extraction followed by dispersive solid phase extraction and liquid chromatography tandem mass spectrometry analysis	TALANTA																Hidalgo Puertas, Felix/I-2169-2015; Zafra-Gomez, Alberto/L-9864-2014; Vilchez Quero, Jose Luis/L-5369-2014	Hidalgo Puertas, Felix/0000-0003-0773-216X; Zafra-Gomez, Alberto/0000-0002-3437-6212; Vilchez Quero, Jose Luis/0000-0002-1653-6390; Martin Bueno, Julia/0000-0003-3621-1291; Alonso, Esteban/0000-0002-1647-9226												0039-9140	1873-3573				MAY 1	2017	166						336	348		10.1016/j.talanta.2017.01.062								WOS:000395839700046	28213243					
