PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Beck, MW; Hagy, JD; Le, CF				Beck, Marcus W.; Hagy, James D., III; Le, Chengfeng			Quantifying Seagrass Light Requirements Using an Algorithm to Spatially Resolve Depth of Colonization	ESTUARIES AND COASTS																	Beck, Marcus/0000-0002-4996-0059												1559-2723	1559-2731				MAR	2018	41	2					592	610		10.1007/s12237-017-0287-1								WOS:000423581200021						
J	Kelly, JT; Gontz, AM				Kelly, Joshua T.; Gontz, Allen M.			Using GPS-surveyed intertidal zones to determine the validity of shorelines automatically mapped by Landsat water indices	INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION																													0303-2434					MAR	2018	65						92	104		10.1016/j.jag.2017.10.007								WOS:000418312200009						
J	Jaramillo, F; Brown, I; Castellazzi, P; Espinosa, L; Guittard, A; Hong, SH; Rivera-Monroy, VH; Wdowinski, S				Jaramillo, Fernando; Brown, Ian; Castellazzi, Pascal; Espinosa, Luisa; Guittard, Alice; Hong, Sang-Hoon; Rivera-Monroy, Victor H.; Wdowinski, Shimon			Assessment of hydrologic connectivity in an ungauged wetland with InSAR observations	ENVIRONMENTAL RESEARCH LETTERS																													1748-9326					FEB	2018	13	2							024003	10.1088/1748-9326/aa9d23								WOS:000423452800002						
J	Garaba, SP; Dierssen, HM				Garaba, Shungudzemwoyo P.; Dierssen, Heidi M.			An airborne remote sensing case study of synthetic hydrocarbon detection using short wave infrared absorption features identified from marine-harvested macro- and microplastics	REMOTE SENSING OF ENVIRONMENT																													0034-4257	1879-0704				FEB	2018	205						224	235		10.1016/j.rse.2017.11.023								WOS:000423007700018						
J	Yu, X; Wang, YB; Liu, XY; Liu, X				Yu, Xiang; Wang, Yebao; Liu, Xiangyang; Liu, Xin			Remote sensing estimation of carbon fractions in the Chinese Yellow River estuary	MARINE GEORESOURCES & GEOTECHNOLOGY																													1064-119X	1521-0618					2018	36	2					202	210		10.1080/1064119X.2017.1297876								WOS:000424062100006						
J	Luitel, B; Villarini, G; Vecchi, GA				Luitel, Beda; Villarini, Gabriele; Vecchi, Gabriel A.			Verification of the skill of numerical weather prediction models in forecasting rainfall from US landfalling tropical cyclones	JOURNAL OF HYDROLOGY																													0022-1694	1879-2707				JAN	2018	556						1026	1037		10.1016/j.jhydrol.2016.09.019								WOS:000423641300080						
J	Watson, EB; Corona, AH				Burke Watson, Elizabeth; Hinojosa Corona, Alejandro			Assessment of Blue Carbon Storage by Baja California (Mexico) Tidal Wetlands and Evidence for Wetland Stability in the Face of Anthropogenic and Climatic Impacts	SENSORS																													1424-8220					JAN	2018	18	1							32	10.3390/s18010032								WOS:000423286300032						
J	Mondal, P; Trzaska, S; de Sherbinin, A				Mondal, Pinki; Trzaska, Sylwia; de Sherbinin, Alex			Landsat-Derived Estimates of Mangrove Extents in the Sierra Leone Coastal Landscape Complex during 1990-2016	SENSORS																													1424-8220					JAN	2018	18	1							12	10.3390/s18010012								WOS:000423286300012						
J	von Holdt, JR; Eckardt, FD				von Holdt, Johanna R.; Eckardt, Frank D.			Dust activity and surface sediment characteristics of the dustiest river in southern Africa: the Kuiseb River, Central Namib	SOUTH AFRICAN GEOGRAPHICAL JOURNAL																													0373-6245	2151-2418					2018	100	1					104	121		10.1080/03736245.2017.1339627								WOS:000423739500006						
J	Xiao, L; Lang, Y; Christakos, G				Xiao, Lu; Lang, Yichao; Christakos, George			High-resolution spatiotemporal mapping of PM2.5 concentrations at Mainland China using a combined BME-GWR technique	ATMOSPHERIC ENVIRONMENT																													1352-2310	1873-2844				JAN	2018	173						295	305		10.1016/j.atmosenv.2017.10.062								WOS:000423007600028						
